amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.14011292;"";14311;"";"";2023-06-30;2022-11-21;CPLE5;interest;14311
0.22721013;"";14311;"";"";2022-11-30;2022-11-21;CPLE5;interest;14311
0.14011292;"";14311;"";"";2023-06-30;2022-11-21;CPLE5;interest;14311
0.22721013;"";14311;"";"";2022-11-30;2022-11-21;CPLE5;interest;14311
0.14011292;"";14311;2022-11-22;"";2023-06-30;2022-11-21;CPLE6;interest;14311
0.20655465;"";14311;2022-11-22;"";2022-11-30;2022-11-21;CPLE3;interest;14311
0.12737536;"";14311;2022-11-22;"";2023-06-30;2022-11-21;CPLE3;interest;14311
0.20655465;"";14311;2022-11-22;"";2022-11-30;2022-11-21;CPLE3;interest;14311
0.12737536;"";14311;2022-11-22;"";2023-06-30;2022-11-21;CPLE3;interest;14311
0.68782704;"";14311;2022-11-22;"";2023-06-30;2022-11-21;CPLE11;interest;14311
0.14011292;"";14311;2022-11-22;"";2023-06-30;2022-11-21;CPLE6;interest;14311
0.22721013;"";14311;2022-11-22;"";2022-11-30;2022-11-21;CPLE6;interest;14311
0.68782704;"";14311;2022-11-22;"";2023-06-30;2022-11-21;CPLE11;interest;14311
0.22721013;"";14311;2022-11-22;"";2022-11-30;2022-11-21;CPLE6;interest;14311
1.11539517;"";14311;2022-11-22;"";2022-11-30;2022-11-21;CPLE11;interest;14311
1.11539517;"";14311;2022-11-22;"";2022-11-30;2022-11-21;CPLE11;interest;14311
0.51829476;"";14311;2022-05-16;"";2022-06-30;2022-04-29;CPLE5;dividend;14311
2.54435609;"";14311;2022-05-02;"";2022-06-30;2022-04-29;CPLE11;dividend;14311
0.47117031;"";14311;2022-05-02;"";2022-06-30;2022-04-29;CPLE3;dividend;14311
0.51829476;"";14311;2022-05-02;"";2022-06-30;2022-04-29;CPLE6;dividend;14311
0.10723314;"";14311;2022-01-04;"";2022-06-30;2021-12-30;CPLE5;interest;14311
0.09748467;"";14311;2022-01-03;"";2022-06-30;2021-12-30;CPLE3;interest;14311
0.10723314;"";14311;2022-01-03;"";2022-06-30;2021-12-30;CPLE6;interest;14311
0.52641723;"";14311;2022-01-03;"";2022-06-30;2021-12-30;CPLE11;interest;14311
0.45328533;"";14311;2021-10-05;"";2021-11-30;2021-09-30;CPLE5;dividend;14311
0.09074606;"";14311;2021-10-05;"";2021-11-30;2021-09-30;CPLE5;interest;14311
0.08249641;"";14311;2021-10-01;"";2021-11-30;2021-09-30;CPLE3;interest;14311
0.09074606;"";14311;2021-10-01;"";2021-11-30;2021-09-30;CPLE6;interest;14311
0.45328533;"";14311;2021-10-01;"";2021-11-30;2021-09-30;CPLE6;dividend;14311
2.22521888;"";14311;2021-10-01;"";2021-11-30;2021-09-30;CPLE11;dividend;14311
0.44548065;"";14311;2021-10-01;"";2021-11-30;2021-09-30;CPLE11;interest;14311
0.41207756;"";14311;2021-10-01;"";2021-11-30;2021-09-30;CPLE3;dividend;14311
0.0515191;2021-03-17;14311;2021-06-18;"";2021-08-11;2021-03-31;CPLE5;interest;14311
0.14384143;2021-04-29;14311;2021-06-18;"";2021-08-11;2021-04-29;CPLE5;dividend;14311
0.47990038;"";14311;2021-06-18;"";2021-04-30;2021-03-31;CPLE5;dividend;14311
0.04732072;"";14311;2021-06-18;"";2021-08-11;2021-03-31;CPLE5;dividend;14311
3.10015638;2020-12-09;14311;2021-06-18;"";2021-08-11;2020-12-28;CPLE5;interest;14311
2.39120595;2020-09-16;14311;2021-06-18;"";2020-09-30;2020-09-21;CPLE5;dividend;14311
0.07955175;2021-04-29;14311;2021-04-30;"";2021-08-11;2021-04-29;CPLE6;dividend;14311
0.39052677;"";14311;2021-04-30;"";2021-08-11;2021-04-29;CPLE11;dividend;14311
0.07231977;2021-04-29;14311;2021-04-30;"";2021-08-11;2021-04-29;CPLE3;dividend;14311
0.04301883;"";14311;2021-04-01;"";2021-08-11;2021-03-31;CPLE3;dividend;14311
0.04683557;2021-03-17;14311;2021-04-01;"";2021-08-11;2021-03-31;CPLE3;interest;14311
0.43627306;"";14311;2021-04-01;"";2021-04-30;2021-03-31;CPLE3;dividend;14311
0.04732072;"";14311;2021-04-01;"";2021-08-11;2021-03-31;CPLE6;dividend;14311
0.0515191;2021-03-17;14311;2021-04-01;"";2021-08-11;2021-03-31;CPLE6;interest;14311
0.47990038;"";14311;2021-04-01;"";2021-04-30;2021-03-31;CPLE6;dividend;14311
3.10015638;2020-12-09;14311;2020-12-29;"";2021-08-11;2020-12-28;CPLE6;interest;14311
2.81832398;2020-12-09;14311;2020-12-29;"";2021-08-11;2020-12-28;CPLE3;interest;14311
1.97328483;"";14311;2020-05-08;"";2020-06-29;2019-12-23;CPLE5;interest;14311
1.97328483;"";14311;2020-05-08;"";2020-09-30;2019-12-23;CPLE5;interest;14311
2.8905;2018-12-12;14311;2020-05-08;"";2019-06-28;2018-12-27;CPLE5;interest;14311
1.12117394;"";14311;2019-12-26;"";2020-09-30;2019-12-23;CPLE3;interest;14311
1.2334596;"";14311;2019-12-26;"";2020-09-30;2019-12-23;CPLE6;interest;14311
1.2334596;"";14311;2019-12-26;"";2020-06-29;2019-12-23;CPLE6;interest;14311
1.12117394;"";14311;2019-12-26;"";2020-06-29;2019-12-23;CPLE3;interest;14311
0.34435;2019-04-29;14311;2019-04-30;"";2019-06-28;2019-04-29;CPLE3;dividend;14311
0.37881;2019-04-29;14311;2019-04-30;"";2019-06-28;2019-04-29;CPLE6;dividend;14311
1.0727;2018-12-12;14311;2018-12-28;"";2019-06-28;2018-12-27;CPLE6;interest;14311
0.97515;2018-12-12;14311;2018-12-28;"";2019-06-28;2018-12-27;CPLE3;interest;14311
0.08996;2018-06-15;14311;2018-06-18;"";2018-08-14;2018-06-15;CPLE6;dividend;14311
0.08177;2018-06-15;14311;2018-06-18;"";2018-08-14;2018-06-15;CPLE3;dividend;14311
0.41996;2016-04-28;14311;2018-04-30;"";2016-06-15;2016-04-28;CPLE5;dividend;14311
2.8905;"";14311;2018-04-30;"";2018-08-14;2017-12-28;CPLE5;dividend;14311
2.8905;2017-04-28;14311;2018-04-30;"";2017-06-30;2017-04-28;CPLE5;interest;14311
2.10511;2016-04-28;14311;2018-04-30;"";2016-06-15;2016-04-28;CPLE5;interest;14311
