amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.150599;2011-02-22;14320;2011-03-22;"";2011-04-04;2011-03-21;USIM5;interest;14320
0.136908;2011-02-22;14320;2011-03-22;"";2011-04-04;2011-03-21;USIM3;interest;14320
0.189246;2010-12-21;14320;2011-01-04;"";2011-04-04;2010-12-29;USIM6;interest;14320
0.189246;2010-12-21;14320;2010-12-30;"";2011-02-22;2010-12-29;USIM5;interest;14320
0.172041;2010-12-21;14320;2010-12-30;"";2011-02-22;2010-12-29;USIM3;interest;14320
0.244485;2010-09-28;14320;2010-11-04;"";2010-10-20;2010-10-07;USIM6;interest;14320
0.244485;2010-09-28;14320;2010-10-08;"";2010-10-20;2010-10-07;USIM5;interest;14320
0.22226;2010-09-28;14320;2010-10-08;"";2010-10-20;2010-10-07;USIM3;interest;14320
0.15373;2010-02-24;14320;2010-06-28;"";2010-05-03;2010-03-25;USIM6;dividend;14320
0.15373;2010-02-24;14320;2010-03-26;"";2010-05-03;2010-03-25;USIM5;dividend;14320
0.13975;2010-02-24;14320;2010-03-26;"";2010-05-03;2010-03-25;USIM3;dividend;14320
0.65428;2009-12-22;14320;2010-01-28;"";2010-05-03;2009-12-29;USIM6;interest;14320
0.65428;2009-12-22;14320;2009-12-30;"";2010-05-03;2009-12-29;USIM5;interest;14320
0.5948;2009-12-22;14320;2009-12-30;"";2010-05-03;2009-12-29;USIM3;interest;14320
0.17358;2009-07-22;14320;2009-08-04;"";2009-08-18;2009-08-03;USIM3;interest;14320
0.19094;2009-08-03;14320;2009-08-04;"";2009-08-18;2009-08-03;USIM5;interest;14320
0.19094;2009-07-22;14320;2009-08-04;"";2009-08-18;2009-08-03;USIM6;interest;14320
0.79661;2008-11-12;14320;2009-04-14;"";2009-04-02;2008-12-29;USIM6;interest;14320
0.49675;2009-02-18;14320;2009-04-14;"";2009-04-02;2009-03-05;USIM6;dividend;14320
0.45159;2009-02-18;14320;2009-03-06;"";2009-04-02;2009-03-05;USIM3;dividend;14320
0.49675;2009-02-18;14320;2009-03-06;"";2009-04-02;2009-03-05;USIM5;dividend;14320
0.72419;2008-11-12;14320;2008-12-30;"";2009-04-02;2008-12-29;USIM3;interest;14320
0.79661;2008-11-12;14320;2008-12-30;"";2009-04-02;2008-12-29;USIM5;interest;14320
0.8136;2008-08-13;14320;2008-09-10;"";2008-09-02;2008-08-20;USIM6;interest;14320
0.3085;2008-08-13;14320;2008-09-10;"";2008-09-02;2008-08-20;USIM6;dividend;14320
0.3085;2008-08-13;14320;2008-08-21;"";2008-09-02;2008-08-20;USIM5;dividend;14320
0.73964;2008-08-13;14320;2008-08-21;"";2008-09-02;2008-08-20;USIM3;interest;14320
0.28046;2008-08-13;14320;2008-08-21;"";2008-09-02;2008-08-20;USIM3;dividend;14320
0.8136;2008-08-13;14320;2008-08-21;"";2008-09-02;2008-08-20;USIM5;interest;14320
0.9441;2008-03-26;14320;2008-04-15;"";2008-04-09;2008-03-26;USIM6;dividend;14320
0.9441;2008-03-26;14320;2008-03-27;"";2008-04-09;2008-03-26;USIM5;dividend;14320
0.85827;2008-03-26;14320;2008-03-27;"";2008-04-09;2008-03-26;USIM3;dividend;14320
1.00054;2007-11-27;14320;2008-01-09;"";2008-04-09;2007-12-27;USIM6;interest;14320
0.90958;2007-11-27;14320;2007-12-28;"";2008-04-09;2007-12-27;USIM3;interest;14320
1.00054;2007-11-27;14320;2007-12-28;"";2008-04-09;2007-12-27;USIM5;interest;14320
1.58206;2007-08-08;14320;2007-09-13;"";2007-08-22;2007-08-14;USIM6;interest;14320
0.83312;2007-08-08;14320;2007-09-13;"";2007-08-22;2007-08-14;USIM6;dividend;14320
0.75738;2007-08-08;14320;2007-08-15;"";2007-08-22;2007-08-14;USIM3;dividend;14320
1.58206;2007-08-08;14320;2007-08-15;"";2007-08-22;2007-08-14;USIM5;interest;14320
0.83312;2007-08-08;14320;2007-08-15;"";2007-08-22;2007-08-14;USIM5;dividend;14320
1.43823;2007-08-08;14320;2007-08-15;"";2007-08-22;2007-08-14;USIM3;interest;14320
