amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.354889509;"";14346;2022-09-29;"";2022-11-09;2022-09-28;WHRL4;interest;14346
0.835414644;"";14346;2022-07-04;"";2022-08-16;2022-07-01;WHRL3;dividend;14346
0.162869649;"";14346;2022-06-29;"";2022-07-08;2022-06-28;WHRL3;interest;14346
0.3897;"";14346;2021-11-24;"";2021-12-07;2021-11-23;WHRL3;dividend;14346
0.00381;"";14346;2021-11-24;"";2021-12-07;2021-11-23;WHRL3;dividend;14346
0.42867;"";14346;2021-11-24;"";2021-12-07;2021-11-23;WHRL4;dividend;14346
0.00419;"";14346;2021-11-24;"";2021-12-07;2021-11-23;WHRL4;dividend;14346
0.19353;2021-05-13;14346;2021-05-20;"";2021-06-02;2021-05-19;WHRL3;dividend;14346
0.21288;2021-05-13;14346;2021-05-20;"";2021-06-02;2021-05-19;WHRL4;dividend;14346
0.26965;2020-12-03;14346;2020-12-09;"";2020-12-17;2020-12-08;WHRL4;dividend;14346
0.24513;2020-12-03;14346;2020-12-09;"";2020-12-17;2020-12-08;WHRL3;dividend;14346
0.96762;2020-04-13;14346;2020-04-17;"";2020-04-29;2020-04-16;WHRL3;dividend;14346
1.06439;2020-04-13;14346;2020-04-17;"";2020-04-29;2020-04-16;WHRL4;dividend;14346
0.103680691;"";14346;2019-09-10;"";2019-11-08;2019-09-09;WHRL4;interest;14346
0.57477;2019-07-05;14346;2019-07-12;"";2019-07-23;2019-07-11;WHRL4;dividend;14346
0.52252;2019-07-05;14346;2019-07-12;"";2019-07-23;2019-07-11;WHRL3;dividend;14346
0.13547;2018-12-07;14346;2018-12-13;"";2018-12-21;2018-12-12;WHRL3;dividend;14346
0.14902;2018-12-07;14346;2018-12-13;"";2018-12-21;2018-12-12;WHRL4;dividend;14346
0.20966;2017-11-01;14346;2017-11-08;"";2017-11-21;2017-11-07;WHRL3;dividend;14346
0.23062;2017-11-01;14346;2017-11-08;"";2017-11-21;2017-11-07;WHRL4;dividend;14346
0.27069;2017-07-31;14346;2017-08-04;"";2017-08-10;2017-08-03;WHRL4;dividend;14346
0.24608;2017-07-31;14346;2017-08-04;"";2017-08-10;2017-08-03;WHRL3;dividend;14346
0.05532;2017-04-27;14346;2017-05-03;"";2017-08-10;2017-04-27;WHRL4;dividend;14346
0.05029;2017-04-27;14346;2017-05-02;"";2017-08-10;2017-04-27;WHRL3;dividend;14346
0.1258;2015-11-09;14346;2015-11-13;"";2015-11-23;2015-11-10;WHRL3;dividend;14346
0.13837;2015-11-09;14346;2015-11-11;"";2015-11-23;2015-11-10;WHRL4;dividend;14346
0.0887;2014-12-09;14346;2014-12-10;"";2014-12-23;2014-12-09;WHRL4;dividend;14346
0.08064;2014-12-09;14346;2014-12-10;"";2014-12-23;2014-12-09;WHRL3;dividend;14346
0.30158;2014-11-05;14346;2014-11-06;"";2014-11-24;2014-11-05;WHRL4;dividend;14346
0.27416;2014-11-05;14346;2014-11-06;"";2014-11-24;2014-11-05;WHRL3;dividend;14346
0.3995;2014-06-03;14346;2014-06-04;"";2014-06-27;2014-06-03;WHRL4;dividend;14346
0.36319;2014-06-03;14346;2014-06-04;"";2014-06-27;2014-06-03;WHRL3;dividend;14346
0.35057;2013-10-25;14346;2013-10-29;"";2013-11-14;2013-10-28;WHRL3;dividend;14346
0.38563;2013-10-25;14346;2013-10-29;"";2013-11-14;2013-10-28;WHRL4;dividend;14346
