amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.300067085;"";14362;2012-01-04;"";2012-02-15;2011-12-30;CEPE5;interest;14362
0.330073794;"";14362;2012-01-02;"";2012-02-15;2011-12-30;CEPE6;interest;14362
0.33010325;2011-09-30;14362;2011-10-05;"";2011-11-09;2011-09-30;CEPE6;interest;14362
0.300093864;2011-09-30;14362;2011-10-03;"";2011-11-09;2011-09-30;CEPE5;interest;14362
1.273150573;2011-08-29;14362;2011-09-13;"";2011-09-14;2011-08-29;CEPE5;dividend;14362
1.40046563;2011-08-29;14362;2011-09-01;"";2011-09-14;2011-08-29;CEPE6;dividend;14362
1.778430708;2008-10-31;14362;2011-08-08;"";2008-12-10;2008-10-31;CEPE3;dividend;14362
0.674247111;2011-04-26;14362;2011-08-08;"";"";2011-04-26;CEPE3;dividend;14362
0.300093864;2011-03-31;14362;2011-08-08;"";2011-05-25;2011-03-31;CEPE3;interest;14362
0.283772335;"";14362;2011-08-08;"";2011-02-23;2010-12-31;CEPE3;interest;14362
0.284897034;2010-09-30;14362;2011-08-08;"";2010-12-15;2010-09-30;CEPE3;interest;14362
1.522259871;2010-09-30;14362;2011-08-08;"";2010-12-15;2010-09-30;CEPE3;dividend;14362
0.283852671;2010-06-30;14362;2011-08-08;"";2010-09-15;2010-06-30;CEPE3;interest;14362
0.2825673;"";14362;2011-08-08;"";2010-05-19;2010-04-02;CEPE3;interest;14362
1.502009868;2010-03-29;14362;2011-08-08;"";2010-06-16;2010-03-29;CEPE3;dividend;14362
0.269124466;2009-12-18;14362;2011-08-08;"";2010-05-19;2009-12-18;CEPE3;interest;14362
2.08;"";14362;2011-08-08;"";2009-06-10;2009-03-25;CEPE3;dividend;14362
0.25220042;"";14362;2011-08-08;"";2009-05-13;2009-01-01;CEPE3;interest;14362
0.253151059;2008-10-31;14362;2011-08-08;"";2008-12-10;2008-10-31;CEPE3;interest;14362
0.300093864;2011-06-30;14362;2011-08-08;"";2011-08-10;2011-06-30;CEPE3;interest;14362
0.33010325;2011-06-30;14362;2011-07-20;"";2011-08-10;2011-06-30;CEPE6;interest;14362
0.300093864;2011-06-30;14362;2011-07-06;"";2011-08-10;2011-06-30;CEPE5;interest;14362
0.674247111;2011-04-26;14362;2011-05-04;"";"";2011-04-26;CEPE5;dividend;14362
0.741671822;2011-04-26;14362;2011-05-02;"";"";2011-04-26;CEPE6;dividend;14362
0.33010325;2011-03-31;14362;2011-04-06;"";2011-05-25;2011-03-31;CEPE6;interest;14362
0.300093864;2011-03-31;14362;2011-04-05;"";2011-05-25;2011-03-31;CEPE5;interest;14362
0.312149569;"";14362;2011-01-31;"";2011-02-23;2010-12-31;CEPE6;interest;14362
0.283772335;"";14362;2011-01-03;"";2011-02-23;2010-12-31;CEPE5;interest;14362
1.674485858;2010-09-30;14362;2010-10-14;"";2010-12-15;2010-09-30;CEPE6;dividend;14362
0.313386738;2010-09-30;14362;2010-10-14;"";2010-12-15;2010-09-30;CEPE6;interest;14362
1.522259871;2010-09-30;14362;2010-10-01;"";2010-12-15;2010-09-30;CEPE5;dividend;14362
0.284897034;2010-09-30;14362;2010-10-01;"";2010-12-15;2010-09-30;CEPE5;interest;14362
0.283852671;2010-06-30;14362;2010-07-21;"";2010-09-15;2010-06-30;CEPE5;interest;14362
0.312237938;2010-06-30;14362;2010-07-07;"";2010-09-15;2010-06-30;CEPE6;interest;14362
0.31082403;"";14362;2010-04-15;"";2010-05-19;2010-04-02;CEPE6;interest;14362
1.652210855;2010-03-29;14362;2010-04-15;"";2010-06-16;2010-03-29;CEPE6;dividend;14362
0.2825673;"";14362;2010-04-05;"";2010-05-19;2010-04-02;CEPE5;interest;14362
1.502009868;2010-03-29;14362;2010-03-31;"";2010-06-16;2010-03-29;CEPE5;dividend;14362
0.269124466;2009-12-18;14362;2009-12-22;"";2010-05-19;2009-12-18;CEPE5;interest;14362
0.296036913;2009-12-18;14362;2009-12-22;"";2010-05-19;2009-12-18;CEPE6;interest;14362
2.288;"";14362;2009-04-09;"";2009-06-10;2009-03-25;CEPE6;dividend;14362
2.08;"";14362;2009-03-26;"";2009-06-10;2009-03-25;CEPE5;dividend;14362
0.277420462;"";14362;2009-01-08;"";2009-05-13;2009-01-01;CEPE6;interest;14362
0.25220042;"";14362;2009-01-02;"";2009-05-13;2009-01-01;CEPE5;interest;14362
1.956273779;2008-10-31;14362;2008-11-05;"";2008-12-10;2008-10-31;CEPE6;dividend;14362
0.278466165;2008-10-31;14362;2008-11-05;"";2008-12-10;2008-10-31;CEPE6;interest;14362
0.253151059;2008-10-31;14362;2008-11-03;"";2008-12-10;2008-10-31;CEPE5;interest;14362
