amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
3.76926;2013-04-30;14451;2013-05-02;"";2013-12-20;2013-04-30;CEBR6;dividend;14451
4.59932;2013-04-30;14451;2013-05-02;"";2013-12-20;2013-04-30;CEBR5;dividend;14451
0.450442;2010-04-30;14451;2010-06-30;"";2010-05-31;2010-04-30;CEBR3;dividend;14451
0.688385;2010-04-30;14451;2010-05-05;"";2010-05-31;2010-04-30;CEBR6;dividend;14451
3.724697;2010-04-30;14451;2010-05-03;"";2010-05-31;2010-04-30;CEBR5;dividend;14451
1.150645217;2002-05-15;14451;2002-06-05;"";2002-07-15;2002-05-15;CEBR3;dividend;14451
1.758467579;2002-05-15;14451;2002-05-29;"";2002-07-15;2002-05-15;CEBR6;dividend;14451
7.276987023;2002-05-15;14451;2002-05-16;"";2002-07-15;2002-05-15;CEBR5;dividend;14451
0.438507964;2001-04-30;14451;2001-07-03;"";2001-06-29;2001-04-30;CEBR3;dividend;14451
0.670147529;2001-04-30;14451;2001-05-09;"";2001-06-29;2001-04-30;CEBR6;dividend;14451
6.546816373;2001-04-30;14451;2001-05-02;"";2001-06-29;2001-04-30;CEBR5;dividend;14451
0.297011849;2000-04-26;14451;2000-06-30;"";2000-06-26;2000-04-26;CEBR3;dividend;14451
0.453906815;2000-04-26;14451;2000-05-23;"";2000-06-26;2000-04-26;CEBR6;dividend;14451
6.073766377;2000-04-26;14451;2000-05-08;"";2000-06-26;2000-04-26;CEBR5;dividend;14451
1.135898857;1999-05-21;14451;2000-01-10;"";1999-06-25;1999-05-21;CEBR6;dividend;14451
6.5443;"";14451;2000-01-05;"";"";1996-04-30;CEBR5;dividend;14451
6.8141;"";14451;2000-01-05;"";"";1997-04-30;CEBR5;dividend;14451
6.5937;"";14451;2000-01-05;"";"";1998-04-30;CEBR5;dividend;14451
5.626295071;1999-05-21;14451;2000-01-05;"";1999-06-25;1999-05-21;CEBR5;dividend;14451
0.907603968;1999-05-21;14451;2000-01-04;"";1999-06-25;1999-05-21;CEBR3;dividend;14451
1.0974644;1998-04-30;14451;2000-01-04;"";"";1998-04-30;CEBR3;dividend;14451
1.22776468;1997-04-30;14451;2000-01-04;"";"";1997-04-30;CEBR3;dividend;14451
0.114624722;1996-04-30;14451;2000-01-04;"";"";1996-04-30;CEBR3;dividend;14451
