amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.057218528;"";14664;"";"";2022-10-26;2022-09-26;SHUL3;interest;14664
0.062940381;"";14664;2022-09-27;"";2022-10-26;2022-09-26;SHUL4;interest;14664
0.051565913;"";14664;2022-09-12;"";2022-07-01;2022-04-19;SHUL3;dividend;14664
0.054683249;"";14664;2022-09-12;"";2021-11-23;2021-09-24;SHUL3;interest;14664
0.042622607;2021-06-21;14664;2022-09-12;"";2021-08-20;2021-06-24;SHUL3;interest;14664
0.03729309;"";14664;2022-09-12;"";2021-12-15;2021-11-25;SHUL3;interest;14664
0.027025003;"";14664;2022-09-12;"";2022-07-15;2022-06-24;SHUL3;interest;14664
0.029727503;"";14664;2022-06-27;"";2022-07-15;2022-06-24;SHUL4;interest;14664
0.056722504;"";14664;2022-04-20;"";2022-07-01;2022-04-19;SHUL4;dividend;14664
0.041022399;"";14664;2021-11-26;"";2021-12-15;2021-11-25;SHUL4;interest;14664
0.060151574;"";14664;2021-09-27;"";2021-11-23;2021-09-24;SHUL4;interest;14664
0.046884868;2021-06-21;14664;2021-06-25;"";2021-08-20;2021-06-24;SHUL4;interest;14664
0.101490818;2019-04-08;14664;2021-06-18;"";2019-05-31;2019-04-11;SHUL3;dividend;14664
0.179413287;2018-10-11;14664;2021-06-18;"";2018-10-26;2018-10-17;SHUL3;interest;14664
0.104115009;2018-04-27;14664;2021-06-18;"";2018-06-01;2018-05-03;SHUL3;dividend;14664
0.096844408;2017-11-13;14664;2021-06-18;"";2017-11-30;2017-11-21;SHUL3;interest;14664
0.048325512;2017-04-26;14664;2021-06-18;"";2017-05-31;2017-05-02;SHUL3;dividend;14664
0.076174376;2016-10-25;14664;2021-06-18;"";2016-11-30;2016-10-28;SHUL3;interest;14664
0.042904732;2016-04-29;14664;2021-06-18;"";2016-05-31;2016-04-29;SHUL3;dividend;14664
0.061637188;2020-12-21;14664;2021-06-18;"";2021-03-31;2020-12-28;SHUL3;interest;14664
0.034912328;2021-04-15;14664;2021-06-18;"";2021-05-28;2021-04-20;SHUL3;dividend;14664
0.098155629;2020-09-25;14664;2021-06-18;"";2020-10-21;2020-09-30;SHUL3;interest;14664
0.051113669;2020-06-24;14664;2021-06-18;"";2020-07-31;2020-06-29;SHUL3;dividend;14664
0.139805747;2019-09-25;14664;2021-06-18;"";2019-10-09;2019-09-30;SHUL3;interest;14664
0.070707114;2020-11-12;14664;2021-06-18;"";2021-02-26;2020-11-17;SHUL3;interest;14664
0.038403561;2021-04-15;14664;2021-04-22;"";2021-05-28;2021-04-20;SHUL4;dividend;14664
0.067800907;2020-12-21;14664;2020-12-29;"";2021-03-31;2020-12-28;SHUL4;interest;14664
0.077777825;2020-11-12;14664;2020-11-18;"";2021-02-26;2020-11-17;SHUL4;interest;14664
0.107971192;2020-09-25;14664;2020-10-01;"";2020-10-21;2020-09-30;SHUL4;interest;14664
0.056225036;2020-06-24;14664;2020-06-30;"";2020-07-31;2020-06-29;SHUL4;dividend;14664
0.153786322;2019-09-25;14664;2019-10-01;"";2019-10-09;2019-09-30;SHUL4;interest;14664
0.1116399;2019-04-08;14664;2019-04-12;"";2019-05-31;2019-04-11;SHUL4;dividend;14664
0.197354616;2018-10-11;14664;2018-10-18;"";2018-10-26;2018-10-17;SHUL4;interest;14664
