amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.118182;2013-10-16;14826;2015-06-30;"";2013-11-07;2013-10-25;PCAR3;dividend;14826
0.13;"";14826;2015-06-30;"";2013-08-13;2013-07-31;PCAR3;dividend;14826
0.118182;2013-04-25;14826;2015-06-30;"";2013-05-16;2013-05-03;PCAR3;dividend;14826
0.59371643;2013-04-17;14826;2015-06-30;"";2013-06-24;2013-04-17;PCAR3;dividend;14826
0.1;2012-10-25;14826;2015-06-30;"";2012-11-23;2012-11-12;PCAR3;dividend;14826
0.1;2012-07-23;14826;2015-06-30;"";2012-08-13;2012-07-31;PCAR3;dividend;14826
0.1;2012-05-07;14826;2015-06-30;"";2012-06-20;2012-06-11;PCAR3;dividend;14826
0.372950601;2012-04-27;14826;2015-06-30;"";"";2012-04-27;PCAR3;dividend;14826
0.081818182;"";14826;2015-06-30;"";2011-11-28;2011-11-15;PCAR3;dividend;14826
0.09;"";14826;2015-06-30;"";2011-08-10;2011-08-01;PCAR3;dividend;14826
0.09;"";14826;2015-06-30;"";2011-05-27;2011-05-19;PCAR3;dividend;14826
0.409546379;2011-03-31;14826;2015-06-30;"";2011-05-26;2011-03-31;PCAR3;dividend;14826
0.072727273;2010-11-09;14826;2015-06-30;"";2010-12-01;2010-11-17;PCAR3;dividend;14826
0.072727273;2010-07-27;14826;2015-06-30;"";2010-08-17;2010-08-03;PCAR3;dividend;14826
0.072727273;2010-05-07;14826;2015-06-30;"";2010-05-31;2010-05-17;PCAR3;dividend;14826
0.357930277;"";14826;2015-06-30;"";2010-06-28;2010-04-29;PCAR3;interest;14826
0.06004073;2009-11-11;14826;2010-03-08;"";2009-11-30;2009-11-18;PCAR3;dividend;14826
0.123256871;2009-08-03;14826;2009-11-10;"";2009-08-24;2009-08-11;PCAR3;dividend;14826
0.248592685;"";14826;2009-11-10;"";2009-06-10;2009-05-01;PCAR3;dividend;14826
0.20804;"";14826;2008-08-01;"";2008-06-25;2008-05-01;PCAR3;dividend;14826
