amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
2.2139;2019-05-15;16497;2019-09-11;"";2019-06-28;2019-05-15;ECPR4;dividend;16497
2.0126;2019-05-15;16497;2019-06-13;"";2019-06-28;2019-05-15;ECPR3;dividend;16497
11.386071;"";16497;2018-05-04;"";2018-07-16;2018-05-01;ECPR4;dividend;16497
11.386071;2018-04-30;16497;2018-05-04;"";2018-07-16;2018-04-30;ECPR4;dividend;16497
10.350974;2018-04-30;16497;2018-05-03;"";2018-07-16;2018-04-30;ECPR3;dividend;16497
10.350974;"";16497;2018-05-03;"";2018-07-16;2018-05-01;ECPR3;dividend;16497
2.3;2014-04-30;16497;2015-02-09;"";2014-06-30;2014-04-30;ECPR3;dividend;16497
7.0;2014-07-16;16497;2015-02-09;"";2014-07-23;2014-07-16;ECPR3;dividend;16497
7.7;2014-07-16;16497;2014-07-17;"";2014-07-23;2014-07-16;ECPR4;dividend;16497
2.53;2014-04-30;16497;2014-05-02;"";2014-06-30;2014-04-30;ECPR4;dividend;16497
10.0;"";16497;2012-05-16;"";2012-06-22;2012-05-01;ECPR3;dividend;16497
10.0;2012-04-30;16497;2012-05-16;"";2012-06-22;2012-04-30;ECPR3;dividend;16497
11.0;2012-04-30;16497;2012-05-03;"";2012-06-22;2012-04-30;ECPR4;dividend;16497
