amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.87534;2015-12-03;16616;2015-12-15;"";2016-07-26;2015-12-03;CEGR3;interest;16616
2.38966668;2015-04-28;16616;2015-05-29;"";"";2015-04-28;CEGR3;dividend;16616
0.001194833;"";16616;2015-05-29;"";2015-07-29;2015-04-28;CEGR3;dividend;16616
0.7001638;2014-11-26;16616;2014-12-29;"";2015-07-29;2014-12-22;CEGR3;interest;16616
7.00164E-4;"";16616;2014-12-29;"";"";2014-12-22;CEGR3;interest;16616
2.93126461;"";16616;2014-05-05;"";2014-07-30;2014-05-01;CEGR3;dividend;16616
5.86252922;2014-04-30;16616;2014-05-05;"";"";2014-04-30;CEGR3;dividend;16616
0.69989649;2013-12-13;16616;2013-12-19;"";2014-07-30;2013-12-13;CEGR3;interest;16616
0.799485741;"";16616;2013-05-22;"";2013-07-31;2013-04-29;CEGR3;interest;16616
2.749236167;"";16616;2013-05-22;"";2013-12-31;2013-04-29;CEGR3;dividend;16616
0.799485741;2012-12-11;16616;2013-02-25;"";"";2012-12-11;CEGR3;interest;16616
0.8197;2011-12-20;16616;2012-01-19;"";"";2011-12-20;CEGR3;interest;16616
0.7512;2010-12-22;16616;2011-04-01;"";"";2010-12-22;CEGR3;interest;16616
0.0014473;"";16616;2010-06-22;"";2010-07-30;2010-04-26;CEGR3;interest;16616
0.6264;2009-12-28;16616;2010-02-02;"";2010-07-30;2009-12-28;CEGR3;interest;16616
5.975E-4;"";16616;2009-04-30;"";"";2009-04-28;CEGR3;dividend;16616
0.5919;"";16616;2008-05-16;"";"";2008-05-01;CEGR3;dividend;16616
0.4827;2007-12-13;16616;2008-01-02;"";"";2007-12-13;CEGR3;interest;16616
