amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
1.0864447;2016-10-27;16659;2016-10-28;"";2017-04-10;2016-10-27;PSSA3;interest;16659
0.14155541;2016-03-29;16659;2016-03-30;"";2016-04-08;2016-03-29;PSSA3;dividend;16659
0.31723542;2015-12-11;16659;2015-12-14;"";2016-04-08;2015-12-11;PSSA3;interest;16659
0.7902119;2015-10-28;16659;2015-10-29;"";2016-04-08;2015-10-28;PSSA3;interest;16659
0.6362331;2015-03-27;16659;2015-03-30;"";2015-04-10;2015-03-27;PSSA3;dividend;16659
0.2103355;2014-12-11;16659;2014-12-23;"";2015-04-10;2014-12-22;PSSA3;interest;16659
0.61987108;2014-10-29;16659;2014-10-30;"";2015-04-10;2014-10-29;PSSA3;interest;16659
0.3996367;"";16659;2014-03-31;"";2014-04-10;2014-03-28;PSSA3;dividend;16659
0.18961126;"";16659;2013-12-26;"";2014-04-10;2013-12-25;PSSA3;interest;16659
0.55151204;2013-10-28;16659;2013-10-29;"";2014-04-10;2013-10-28;PSSA3;interest;16659
0.36866899;"";16659;2013-04-01;"";2013-04-09;2013-03-29;PSSA3;dividend;16659
0.19610692;2012-12-14;16659;2012-12-27;"";2013-04-09;2012-12-26;PSSA3;interest;16659
0.60069343;2012-10-30;16659;2012-10-31;"";2013-04-09;2012-10-30;PSSA3;interest;16659
0.18272088;2012-03-29;16659;2012-03-30;"";2012-04-04;2012-03-29;PSSA3;dividend;16659
0.20020381;2011-12-26;16659;2011-12-29;"";2012-04-04;2011-12-28;PSSA3;interest;16659
0.58497514;2011-10-28;16659;2011-10-31;"";2012-04-04;2011-10-28;PSSA3;interest;16659
0.26583482;2011-03-30;16659;2011-03-31;"";2011-04-06;2011-03-30;PSSA3;dividend;16659
0.19472489;2010-12-14;16659;2011-01-03;"";2011-04-06;2010-12-30;PSSA3;interest;16659
0.345499335;2010-10-28;16659;2010-11-01;"";2011-04-06;2010-10-29;PSSA3;interest;16659
0.069663495;"";16659;2010-01-04;"";2010-04-08;2010-01-01;PSSA3;interest;16659
0.405607412;"";16659;2009-11-03;"";2010-04-08;2009-11-02;PSSA3;interest;16659
0.447522121;"";16659;2009-01-02;"";2009-04-03;2009-01-01;PSSA3;interest;16659
0.973923614;"";16659;2008-01-02;"";2008-04-04;2008-01-01;PSSA3;interest;16659
0.7;"";16659;2008-01-02;"";2008-04-04;2008-01-01;PSSA3;dividend;16659
