amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.495261125;"";16993;"";"";2021-12-29;2021-11-18;EMAE3;interest;16993
0.3530909;2020-04-23;16993;"";"";2020-05-25;2020-04-23;EMAE3;dividend;16993
0.960257246;2020-12-09;16993;"";"";2020-12-30;2020-12-14;EMAE3;interest;16993
5.657019779;2020-12-29;16993;"";"";2021-01-29;2021-01-05;EMAE3;dividend;16993
0.766738949;2021-04-23;16993;"";"";2021-05-21;2021-04-23;EMAE3;dividend;16993
0.509914823;"";16993;"";"";2022-06-30;2022-05-16;EMAE3;interest;16993
0.29126205;"";16993;"";"";2022-05-25;2022-04-29;EMAE3;dividend;16993
0.428149786;2021-05-05;16993;"";"";2021-06-30;2021-05-10;EMAE3;interest;16993
0.3605705;2019-12-18;16993;"";"";2020-02-17;2019-12-26;EMAE3;interest;16993
0.560906305;"";16993;2022-05-17;"";2022-06-30;2022-05-16;EMAE4;interest;16993
0.32038826;"";16993;2022-05-02;"";2022-05-25;2022-04-29;EMAE4;dividend;16993
0.544787237;"";16993;2021-11-19;"";2021-12-29;2021-11-18;EMAE4;interest;16993
0.470964765;2021-05-05;16993;2021-05-11;"";2021-06-30;2021-05-10;EMAE4;interest;16993
0.843412844;2021-04-23;16993;2021-04-26;"";2021-05-21;2021-04-23;EMAE4;dividend;16993
6.222721757;2020-12-29;16993;2021-01-06;"";2021-01-29;2021-01-05;EMAE4;dividend;16993
1.05628297;2020-12-09;16993;2020-12-15;"";2020-12-30;2020-12-14;EMAE4;interest;16993
0.3884;2020-04-23;16993;2020-04-24;"";2020-05-25;2020-04-23;EMAE4;dividend;16993
0.3966276;2019-12-18;16993;2019-12-27;"";2020-02-17;2019-12-26;EMAE4;interest;16993
0.232;2019-04-22;16993;2019-04-30;"";2019-07-22;2019-04-22;EMAE3;dividend;16993
0.2552;2019-04-22;16993;2019-04-23;"";2019-07-22;2019-04-22;EMAE4;dividend;16993
0.028931161;2010-04-30;16993;2019-04-08;"";2010-07-15;2010-05-03;EMAE3;dividend;16993
