amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.579480729;"";17329;2022-11-22;"";2022-12-12;2022-11-21;EGIE3;dividend;17329
0.708254224;"";17329;2022-08-17;"";2022-12-12;2022-08-16;EGIE3;dividend;17329
0.673831348;"";17329;2022-05-12;"";2022-07-12;2022-05-11;EGIE3;dividend;17329
0.782752408;"";17329;2022-02-25;"";2022-03-17;2022-02-24;EGIE3;dividend;17329
0.073535924;"";17329;2021-12-30;"";2022-03-17;2021-12-29;EGIE3;interest;17329
0.967632145;2021-08-05;17329;2021-08-17;"";2021-11-29;2021-08-16;EGIE3;dividend;17329
0.747117736;2021-04-28;17329;2021-05-12;"";2021-07-12;2021-05-11;EGIE3;dividend;17329
0.214479777;2020-12-15;17329;2020-12-21;"";2021-04-05;2020-12-18;EGIE3;interest;17329
0.679560332;2020-12-15;17329;2020-12-21;"";2021-01-29;2020-12-18;EGIE3;dividend;17329
0.830573739;2020-07-30;17329;2020-08-10;"";2021-01-29;2020-08-07;EGIE3;dividend;17329
1.094949792;2019-11-05;17329;2019-12-03;"";2020-01-29;2019-12-02;EGIE3;dividend;17329
0.43386195;2019-11-05;17329;2019-12-03;"";2020-07-01;2019-12-02;EGIE3;interest;17329
0.09400692;2019-04-26;17329;2019-05-07;"";2019-09-27;2019-05-06;EGIE3;dividend;17329
0.486562695;2018-10-31;17329;2018-12-27;"";2019-03-27;2018-12-26;EGIE3;interest;17329
1.0;2018-10-31;17329;2018-11-13;"";2018-11-12;2018-11-12;EGIE3;dividend;17329
1.755726739;2018-08-08;17329;2018-08-21;"";2019-01-29;2018-08-20;EGIE3;dividend;17329
0.975509655;2018-04-11;17329;2018-04-24;"";2018-06-28;2018-04-23;EGIE3;dividend;17329
0.650333325;2017-10-26;17329;2017-11-10;"";2018-03-27;2017-11-09;EGIE3;interest;17329
1.438420619;2017-07-27;17329;2017-08-10;"";2018-01-10;2017-08-09;EGIE3;dividend;17329
0.627574929;2017-04-17;17329;2017-05-30;"";2017-06-21;2017-05-29;EGIE3;dividend;17329
0.662589312;2016-10-27;17329;2016-11-11;"";2017-02-01;2016-11-10;EGIE3;interest;17329
0.988440399;2016-07-28;17329;2016-08-09;"";2016-10-06;2016-08-08;EGIE3;dividend;17329
0.320952656;2016-04-14;17329;2016-07-21;"";2016-05-25;2016-05-10;EGIE3;dividend;17329
