amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.004738862;2019-11-13;17973;2019-11-21;"";2019-11-29;2019-11-19;COGN3;dividend;17973
0.03369237;2019-08-14;17973;2019-10-11;"";2019-08-29;2019-08-20;COGN3;dividend;17973
0.055537187;2019-05-15;17973;2019-10-11;"";2019-05-30;2019-05-21;COGN3;dividend;17973
0.026387733;2019-03-29;17973;2019-10-11;"";2019-04-15;2019-04-04;COGN3;dividend;17973
0.081225151;2018-11-09;17973;2019-10-11;"";2018-11-27;2018-11-16;COGN3;dividend;17973
0.109154624;2018-08-14;17973;2019-10-11;"";2018-08-29;2018-08-20;COGN3;dividend;17973
0.11079147;2018-05-11;17973;2019-10-11;"";2018-05-28;2018-05-17;COGN3;dividend;17973
0.090548853;2018-03-16;17973;2019-10-11;"";2018-04-03;2018-03-22;COGN3;dividend;17973
0.104508182;2017-11-10;17973;2019-10-11;"";2017-11-27;2017-11-16;COGN3;dividend;17973
0.127761616;2017-08-11;17973;2019-10-11;"";2017-08-28;2017-08-17;COGN3;dividend;17973
0.115454467;2017-05-12;17973;2019-10-11;"";2017-05-29;2017-05-18;COGN3;dividend;17973
0.077310811;2017-03-22;17973;2019-10-11;"";2017-04-10;2017-03-28;COGN3;dividend;17973
0.075416633;2016-11-10;17973;2019-10-11;"";2016-11-25;2016-11-16;COGN3;dividend;17973
0.10665941;2016-08-12;17973;2019-10-11;"";2016-08-26;2016-08-17;COGN3;dividend;17973
0.123214713;2016-05-12;17973;2019-10-11;"";2016-05-30;2016-05-12;COGN3;dividend;17973
