amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
2.93990273;2021-04-30;18368;2021-05-03;"";2021-06-25;2021-04-30;GEPA4;dividend;18368
2.93990273;2021-04-30;18368;2021-05-03;"";2021-06-25;2021-04-30;GEPA3;dividend;18368
0.5612428;2020-12-18;18368;2020-12-22;"";2021-03-30;2020-12-18;GEPA3;interest;18368
0.5612428;2020-12-18;18368;2020-12-21;"";2021-03-30;2020-12-18;GEPA4;interest;18368
1.325059871;2020-07-03;18368;2020-07-07;"";2020-08-28;2020-07-03;GEPA3;dividend;18368
1.325059871;2020-07-03;18368;2020-07-06;"";2020-08-28;2020-07-03;GEPA4;dividend;18368
0.7200851;2019-12-20;18368;2019-12-26;"";2020-03-30;2019-12-20;GEPA3;interest;18368
0.7200851;2019-12-20;18368;2019-12-23;"";2020-03-30;2019-12-20;GEPA4;interest;18368
1.270738411;2019-12-12;18368;2019-12-13;"";2019-12-20;2019-12-12;GEPA3;dividend;18368
1.270738411;2019-12-12;18368;2019-12-13;"";2019-12-20;2019-12-12;GEPA4;dividend;18368
1.280630632;2019-04-26;18368;2019-04-29;"";2019-06-27;2019-04-26;GEPA4;dividend;18368
1.280630632;2019-04-26;18368;2019-04-29;"";2019-06-27;2019-04-26;GEPA3;dividend;18368
0.78362202;"";18368;2019-01-03;"";2019-03-27;2018-12-31;GEPA3;interest;18368
0.78362202;"";18368;2019-01-03;"";2019-03-27;2018-12-31;GEPA4;interest;18368
1.270738411;2018-11-22;18368;2018-11-27;"";2018-12-19;2018-11-22;GEPA3;dividend;18368
1.270738411;2018-11-22;18368;2018-11-26;"";2018-12-19;2018-11-22;GEPA4;dividend;18368
1.298785502;2018-04-27;18368;2018-05-02;"";2018-06-27;2018-04-27;GEPA3;dividend;18368
1.298785502;2018-04-27;18368;2018-05-02;"";2018-06-30;2018-04-27;GEPA4;dividend;18368
0.78362202;2017-12-19;18368;2017-12-20;"";2018-01-30;2017-12-19;GEPA4;interest;18368
0.78362202;2017-12-19;18368;2017-12-20;"";2018-01-30;2017-12-19;GEPA3;interest;18368
1.270738411;2017-10-31;18368;2017-11-01;"";2017-12-19;2017-10-31;GEPA4;dividend;18368
1.270738411;2017-10-31;18368;2017-11-01;"";2017-12-19;2017-10-31;GEPA3;dividend;18368
1.839499993;2017-04-28;18368;2017-05-18;"";2017-06-30;2017-04-28;GEPA3;dividend;18368
1.839499993;2017-04-28;18368;2017-05-08;"";2017-06-30;2017-04-28;GEPA4;dividend;18368
0.666;2016-12-27;18368;2016-12-28;"";2017-01-06;2016-12-27;GEPA4;interest;18368
0.666;2016-12-27;18368;2016-12-28;"";2017-01-06;2016-12-27;GEPA3;interest;18368
1.887422485;2016-10-26;18368;2016-12-08;"";2016-12-31;2016-10-26;GEPA3;dividend;18368
1.887422485;2016-10-26;18368;2016-10-28;"";2016-12-31;2016-10-26;GEPA4;dividend;18368
1.150727271;2016-04-28;18368;2016-05-06;"";2016-05-18;2016-04-28;GEPA4;dividend;18368
0.65568519;2015-10-30;18368;2016-05-03;"";2015-11-24;2015-10-30;GEPA3;dividend;18368
1.383645631;2016-04-28;18368;2016-05-03;"";2016-05-18;2016-04-28;GEPA3;dividend;18368
0.556;2015-12-28;18368;2016-05-03;"";2016-03-31;2015-12-28;GEPA3;interest;18368
0.556;2015-12-28;18368;2015-12-30;"";2016-03-31;2015-12-28;GEPA4;interest;18368
0.888603548;2015-10-30;18368;2015-11-04;"";2015-11-24;2015-10-30;GEPA4;dividend;18368
0.664;2014-12-29;18368;2015-05-19;"";2015-03-31;2014-12-29;GEPA3;interest;18368
