amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.063643035;"";19453;2018-11-06;"";2018-11-16;2018-11-05;ECOR3;dividend;19453
0.285668031;"";19453;2018-11-06;"";2018-11-16;2018-11-05;ECOR3;dividend;19453
0.372793607;2018-04-25;19453;2018-05-02;"";2018-05-15;2018-04-30;ECOR3;dividend;19453
0.233617112;2017-10-27;19453;2017-11-03;"";2017-11-14;2017-11-01;ECOR3;dividend;19453
0.188714533;2017-03-24;19453;2017-03-30;"";2017-04-13;2017-03-29;ECOR3;dividend;19453
0.186040717;"";19453;2016-11-10;"";2016-11-18;2016-11-09;ECOR3;dividend;19453
0.077296714;"";19453;2016-11-10;"";2016-11-18;2016-11-09;ECOR3;dividend;19453
0.423919834;2015-05-14;19453;2015-05-15;"";2015-05-28;2015-05-14;ECOR3;dividend;19453
0.179099525;"";19453;2014-11-25;"";2014-12-10;2014-11-24;ECOR3;interest;19453
0.233804856;"";19453;2014-11-25;"";2014-12-10;2014-11-24;ECOR3;dividend;19453
