amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.354889509;"";19739;2022-09-29;"";2022-11-09;2022-09-28;RENT3;interest;19739
0.17493764;"";19739;2022-07-01;"";2022-08-26;2022-06-30;RENT3;interest;19739
0.274130886;"";19739;2022-05-02;"";2022-05-20;2022-04-29;RENT3;dividend;19739
0.146694635;"";19739;2022-03-30;"";2022-05-20;2022-03-29;RENT3;interest;19739
0.129163564;"";19739;2021-12-20;"";2022-02-11;2021-12-17;RENT3;interest;19739
0.109203628;"";19739;2021-09-30;"";2021-11-22;2021-09-29;RENT3;interest;19739
0.096195083;2021-06-24;19739;2021-06-30;"";2021-08-20;2021-06-29;RENT3;interest;19739
0.024111603;2021-04-27;19739;2021-05-03;"";2021-05-21;2021-04-30;RENT3;dividend;19739
0.084795911;2021-03-24;19739;2021-03-30;"";2021-05-21;2021-03-29;RENT3;interest;19739
0.084906178;2020-12-10;19739;2020-12-16;"";2021-02-05;2020-12-15;RENT3;interest;19739
0.087345099;2020-09-04;19739;2020-09-11;"";2020-11-05;2020-09-10;RENT3;interest;19739
0.086217537;2020-06-18;19739;2020-06-24;"";2020-10-15;2020-06-23;RENT3;interest;19739
0.089006724;2020-03-10;19739;2020-03-16;"";2020-09-15;2020-03-13;RENT3;interest;19739
0.099742367;2019-12-12;19739;2019-12-18;"";2020-02-14;2019-12-17;RENT3;interest;19739
0.103680691;2019-09-04;19739;2019-09-10;"";2019-11-08;2019-09-09;RENT3;interest;19739
0.104982046;2019-06-18;19739;2019-06-25;"";2019-08-16;2019-06-24;RENT3;interest;19739
0.010068993;2019-04-29;19739;2019-05-06;"";2019-05-20;2019-05-03;RENT3;dividend;19739
0.096414094;2019-03-21;19739;2019-03-27;"";2019-05-20;2019-03-26;RENT3;interest;19739
0.074537183;2018-12-13;19739;2018-12-20;"";2019-02-06;2018-12-19;RENT3;interest;19739
0.06737798;2018-09-21;19739;2018-09-28;"";2018-11-16;2018-09-27;RENT3;interest;19739
0.064955268;2018-06-21;19739;2018-06-29;"";2018-08-16;2018-06-28;RENT3;interest;19739
0.063557522;2018-03-22;19739;2018-03-29;"";2018-05-16;2018-03-28;RENT3;interest;19739
0.064746197;2017-12-07;19739;2017-12-15;"";2018-01-31;2017-12-14;RENT3;interest;19739
0.186484472;2017-09-13;19739;2017-09-25;"";2017-11-07;2017-09-22;RENT3;interest;19739
0.178614425;2017-06-30;19739;2017-07-07;"";2017-08-24;2017-07-06;RENT3;interest;19739
0.182487;"";19739;2017-03-16;"";2017-05-02;2017-03-15;RENT3;interest;19739
0.224468022;2016-12-15;19739;2016-12-23;"";2017-02-08;2016-12-22;RENT3;interest;19739
0.158654649;2016-09-29;19739;2016-10-03;"";2016-11-23;2016-09-30;RENT3;interest;19739
0.176597;"";19739;2016-07-01;"";2016-08-17;2016-06-30;RENT3;dividend;19739
0.005003693;2016-04-29;19739;2016-05-02;"";2016-05-20;2016-04-29;RENT3;dividend;19739
0.170148902;2016-03-17;19739;2016-04-01;"";2016-05-12;2016-03-31;RENT3;interest;19739
0.159480086;2015-12-10;19739;2016-01-04;"";2016-01-28;2015-12-30;RENT3;interest;19739
0.141815754;2015-09-30;19739;2015-10-01;"";2015-11-19;2015-09-30;RENT3;interest;19739
0.123396216;2015-06-25;19739;2015-07-01;"";2015-08-20;2015-06-30;RENT3;interest;19739
0.214031311;2015-04-28;19739;2015-05-04;"";2015-05-21;2015-04-30;RENT3;dividend;19739
0.107094267;2015-03-19;19739;2015-04-01;"";2015-05-14;2015-03-31;RENT3;interest;19739
0.081568353;"";19739;2015-01-02;"";2015-01-30;2015-01-01;RENT3;interest;19739
0.076618727;2014-09-25;19739;2014-10-01;"";2014-11-19;2014-09-30;RENT3;interest;19739
