amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.01;"";20087;2019-01-14;"";2019-01-11;2019-01-11;EMBR3;dividend;20087
0.01;"";20087;2018-10-15;"";2018-10-11;2018-10-11;EMBR3;dividend;20087
0.02;2018-06-14;20087;2018-06-26;"";2018-07-13;2018-06-25;EMBR3;interest;20087
0.07201612;"";20087;2018-04-25;"";2018-05-21;2018-04-24;EMBR3;interest;20087
0.02;2018-03-05;20087;2018-03-16;"";2018-04-14;2018-03-15;EMBR3;interest;20087
0.09;2017-12-14;20087;2017-12-26;"";2018-01-26;2017-12-22;EMBR3;interest;20087
0.04;2017-09-06;20087;2017-09-19;"";2017-10-09;2017-09-18;EMBR3;interest;20087
0.04;2017-06-02;20087;2017-06-13;"";2017-07-13;2017-06-12;EMBR3;interest;20087
0.10190828;2017-04-12;20087;2017-04-25;"";2017-05-10;2017-04-24;EMBR3;dividend;20087
0.04;2017-03-08;20087;2017-03-21;"";2017-04-13;2017-03-20;EMBR3;interest;20087
0.02;2016-09-15;20087;2016-09-27;"";2016-10-14;2016-09-26;EMBR3;interest;20087
0.04;2016-06-09;20087;2016-06-21;"";2016-07-14;2016-06-20;EMBR3;interest;20087
0.04;"";20087;2016-03-11;"";2016-04-14;2016-03-10;EMBR3;interest;20087
0.04;2015-12-10;20087;2015-12-22;"";2016-01-13;2015-12-21;EMBR3;interest;20087
0.04;2015-08-06;20087;2015-08-18;"";2015-10-14;2015-08-17;EMBR3;interest;20087
0.04;2015-06-11;20087;2015-06-23;"";2015-07-13;2015-06-22;EMBR3;interest;20087
0.0218753;2015-04-15;20087;2015-04-28;"";2015-05-13;2015-04-27;EMBR3;dividend;20087
0.04;2015-03-03;20087;2015-03-17;"";2015-04-14;2015-03-16;EMBR3;interest;20087
0.12;2014-12-04;20087;2014-12-16;"";2015-01-09;2014-12-15;EMBR3;interest;20087
0.05;2014-09-11;20087;2014-09-23;"";2014-10-10;2014-09-22;EMBR3;interest;20087
0.05;2014-06-10;20087;2014-06-24;"";2014-07-17;2014-06-23;EMBR3;interest;20087
0.066806;2014-04-16;20087;2014-04-29;"";2014-05-13;2014-04-28;EMBR3;dividend;20087
