amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.17;2017-08-07;20338;2017-08-11;"";2017-08-18;2017-08-10;MDIA3;interest;20338
1.05;2016-12-12;20338;2016-12-16;"";2016-12-30;2016-12-15;MDIA3;interest;20338
0.5;2016-08-01;20338;2016-08-05;"";2016-08-15;2016-08-04;MDIA3;interest;20338
0.72;2015-12-14;20338;2015-12-15;"";2016-04-25;2015-12-14;MDIA3;interest;20338
0.5;2015-07-27;20338;2015-07-28;"";2015-08-14;2015-07-27;MDIA3;interest;20338
1.212975132;2014-12-15;20338;2014-12-16;"";2015-04-24;2014-12-15;MDIA3;interest;20338
1.033671107;2013-12-09;20338;2013-12-10;"";2014-04-30;2013-12-09;MDIA3;interest;20338
1.009326435;2012-12-21;20338;2012-12-26;"";2013-04-30;2012-12-21;MDIA3;interest;20338
0.77126487;2011-12-28;20338;2011-12-29;"";2012-04-27;2011-12-28;MDIA3;interest;20338
0.7712;2011-04-11;20338;2011-04-12;"";2011-04-29;2011-04-11;MDIA3;interest;20338
0.67257615;2010-04-05;20338;2010-04-06;"";2010-04-16;2010-04-05;MDIA3;dividend;20338
0.27914513;2009-04-24;20338;2009-04-27;"";2009-05-25;2009-04-24;MDIA3;dividend;20338
0.26778579;2008-04-29;20338;2008-04-30;"";2008-05-12;2008-04-29;MDIA3;dividend;20338
