amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.315;2014-04-24;20494;2014-04-25;"";2014-05-08;2014-04-24;IGTA3;dividend;20494
0.402323487;2013-04-24;20494;2013-04-25;"";2013-05-10;2013-04-24;IGTA3;dividend;20494
0.38;2012-04-24;20494;2012-04-25;"";2012-05-09;2012-04-24;IGTA3;dividend;20494
0.379;2011-11-30;20494;2011-12-01;"";"";2011-11-30;IGTA3;interest;20494
0.31;"";20494;2011-04-28;"";2011-05-18;2011-04-27;IGTA3;dividend;20494
0.416;2010-11-11;20494;2010-11-12;"";"";2010-11-11;IGTA3;interest;20494
0.252;2010-04-28;20494;2010-04-29;"";2010-05-20;2010-04-28;IGTA3;dividend;20494
0.379;2009-12-01;20494;2009-12-02;"";2010-05-20;2009-12-01;IGTA3;interest;20494
0.463;2009-04-23;20494;2009-04-24;"";2009-05-08;2009-04-23;IGTA3;dividend;20494
0.308;2008-11-11;20494;2008-11-12;"";"";2008-11-11;IGTA3;interest;20494
0.44711;"";20494;2008-04-25;"";2008-05-15;2008-04-24;IGTA3;dividend;20494
0.165;2007-11-29;20494;2007-12-03;"";"";2007-11-30;IGTA3;interest;20494
0.14025;"";20494;2007-10-01;"";"";2007-09-28;IGTA3;interest;20494
