amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.424392722;2015-09-09;20532;2015-09-10;"";2015-10-05;2015-09-09;SANB4;dividend;20532
0.020842105;2015-03-27;20532;2015-03-30;"";2015-08-28;2015-03-27;SANB4;dividend;20532
0.018947368;2015-03-27;20532;2015-03-30;"";2015-08-28;2015-03-27;SANB3;dividend;20532
0.087212006;"";20532;2015-01-02;"";2015-02-26;2015-01-01;SANB3;interest;20532
0.095933206;"";20532;2015-01-02;"";2015-02-26;2015-01-01;SANB4;interest;20532
0.027773795;2014-09-25;20532;2014-09-26;"";2015-02-26;2014-09-25;SANB3;dividend;20532
0.030551174;2014-09-25;20532;2014-09-26;"";2015-02-26;2014-09-25;SANB4;dividend;20532
0.055550549;2014-06-24;20532;2014-06-26;"";2014-08-28;2014-06-25;SANB4;dividend;20532
0.050500499;2014-06-24;20532;2014-06-26;"";2014-08-28;2014-06-25;SANB3;dividend;20532
0.289707336;"";20532;2014-03-27;"";2014-08-28;2014-03-26;SANB3;dividend;20532
0.31867807;"";20532;2014-03-27;"";2014-08-28;2014-03-26;SANB4;dividend;20532
1.891846548;"";20532;2014-01-02;"";2014-02-26;2014-01-01;SANB4;dividend;20532
1.719860498;"";20532;2014-01-02;"";2014-02-26;2014-01-01;SANB3;dividend;20532
1.082149672;"";20532;2013-09-27;"";2014-02-26;2013-09-26;SANB3;dividend;20532
1.190364639;"";20532;2013-09-27;"";2014-02-26;2013-09-26;SANB4;dividend;20532
1.560306559;"";20532;2013-06-26;"";2013-08-29;2013-06-25;SANB3;dividend;20532
1.716337215;"";20532;2013-06-26;"";2013-08-29;2013-06-25;SANB4;dividend;20532
0.600201778;"";20532;2012-12-20;"";2013-02-26;2012-12-19;SANB3;dividend;20532
0.660221955;"";20532;2012-12-20;"";2013-02-26;2012-12-19;SANB4;dividend;20532
1.18839952;"";20532;2012-12-20;"";2013-02-26;2012-12-19;SANB4;interest;20532
1.0803632;"";20532;2012-12-20;"";2013-02-26;2012-12-19;SANB3;interest;20532
3.96117E-4;"";20532;2012-09-27;"";2013-02-26;2012-09-26;SANB4;dividend;20532
3.60106E-4;"";20532;2012-09-27;"";2013-02-26;2012-09-26;SANB3;dividend;20532
8.40248E-4;"";20532;2012-09-27;"";2013-02-26;2012-09-26;SANB3;dividend;20532
9.24273E-4;"";20532;2012-09-27;"";2013-02-26;2012-09-26;SANB4;dividend;20532
4.08116E-4;2012-06-26;20532;2012-06-29;"";2012-08-29;2012-06-28;SANB3;interest;20532
0.129396894;"";20532;2012-06-29;"";2012-08-29;2012-06-28;SANB11;dividend;20532
0.0448928;"";20532;2012-06-29;"";2012-08-29;2012-06-28;SANB11;interest;20532
0.001082709;"";20532;2012-06-29;"";2012-08-29;2012-06-28;SANB4;dividend;20532
9.84281E-4;"";20532;2012-06-29;"";2012-08-29;2012-06-28;SANB3;dividend;20532
4.48928E-4;2012-06-26;20532;2012-06-29;"";2012-08-29;2012-06-28;SANB4;interest;20532
0.10827087;"";20532;2012-06-29;"";2012-08-29;2012-06-28;SANB11;dividend;20532
0.001293969;"";20532;2012-06-29;"";2012-08-29;2012-06-28;SANB4;dividend;20532
0.001176335;"";20532;2012-06-29;"";2012-08-29;2012-06-28;SANB3;dividend;20532
0.001056001;2012-03-28;20532;2012-03-29;"";2012-08-29;2012-03-28;SANB4;interest;20532
0.105600106;"";20532;2012-03-29;"";2012-08-29;2012-03-28;SANB11;interest;20532
9.60001E-4;2012-03-28;20532;2012-03-29;"";2012-08-29;2012-03-28;SANB3;interest;20532
0.204494392;"";20532;2011-12-22;"";2012-02-28;2011-12-21;SANB11;dividend;20532
0.002044944;2011-12-21;20532;2011-12-22;"";2012-02-28;2011-12-21;SANB4;dividend;20532
0.00185904;2011-12-21;20532;2011-12-22;"";2012-02-28;2011-12-21;SANB3;dividend;20532
0.001055127;2011-09-21;20532;2011-09-23;"";2012-02-28;2011-09-22;SANB4;interest;20532
9.59206E-4;2011-09-21;20532;2011-09-23;"";2012-02-28;2011-09-22;SANB3;interest;20532
0.105512668;"";20532;2011-09-23;"";2012-02-28;2011-09-22;SANB11;interest;20532
2.39427E-4;2011-06-20;20532;2011-06-22;"";2011-08-29;2011-06-21;SANB3;dividend;20532
0.026336937;"";20532;2011-06-22;"";2011-08-29;2011-06-21;SANB11;dividend;20532
0.144853156;"";20532;2011-06-22;"";2011-08-29;2011-06-21;SANB11;interest;20532
2.63369E-4;2011-06-20;20532;2011-06-22;"";2011-08-29;2011-06-21;SANB4;dividend;20532
0.001448532;2011-06-20;20532;2011-06-22;"";2011-08-29;2011-06-21;SANB4;interest;20532
0.001316847;2011-06-20;20532;2011-06-22;"";2011-08-29;2011-06-21;SANB3;interest;20532
0.00197527;2011-05-30;20532;2011-06-01;"";2011-08-29;2011-05-31;SANB4;dividend;20532
0.19752703;"";20532;2011-06-01;"";2011-08-29;2011-05-31;SANB11;dividend;20532
0.0017957;2011-05-30;20532;2011-06-01;"";2011-08-29;2011-05-31;SANB3;dividend;20532
0.00143656;2011-03-24;20532;2011-03-25;"";2011-08-29;2011-03-24;SANB3;interest;20532
0.158021625;"";20532;2011-03-25;"";2011-08-29;2011-03-24;SANB11;interest;20532
0.001580216;2011-03-24;20532;2011-03-25;"";2011-08-29;2011-03-24;SANB4;interest;20532
0.337112799;"";20532;2010-12-23;"";2011-02-25;2010-12-22;SANB11;dividend;20532
0.001132488;2010-12-15;20532;2010-12-23;"";2011-02-25;2010-12-22;SANB4;interest;20532
0.003064662;2010-12-15;20532;2010-12-23;"";2011-02-25;2010-12-22;SANB3;dividend;20532
0.001029535;2010-12-15;20532;2010-12-23;"";2011-02-25;2010-12-22;SANB3;interest;20532
0.003371128;2010-12-15;20532;2010-12-23;"";2011-02-25;2010-12-22;SANB4;dividend;20532
0.113248831;"";20532;2010-12-23;"";2011-02-25;2010-12-22;SANB11;interest;20532
0.001268962;2010-09-22;20532;2010-09-23;"";2011-02-25;2010-09-22;SANB3;interest;20532
0.139585768;"";20532;2010-09-23;"";2011-02-25;2010-09-22;SANB11;interest;20532
0.001395858;2010-09-22;20532;2010-09-23;"";2011-02-25;2010-09-22;SANB4;interest;20532
0.001053477;2010-06-30;20532;2010-07-01;"";2010-08-25;2010-06-30;SANB4;interest;20532
0.10534775;"";20532;2010-07-01;"";2010-08-25;2010-06-30;SANB11;interest;20532
0.131684687;"";20532;2010-07-01;"";2010-08-25;2010-06-30;SANB11;dividend;20532
0.001197134;2010-06-30;20532;2010-07-01;"";2010-08-25;2010-06-30;SANB3;dividend;20532
9.57707E-4;2010-06-30;20532;2010-07-01;"";2010-08-25;2010-06-30;SANB3;interest;20532
0.001316847;2010-06-30;20532;2010-07-01;"";2010-08-25;2010-06-30;SANB4;dividend;20532
9.57707E-4;2010-03-22;20532;2010-03-23;"";2010-08-25;2010-03-22;SANB3;interest;20532
0.001053477;2010-03-22;20532;2010-03-23;"";2010-08-25;2010-03-22;SANB4;interest;20532
0.10534775;"";20532;2010-03-23;"";2010-08-25;2010-03-22;SANB11;interest;20532
0.111299898;"";20532;2009-12-29;"";2010-02-22;2009-12-28;SANB11;dividend;20532
0.052673875;"";20532;2009-12-29;"";2010-02-22;2009-12-28;SANB11;interest;20532
0.086227133;"";20532;2009-12-29;"";2010-02-22;2009-12-28;SANB11;dividend;20532
0.001011817;"";20532;2009-12-29;"";2010-02-22;2009-12-28;SANB3;dividend;20532
7.83883E-4;"";20532;2009-12-29;"";2010-02-22;2009-12-28;SANB3;dividend;20532
4.78853E-4;2009-12-23;20532;2009-12-29;"";2010-02-22;2009-12-28;SANB3;interest;20532
8.62271E-4;"";20532;2009-12-29;"";2010-02-22;2009-12-28;SANB4;dividend;20532
0.001112999;"";20532;2009-12-29;"";2010-02-22;2009-12-28;SANB4;dividend;20532
5.26739E-4;2009-12-23;20532;2009-12-29;"";2010-02-22;2009-12-28;SANB4;interest;20532
9.19683E-4;2009-06-30;20532;2009-07-01;"";2010-02-22;2009-06-30;SANB4;interest;20532
8.36076E-4;2009-06-30;20532;2009-07-01;"";2010-02-22;2009-06-30;SANB3;interest;20532
9.97423E-4;2009-04-28;20532;2009-04-29;"";2010-02-22;2009-04-28;SANB3;interest;20532
0.001097166;2009-04-28;20532;2009-04-29;"";2010-02-22;2009-04-28;SANB4;interest;20532
8.933E-6;"";20532;2008-12-23;"";2009-03-25;2008-12-19;SANB3;dividend;20532
0.001408127;2008-12-19;20532;2008-12-23;"";2009-03-25;2008-12-19;SANB3;interest;20532
6.37157E-4;"";20532;2008-12-23;"";2009-03-25;2008-12-19;SANB3;dividend;20532
0.002208433;"";20532;2008-12-23;"";2009-03-25;2008-12-19;SANB3;dividend;20532
0.002429276;"";20532;2008-12-22;"";2009-03-25;2008-12-19;SANB4;dividend;20532
0.00154894;2008-12-19;20532;2008-12-22;"";2009-03-25;2008-12-19;SANB4;interest;20532
7.00873E-4;"";20532;2008-12-22;"";2009-03-25;2008-12-19;SANB4;dividend;20532
9.826E-6;"";20532;2008-12-22;"";2009-03-25;2008-12-19;SANB4;dividend;20532
0.001904395;2007-12-26;20532;2007-12-28;"";2008-03-19;2007-12-26;SANB3;interest;20532
0.001732579;2007-12-26;20532;2007-12-28;"";2008-03-05;2007-12-26;SANB3;dividend;20532
0.001905837;2007-12-26;20532;2007-12-27;"";2008-03-05;2007-12-26;SANB4;dividend;20532
0.002094835;2007-12-26;20532;2007-12-27;"";2008-03-19;2007-12-26;SANB4;interest;20532
0.007015016;"";20532;2007-12-26;"";2008-03-05;2007-12-25;SANB3;dividend;20532
0.007716518;"";20532;2007-12-26;"";2008-03-05;2007-12-25;SANB4;dividend;20532
0.00189288;"";20532;2007-07-05;"";2007-10-01;2007-06-29;SANB3;interest;20532
0.003755256;"";20532;2007-07-05;"";2007-10-01;2007-06-29;SANB3;dividend;20532
0.004130781;"";20532;2007-07-02;"";2007-10-01;2007-06-29;SANB4;dividend;20532
0.002082168;"";20532;2007-07-02;"";2007-10-01;2007-06-29;SANB4;interest;20532
