amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.022609824;2011-09-27;20567;2011-10-03;"";2011-10-13;2011-09-30;PINE4;dividend;20567
0.155888789;2011-09-27;20567;2011-10-03;"";2011-10-13;2011-09-30;PINE4;interest;20567
0.153639707;2011-06-30;20567;2011-07-01;"";2011-07-12;2011-06-30;PINE4;interest;20567
0.02708419;2011-03-31;20567;2011-04-01;"";2011-04-11;2011-03-31;PINE4;dividend;20567
0.151414424;2011-03-31;20567;2011-04-01;"";2011-04-11;2011-03-31;PINE4;interest;20567
0.150533831;"";20567;2011-01-03;"";2011-01-11;2010-12-31;PINE4;interest;20567
0.087464321;"";20567;2011-01-03;"";2011-01-11;2010-12-31;PINE4;dividend;20567
0.149590326;2010-09-30;20567;2010-10-01;"";2010-10-13;2010-09-30;PINE4;interest;20567
0.090406988;2010-09-30;20567;2010-10-01;"";2010-10-13;2010-09-30;PINE4;dividend;20567
0.092554964;2010-06-30;20567;2010-07-01;"";2010-07-13;2010-06-30;PINE4;dividend;20567
0.14744235;2010-06-30;20567;2010-07-01;"";2010-07-13;2010-06-30;PINE4;interest;20567
0.145294374;2010-03-31;20567;2010-04-01;"";2010-04-13;2010-03-31;PINE4;interest;20567
0.034703612;2010-03-31;20567;2010-04-01;"";2010-04-13;2010-03-31;PINE4;dividend;20567
0.029867666;2009-09-30;20567;2009-10-01;"";2009-10-13;2009-09-30;PINE4;dividend;20567
0.15013032;2009-09-30;20567;2009-10-01;"";2009-10-13;2009-09-30;PINE4;interest;20567
0.085772823;2009-06-30;20567;2009-07-01;"";2009-07-14;2009-06-30;PINE4;dividend;20567
0.153315185;2009-06-30;20567;2009-07-01;"";2009-07-14;2009-06-30;PINE4;interest;20567
0.149302588;2009-03-31;20567;2009-04-01;"";2009-04-13;2009-03-31;PINE4;interest;20567
0.146182268;2009-03-31;20567;2009-04-01;"";2009-04-13;2009-03-31;PINE4;dividend;20567
0.02765969;"";20567;2009-01-05;"";2010-01-13;2009-01-02;PINE4;dividend;20567
0.152338295;"";20567;2009-01-05;"";2010-01-13;2009-01-02;PINE4;interest;20567
0.149831801;"";20567;2009-01-02;"";2009-01-13;2009-01-01;PINE4;interest;20567
0.084335271;"";20567;2009-01-02;"";2009-01-13;2009-01-01;PINE4;dividend;20567
0.145695647;2008-09-30;20567;2008-10-01;"";2008-10-13;2008-09-30;PINE4;interest;20567
0.139372356;2008-06-30;20567;2008-07-01;"";2008-07-11;2008-06-30;PINE4;interest;20567
0.035270784;2008-01-29;20567;2008-01-30;"";2008-02-15;2008-01-29;PINE4;dividend;20567
0.240301479;2008-01-17;20567;2008-01-18;"";2008-02-01;2008-01-17;PINE4;interest;20567
