amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.29970984;2017-04-28;20915;2017-05-16;"";2017-06-14;2017-05-15;MRVE3;dividend;20915
0.34;2017-01-30;20915;2017-03-06;"";2017-03-30;2017-03-03;MRVE3;dividend;20915
0.3537446;2016-04-29;20915;2016-05-17;"";2016-06-15;2016-05-16;MRVE3;dividend;20915
0.387787296;"";20915;2015-05-04;"";2015-05-29;2015-05-01;MRVE3;dividend;20915
0.387728226;2015-04-30;20915;2015-05-04;"";2015-05-29;2015-04-30;MRVE3;dividend;20915
0.300583935;2014-04-30;20915;2014-05-16;"";2014-06-16;2014-05-15;MRVE3;dividend;20915
0.262365227;2013-04-30;20915;2013-05-16;"";2013-06-17;2013-05-15;MRVE3;dividend;20915
0.377093062;2012-04-30;20915;2012-05-18;"";2012-06-15;2012-05-17;MRVE3;dividend;20915
0.180192941;2011-04-30;20915;2011-05-18;"";2011-06-15;2011-05-17;MRVE3;dividend;20915
0.156;2010-12-23;20915;2010-12-30;"";2011-06-15;2010-12-29;MRVE3;interest;20915
0.171394079;"";20915;2010-05-17;"";2010-06-15;2010-05-14;MRVE3;dividend;20915
0.377387;2009-04-27;20915;2009-05-18;"";2009-09-30;2009-05-15;MRVE3;dividend;20915
0.075172081;2008-04-14;20915;2008-04-15;"";2008-06-15;2008-04-14;MRVE3;dividend;20915
