amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
5.93;"";21636;2017-03-28;"";2005-05-10;2005-04-28;RNEW4;dividend;21636
0.0042;"";21636;2017-03-28;"";2013-12-05;2013-04-30;RNEW4;dividend;21636
0.0042;"";21636;2017-03-28;"";2012-12-20;2012-04-27;RNEW4;dividend;21636
0.0042;"";21636;2017-03-28;"";2010-12-15;2010-04-29;RNEW4;dividend;21636
0.0036;"";21636;2017-03-28;"";2008-12-18;2008-04-30;RNEW4;dividend;21636
3.6;"";21636;2017-03-28;"";2007-12-14;2007-04-27;RNEW4;dividend;21636
2.15;"";21636;2017-03-28;"";2006-07-31;2006-04-27;RNEW4;interest;21636
4.3;"";21636;2017-03-28;"";2005-12-15;2005-12-05;RNEW4;dividend;21636
2.6;"";21636;2017-03-28;"";2005-08-31;2005-08-22;RNEW4;dividend;21636
15.05;"";21636;2017-03-28;"";2005-08-31;2005-08-22;RNEW4;interest;21636
