amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.055245447;"";21733;2022-11-11;"";2022-11-24;2022-11-10;CIEL3;interest;21733
0.083219612;"";21733;2022-08-11;"";2022-09-23;2022-08-10;CIEL3;interest;21733
0.024207433;"";21733;2022-05-11;"";2022-05-24;2022-05-10;CIEL3;interest;21733
0.087258479;"";21733;2021-12-30;"";2022-02-11;2021-12-29;CIEL3;interest;21733
0.027685825;"";21733;2021-11-09;"";2021-11-26;2021-11-08;CIEL3;interest;21733
0.023567135;2021-08-02;21733;2021-08-06;"";2021-08-19;2021-08-05;CIEL3;interest;21733
0.031525786;2021-04-26;21733;2021-05-03;"";2021-05-13;2021-04-30;CIEL3;interest;21733
0.005522626;2021-01-26;21733;2021-02-02;"";2021-02-17;2021-02-01;CIEL3;dividend;21733
0.055951953;2020-12-22;21733;2020-12-30;"";2021-02-17;2020-12-29;CIEL3;interest;21733
0.008912379;2020-01-27;21733;2020-01-31;"";2020-02-13;2020-01-30;CIEL3;interest;21733
0.021048988;2019-12-20;21733;2020-01-02;"";2020-02-13;2019-12-30;CIEL3;interest;21733
0.015482618;2019-10-29;21733;2019-11-06;"";2019-11-18;2019-11-05;CIEL3;interest;21733
0.028790432;2019-09-19;21733;2019-09-25;"";2019-11-18;2019-09-24;CIEL3;interest;21733
0.002651816;2019-07-23;21733;2019-09-13;"";2019-09-27;2019-09-12;CIEL3;dividend;21733
7.37271E-4;2019-07-23;21733;2019-09-13;"";2019-09-27;2019-09-12;CIEL3;interest;21733
0.049418567;2019-06-24;21733;2019-06-28;"";2019-09-27;2019-06-27;CIEL3;interest;21733
0.079959025;2019-04-23;21733;2019-06-12;"";2019-06-27;2019-06-11;CIEL3;dividend;21733
0.054471246;2019-03-20;21733;2019-03-29;"";2019-06-27;2019-03-28;CIEL3;interest;21733
0.261399753;2019-01-28;21733;2019-02-25;"";2019-03-11;2019-02-22;CIEL3;dividend;21733
0.060974854;2018-12-12;21733;2018-12-20;"";2019-03-11;2018-12-19;CIEL3;interest;21733
0.266189319;2018-11-29;21733;2018-12-17;"";2018-12-26;2018-12-14;CIEL3;dividend;21733
0.056185289;2018-09-19;21733;2018-09-28;"";2018-12-26;2018-09-27;CIEL3;interest;21733
0.529505035;"";21733;2018-09-17;"";2018-09-28;2018-09-14;CIEL3;dividend;21733
0.115127771;2018-06-20;21733;2018-07-02;"";2018-09-28;2018-06-29;CIEL3;interest;21733
0.390076805;2018-02-01;21733;2018-03-15;"";2018-03-29;2018-03-14;CIEL3;dividend;21733
0.117236543;2017-12-13;21733;2017-12-28;"";2018-03-29;2017-12-27;CIEL3;interest;21733
0.36922519;2017-08-01;21733;2017-09-18;"";2017-09-29;2017-09-15;CIEL3;dividend;21733
0.119918341;2017-06-23;21733;2017-06-30;"";2017-09-29;2017-06-29;CIEL3;interest;21733
0.166764667;2017-01-30;21733;2017-03-16;"";2017-03-31;2017-03-15;CIEL3;dividend;21733
