amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.153596161;"";22012;2013-12-26;"";2014-04-30;2013-12-25;MILS3;interest;22012
0.153596161;2013-12-23;22012;2013-12-26;"";2014-06-14;2013-12-23;MILS3;interest;22012
0.184455093;2013-06-21;22012;2013-06-24;"";2014-06-14;2013-06-21;MILS3;interest;22012
0.158228562;2012-12-31;22012;2013-01-03;"";2013-04-30;2013-01-02;MILS3;interest;22012
0.172653458;2012-06-21;22012;2012-06-22;"";2013-04-30;2012-06-21;MILS3;interest;22012
0.007531607;2012-04-20;22012;2012-04-23;"";2012-04-30;2012-04-20;MILS3;dividend;22012
0.019099654;2011-12-21;22012;2011-12-22;"";2012-04-30;2011-12-21;MILS3;interest;22012
0.175171673;2011-09-28;22012;2011-09-29;"";2012-04-30;2011-09-28;MILS3;interest;22012
0.021615363;2011-04-19;22012;2011-04-20;"";"";2011-04-19;MILS3;dividend;22012
0.202398003;2010-12-28;22012;2010-12-29;"";"";2010-12-28;MILS3;interest;22012
