amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.946683585;2018-02-16;23159;2018-02-23;"";2018-03-06;2018-02-22;BBSE3;dividend;23159
0.780988908;2017-06-29;23159;2017-08-11;"";2017-08-22;2017-08-10;BBSE3;dividend;23159
0.01064859;"";23159;2017-08-11;"";2017-08-22;2017-08-10;BBSE3;"";23159
0.017274339;"";23159;2017-02-17;"";2017-03-02;2017-02-16;BBSE3;"";23159
0.835756241;2017-02-10;23159;2017-02-17;"";2017-03-02;2017-02-16;BBSE3;dividend;23159
0.819149218;2016-08-05;23159;2016-08-12;"";2016-08-24;2016-08-11;BBSE3;dividend;23159
0.016950573;"";23159;2016-08-12;"";2016-08-24;2016-08-11;BBSE3;"";23159
0.818637687;2016-02-19;23159;2016-02-24;"";2016-03-07;2016-02-23;BBSE3;dividend;23159
0.019136982;"";23159;2016-02-24;"";2016-03-07;2016-02-23;BBSE3;"";23159
0.018039855;"";23159;2015-08-13;"";2015-08-25;2015-08-12;BBSE3;"";23159
0.865729214;2015-08-10;23159;2015-08-13;"";2015-08-25;2015-08-12;BBSE3;dividend;23159
0.013479373;"";23159;2015-02-13;"";2015-02-26;2015-02-12;BBSE3;"";23159
0.785018243;2015-02-06;23159;2015-02-13;"";2015-02-26;2015-02-12;BBSE3;dividend;23159
0.597661398;2014-08-08;23159;2014-08-19;"";2014-08-29;2014-08-18;BBSE3;dividend;23159
0.010896015;"";23159;2014-08-19;"";2014-08-29;2014-08-18;BBSE3;"";23159
0.580577043;2014-02-11;23159;2014-02-17;"";2014-02-26;2014-02-14;BBSE3;dividend;23159
0.009073041;"";23159;2014-02-17;"";2014-02-26;2014-02-14;BBSE3;"";23159
0.005863905;"";23159;2013-08-20;"";2013-08-30;2013-08-19;BBSE3;"";23159
0.408924064;2013-08-09;23159;2013-08-20;"";2013-08-30;2013-08-19;BBSE3;dividend;23159
