amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.13;2016-06-24;23264;2016-07-12;"";2016-07-29;2016-07-11;ABEV3;dividend;23264
0.13;2016-01-15;23264;2016-02-01;"";2016-02-29;2016-01-29;ABEV3;interest;23264
0.15;2015-12-01;23264;2015-12-22;"";2015-12-30;2015-12-21;ABEV3;interest;23264
0.15;2015-08-28;23264;2015-09-09;"";2015-09-28;2015-09-08;ABEV3;dividend;23264
0.1;2015-05-13;23264;2015-06-02;"";2015-06-29;2015-06-01;ABEV3;interest;23264
0.09;2015-02-23;23264;2015-03-02;"";2015-03-31;2015-02-27;ABEV3;interest;23264
0.096;2014-12-31;23264;2015-01-08;"";2015-01-30;2015-01-07;ABEV3;interest;23264
0.13;"";23264;2015-01-02;"";2015-01-14;2015-01-01;ABEV3;interest;23264
0.22;2014-10-15;23264;2014-10-28;"";2014-11-13;2014-10-27;ABEV3;dividend;23264
0.06;2014-07-14;23264;2014-07-29;"";2014-08-28;2014-07-28;ABEV3;dividend;23264
0.1;2014-07-14;23264;2014-07-29;"";2014-08-28;2014-07-28;ABEV3;interest;23264
0.13;2014-03-25;23264;2014-04-03;"";2014-04-25;2014-04-02;ABEV3;dividend;23264
0.1;2014-01-06;23264;2014-01-15;"";2014-01-23;2014-01-14;ABEV3;dividend;23264
0.154;2014-01-06;23264;2014-01-15;"";2014-01-23;2014-01-14;ABEV3;interest;23264
