amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.16060382;"";2437;"";"";2022-09-09;2022-04-22;ELET5;"";2437
1.991535579;"";2437;"";"";2022-09-09;2022-04-22;ELET5;dividend;2437
1.493651682;"";2437;2022-04-25;"";2022-09-09;2022-04-22;ELET6;dividend;2437
0.120452865;"";2437;2022-04-25;"";2022-09-09;2022-04-22;ELET6;"";2437
0.057722997;"";2437;2022-04-25;"";2022-09-09;2022-04-22;ELET3;"";2437
0.715782486;"";2437;2022-04-25;"";2022-09-09;2022-04-22;ELET3;dividend;2437
1.038143453;2021-04-27;2437;2021-04-28;"";2021-08-31;2021-04-27;ELET5;dividend;2437
0.019369884;"";2437;2021-04-28;"";2021-08-31;2021-04-27;ELET3;"";2437
0.943766775;2021-04-27;2437;2021-04-28;"";2021-08-31;2021-04-27;ELET3;dividend;2437
7.1934E-5;"";2437;2021-04-28;"";2021-09-28;2021-04-27;ELET3;"";2437
7.9127E-5;"";2437;2021-04-28;"";2021-09-28;2021-04-27;ELET6;"";2437
0.021306872;"";2437;2021-04-28;"";2021-08-31;2021-04-27;ELET6;"";2437
1.038143453;2021-04-27;2437;2021-04-28;"";2021-08-31;2021-04-27;ELET6;dividend;2437
7.9127E-5;"";2437;2021-04-28;"";2021-09-28;2021-04-27;ELET5;"";2437
0.021306872;"";2437;2021-04-28;"";2021-08-31;2021-04-27;ELET5;"";2437
1.578642595;2021-01-29;2437;2021-02-04;"";2021-02-19;2021-02-03;ELET6;dividend;2437
2.076526491;2021-01-29;2437;2021-02-04;"";2021-02-19;2021-02-03;ELET5;dividend;2437
1.435129631;2021-01-29;2437;2021-02-04;"";2021-02-19;2021-02-03;ELET3;dividend;2437
2.247820421;2020-07-29;2437;2020-08-03;"";2020-09-09;2020-07-29;ELET5;dividend;2437
0.048794715;"";2437;2020-08-03;"";2020-09-09;2020-07-29;ELET5;"";2437
1.749936525;2020-07-29;2437;2020-07-30;"";2020-09-09;2020-07-29;ELET6;dividend;2437
1.590851386;2020-07-29;2437;2020-07-30;"";2020-09-09;2020-07-29;ELET3;dividend;2437
0.034533515;"";2437;2020-07-30;"";2020-09-09;2020-07-29;ELET3;"";2437
0.037986867;"";2437;2020-07-30;"";2020-09-09;2020-07-29;ELET6;"";2437
1.851518099;2019-04-29;2437;2019-08-02;"";"";2019-04-29;ELET5;dividend;2437
1.388638574;2019-04-29;2437;2019-04-30;"";"";2019-04-29;ELET6;dividend;2437
0.810571583;2019-04-29;2437;2019-04-30;"";"";2019-04-29;ELET3;dividend;2437
2.261034084;"";2437;2017-05-04;"";2017-12-19;2017-04-28;ELET5;interest;2437
1.695775563;"";2437;2017-05-02;"";2017-12-19;2017-04-28;ELET6;interest;2437
0.10174654;"";2437;2016-01-11;"";2015-06-30;2015-04-30;ELET5;interest;2437
0.10174654;"";2437;2015-05-04;"";2015-06-30;2015-04-30;ELET6;interest;2437
2.2503;"";2437;2014-10-09;"";"";2014-04-30;ELET5;interest;2437
2.178256587;"";2437;2014-10-09;"";"";2014-04-29;ELET5;interest;2437
2.178256587;"";2437;2014-10-09;"";2014-05-29;2014-05-01;ELET5;interest;2437
0.399210837;"";2437;2014-05-02;"";2014-05-29;2014-05-01;ELET3;interest;2437
0.4124;"";2437;2014-05-02;"";2014-05-29;2014-04-30;ELET3;interest;2437
