amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.450866721;2015-04-30;2453;2015-05-04;"";2016-12-29;2015-04-30;CMIG3;dividend;2453
0.450866721;2015-04-30;2453;2015-05-04;"";2016-12-29;2015-04-30;CMIG4;dividend;2453
0.091394534;"";2453;2014-12-29;"";2015-06-30;2014-12-26;CMIG3;interest;2453
0.091394534;"";2453;2014-12-29;"";2015-12-28;2014-12-26;CMIG3;interest;2453
0.091394534;"";2453;2014-12-29;"";2015-12-28;2014-12-26;CMIG4;interest;2453
0.091394534;"";2453;2014-12-29;"";2015-06-30;2014-12-26;CMIG4;interest;2453
0.874208588;2014-11-06;2453;2014-11-10;"";2014-12-19;2014-11-07;CMIG4;dividend;2453
0.874208588;2014-11-06;2453;2014-11-10;"";2014-12-19;2014-11-07;CMIG3;dividend;2453
0.480019988;"";2453;2014-06-30;"";2014-09-30;2014-06-27;CMIG4;dividend;2453
0.480019988;"";2453;2014-06-30;"";2014-09-30;2014-06-27;CMIG3;dividend;2453
0.874208588;"";2453;2014-06-30;"";2014-07-08;2014-06-27;CMIG3;dividend;2453
0.874208588;"";2453;2014-06-30;"";2014-07-08;2014-06-27;CMIG4;dividend;2453
0.892052774;2014-04-30;2453;2014-05-02;"";2014-12-30;2014-04-30;CMIG4;dividend;2453
0.892052774;2014-04-30;2453;2014-05-02;"";2014-12-30;2014-04-30;CMIG3;dividend;2453
0.554058049;2013-12-05;2453;2013-12-06;"";2013-12-19;2013-12-05;CMIG4;interest;2453
0.554058049;2013-12-05;2453;2013-12-06;"";2013-12-19;2013-12-05;CMIG3;interest;2453
0.293201967;"";2453;2013-05-02;"";2013-07-18;2013-04-30;CMIG3;dividend;2453
0.714302738;"";2453;2013-05-02;"";2013-06-27;2013-04-30;CMIG3;dividend;2453
0.714302738;"";2453;2013-05-02;"";2013-06-27;2013-04-30;CMIG4;dividend;2453
0.293201967;"";2453;2013-05-02;"";2013-07-18;2013-04-30;CMIG4;dividend;2453
0.421100772;"";2453;2013-05-02;"";2013-12-19;2013-04-30;CMIG4;dividend;2453
0.421100772;"";2453;2013-05-02;"";2013-12-19;2013-04-30;CMIG3;dividend;2453
0.192340491;"";2453;2012-12-26;"";2013-06-27;2012-12-21;CMIG4;interest;2453
0.192340491;"";2453;2012-12-26;"";2013-06-27;2012-12-21;CMIG3;interest;2453
0.804546199;"";2453;2012-12-26;"";2013-03-05;2012-12-21;CMIG3;interest;2453
1.407369445;"";2453;2012-12-26;"";2013-01-15;2012-12-21;CMIG3;dividend;2453
0.469123148;"";2453;2012-12-26;"";2013-03-05;2012-12-21;CMIG3;dividend;2453
0.99688669;"";2453;2012-12-26;"";2013-10-31;2012-12-21;CMIG3;interest;2453
0.469123148;"";2453;2012-12-26;"";2013-03-05;2012-12-21;CMIG4;dividend;2453
0.99688669;"";2453;2012-12-26;"";2013-10-31;2012-12-21;CMIG4;interest;2453
1.407369445;"";2453;2012-12-26;"";2013-01-15;2012-12-21;CMIG4;dividend;2453
0.804546199;"";2453;2012-12-26;"";2013-03-05;2012-12-21;CMIG4;interest;2453
0.948538419;"";2453;2012-04-30;"";2012-12-26;2012-04-27;CMIG4;dividend;2453
0.948538419;"";2453;2012-04-30;"";2012-12-26;2012-04-27;CMIG3;dividend;2453
0.948538419;"";2453;2012-04-30;"";2012-06-27;2012-04-27;CMIG3;dividend;2453
0.948538419;"";2453;2012-04-30;"";2012-06-27;2012-04-27;CMIG4;dividend;2453
1.246108363;2011-12-09;2453;2011-12-12;"";2011-12-28;2011-12-09;CMIG3;dividend;2453
1.246108363;2011-12-09;2453;2011-12-12;"";2011-12-28;2011-12-09;CMIG4;dividend;2453
0.876728126;"";2453;2011-05-02;"";2011-12-21;2011-04-29;CMIG4;dividend;2453
0.876728126;"";2453;2011-05-02;"";2011-06-29;2011-04-29;CMIG4;dividend;2453
0.876728126;"";2453;2011-05-02;"";2011-12-21;2011-04-29;CMIG3;dividend;2453
0.876728126;"";2453;2011-05-02;"";2011-06-29;2011-04-29;CMIG3;dividend;2453
1.319408855;2010-12-16;2453;2010-12-17;"";2010-12-29;2010-12-16;CMIG3;dividend;2453
1.319408855;2010-12-16;2453;2010-12-17;"";2010-12-29;2010-12-16;CMIG4;dividend;2453
0.750429768;"";2453;2010-04-30;"";2010-06-29;2010-04-29;CMIG3;dividend;2453
0.750429768;"";2453;2010-04-30;"";2010-12-21;2010-04-29;CMIG3;dividend;2453
0.750429768;"";2453;2010-04-30;"";2010-06-29;2010-04-29;CMIG4;dividend;2453
0.750429768;"";2453;2010-04-30;"";2010-12-21;2010-04-29;CMIG4;dividend;2453
0.95095459;"";2453;2009-04-30;"";2009-12-18;2009-04-29;CMIG3;dividend;2453
0.95095459;"";2453;2009-04-30;"";2009-06-30;2009-04-29;CMIG4;dividend;2453
0.95095459;"";2453;2009-04-30;"";2009-06-30;2009-04-29;CMIG3;dividend;2453
0.95095459;"";2453;2009-04-30;"";2009-12-18;2009-04-29;CMIG4;dividend;2453
0.874563841;"";2453;2008-04-28;"";2008-12-17;2008-04-25;CMIG4;dividend;2453
0.874563841;"";2453;2008-04-28;"";2008-06-27;2008-04-25;CMIG4;dividend;2453
0.874563841;"";2453;2008-04-28;"";2008-12-17;2008-04-25;CMIG3;dividend;2453
0.874563841;"";2453;2008-04-28;"";2008-06-27;2008-04-25;CMIG3;dividend;2453
