amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.565195625;"";2461;2022-10-03;"";"";2022-09-30;CLSC4;interest;2461
0.513814205;"";2461;2022-10-03;"";"";2022-09-30;CLSC3;interest;2461
0.513814205;"";2461;2022-10-03;"";"";2022-09-30;CLSC3;interest;2461
0.565195625;"";2461;2022-10-03;"";"";2022-09-30;CLSC4;interest;2461
0.512493974;"";2461;2022-07-06;"";"";2022-06-30;CLSC3;interest;2461
0.512493974;"";2461;2022-07-06;"";"";2022-06-30;CLSC3;interest;2461
0.563743371;"";2461;2022-07-01;"";"";2022-06-30;CLSC4;interest;2461
0.563743371;"";2461;2022-07-01;"";"";2022-06-30;CLSC4;interest;2461
0.245555273;"";2461;2022-05-02;"";2022-06-29;2022-04-29;CLSC3;dividend;2461
0.245555273;"";2461;2022-05-02;"";2022-12-28;2022-04-29;CLSC3;dividend;2461
0.2701108;"";2461;2022-05-02;"";2022-12-28;2022-04-29;CLSC4;dividend;2461
0.2701108;"";2461;2022-05-02;"";2022-06-29;2022-04-29;CLSC4;dividend;2461
0.424470405;"";2461;2022-04-01;"";"";2022-03-30;CLSC3;interest;2461
0.424470405;"";2461;2022-04-01;"";"";2022-03-30;CLSC3;interest;2461
0.466917445;"";2461;2022-03-31;"";"";2022-03-30;CLSC4;interest;2461
0.466917445;"";2461;2022-03-31;"";"";2022-03-30;CLSC4;interest;2461
1.664994884;"";2461;2021-12-21;"";2022-12-28;2021-12-20;CLSC4;dividend;2461
1.513631713;"";2461;2021-12-21;"";2022-06-29;2021-12-20;CLSC3;interest;2461
1.513631713;"";2461;2021-12-21;"";2022-12-28;2021-12-20;CLSC3;dividend;2461
1.664994884;"";2461;2021-12-21;"";2022-06-29;2021-12-20;CLSC4;interest;2461
0.636589005;"";2461;2021-05-03;"";2021-12-28;2021-04-29;CLSC3;dividend;2461
0.636589005;"";2461;2021-05-03;"";2021-06-29;2021-04-29;CLSC3;dividend;2461
0.700247905;"";2461;2021-04-30;"";2021-12-28;2021-04-29;CLSC4;dividend;2461
0.700247905;"";2461;2021-04-30;"";2021-06-29;2021-04-29;CLSC4;dividend;2461
0.946978595;"";2461;2021-01-12;"";2021-06-29;2020-12-30;CLSC3;interest;2461
0.946978595;"";2461;2021-01-12;"";2021-12-28;2020-12-30;CLSC3;interest;2461
1.04167645;"";2461;2021-01-04;"";2021-12-28;2020-12-30;CLSC4;interest;2461
1.04167645;"";2461;2021-01-04;"";2021-06-29;2020-12-30;CLSC4;interest;2461
0.48167986;2020-04-28;2461;2020-06-15;"";2020-12-28;2020-04-28;CLSC3;dividend;2461
0.52984785;2020-04-28;2461;2020-04-29;"";2020-12-28;2020-04-28;CLSC4;dividend;2461
0.6340879;"";2461;2020-02-17;"";2020-06-29;2019-12-30;CLSC3;interest;2461
