amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.784030009;"";24783;2019-12-18;"";2013-08-15;2013-07-31;NTCO3;dividend;24783
0.05085477;"";24783;2019-12-18;"";2013-04-17;2013-02-15;NTCO3;interest;24783
1.093676289;"";24783;2019-12-18;"";2013-04-17;2013-02-15;NTCO3;dividend;24783
0.08511173;"";24783;2019-12-18;"";2012-08-15;2012-07-31;NTCO3;interest;24783
0.76223929;"";24783;2019-12-18;"";2012-08-15;2012-07-31;NTCO3;dividend;24783
1.09117684;"";24783;2019-12-18;"";2012-04-18;2012-02-24;NTCO3;dividend;24783
0.05516776;"";24783;2019-12-18;"";2012-04-18;2012-02-24;NTCO3;interest;24783
0.08697463;"";24783;2019-12-18;"";2011-08-12;2011-07-26;NTCO3;interest;24783
0.68478453;"";24783;2019-12-18;"";2011-08-12;2011-07-26;NTCO3;dividend;24783
0.05675817;"";24783;2019-12-18;"";2011-04-14;2011-03-01;NTCO3;interest;24783
0.94138115;"";24783;2019-12-18;"";2011-04-14;2011-03-01;NTCO3;dividend;24783
0.5898108;"";24783;2019-12-18;"";2010-08-12;2010-07-27;NTCO3;dividend;24783
0.08228188;"";24783;2019-12-18;"";2010-08-12;2010-07-27;NTCO3;interest;24783
0.04235399;"";24783;2019-12-18;"";2010-04-08;2010-03-01;NTCO3;interest;24783
0.78868711;"";24783;2019-12-18;"";2010-04-08;2010-03-01;NTCO3;dividend;24783
0.05820126;"";24783;2019-12-18;"";2009-08-12;2009-07-24;NTCO3;interest;24783
0.50032093;"";24783;2019-12-18;"";2009-08-12;2009-07-24;NTCO3;dividend;24783
0.5924887;"";24783;2019-12-18;"";2009-04-08;2009-02-27;NTCO3;dividend;24783
0.13393094;"";24783;2019-12-18;"";2009-04-08;2009-02-27;NTCO3;interest;24783
0.43907;"";24783;2019-12-18;"";2008-08-12;2008-07-30;NTCO3;dividend;24783
0.5545;"";24783;2019-12-18;"";2008-04-08;2008-03-04;NTCO3;dividend;24783
