amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
1.119957311;"";3115;2022-06-14;"";2022-04-29;2022-03-30;CSAB4;dividend;3115
1.01814301;"";3115;2022-06-13;"";2022-04-29;2022-03-30;CSAB3;dividend;3115
2.046130952;2021-03-30;3115;2021-04-07;"";2021-04-20;2021-03-30;CSAB4;dividend;3115
1.860119048;2021-03-30;3115;2021-04-07;"";2021-04-20;2021-03-30;CSAB3;dividend;3115
1.110843924;"";3115;2020-04-09;"";2020-09-25;2020-03-31;CSAB4;interest;3115
2.302021608;"";3115;2020-04-09;"";2020-04-30;2020-03-31;CSAB4;dividend;3115
1.009858112;"";3115;2020-04-07;"";2020-09-25;2020-03-31;CSAB3;interest;3115
2.092746917;"";3115;2020-04-07;"";2020-04-30;2020-03-31;CSAB3;dividend;3115
1.81028017;2019-03-29;3115;2019-06-03;"";2019-04-29;2019-03-29;CSAB3;dividend;3115
1.991308188;2019-03-29;3115;2019-04-11;"";2019-04-29;2019-03-29;CSAB4;dividend;3115
2.560391064;2018-03-29;3115;2018-04-10;"";2018-04-27;2018-03-29;CSAB3;dividend;3115
2.81643017;2018-03-29;3115;2018-04-06;"";2018-04-27;2018-03-29;CSAB4;dividend;3115
7.712757595;2017-03-30;3115;2017-05-16;"";2017-05-29;2017-03-30;CSAB3;dividend;3115
8.484033354;2017-03-30;3115;2017-04-19;"";2017-05-29;2017-03-30;CSAB4;dividend;3115
4.602142221;2016-03-31;3115;2016-04-12;"";2016-05-30;2016-03-31;CSAB3;dividend;3115
5.062356443;2016-03-31;3115;2016-04-06;"";2016-05-30;2016-03-31;CSAB4;dividend;3115
4.115401906;2015-03-31;3115;2015-04-01;"";2015-05-29;2015-03-31;CSAB3;dividend;3115
4.526942097;2015-03-31;3115;2015-04-01;"";2015-05-29;2015-03-31;CSAB4;dividend;3115
2.22422448;"";3115;2014-04-09;"";2014-05-20;2014-03-27;CSAB4;dividend;3115
1.4513706;"";3115;2014-04-09;"";2014-05-20;2014-03-27;CSAB4;dividend;3115
