amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.103610943;2019-06-12;3190;2019-06-19;"";2019-06-28;2019-06-18;REDE3;dividend;3190
0.0478;"";3190;2019-05-08;"";2019-05-17;2019-05-07;REDE3;dividend;3190
0.012836976;2018-04-25;3190;2018-05-03;"";2018-05-09;2018-05-02;REDE3;dividend;3190
0.017902304;2017-04-28;3190;2017-05-08;"";2017-06-27;2017-05-04;REDE3;dividend;3190
0.0582147;2016-04-29;3190;2016-06-06;"";2016-06-23;2016-04-29;REDE3;dividend;3190
0.0133;"";3190;2006-06-21;"";2000-06-16;2000-04-17;REDE3;dividend;3190
0.1491;"";3190;2006-06-21;"";1999-06-25;1999-04-26;REDE3;dividend;3190
0.09;"";3190;2006-06-21;"";"";1998-04-27;REDE3;dividend;3190
0.07;"";3190;2006-06-21;"";"";1997-04-30;REDE3;dividend;3190
0.0212;"";3190;2006-06-21;"";"";1996-04-29;REDE3;dividend;3190
