amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.13657;2021-08-11;4707;"";"";2021-10-04;2021-08-16;BRGE7;dividend;4707
0.13201;2020-08-11;4707;"";"";2020-10-05;2020-08-14;BRGE7;dividend;4707
0.12635;2019-08-08;4707;"";"";2019-10-01;2019-08-13;BRGE7;dividend;4707
0.27966;2020-01-22;4707;"";"";"";2020-01-27;BRGE7;dividend;4707
0.13899;"";4707;"";"";2022-10-03;2022-08-15;BRGE7;dividend;4707
0.30228;"";4707;"";"";2022-03-16;2022-01-26;BRGE7;dividend;4707
0.29218;2021-01-21;4707;"";"";2021-03-16;2021-01-27;BRGE7;dividend;4707
0.09928;"";4707;2022-09-12;"";2022-10-03;2022-08-15;BRGE8;dividend;4707
0.09928;"";4707;2022-08-25;"";2022-10-03;2022-08-15;BRGE5;dividend;4707
0.11913;"";4707;2022-08-25;"";2022-10-03;2022-08-15;BRGE11;dividend;4707
0.23826;"";4707;2022-08-17;"";2022-10-03;2022-08-15;BRGE6;dividend;4707
0.51819;"";4707;2022-04-12;"";2022-03-16;2022-01-26;BRGE6;dividend;4707
0.21591;"";4707;2022-03-22;"";2022-03-16;2022-01-26;BRGE5;dividend;4707
0.09755;2021-08-11;4707;2022-03-22;"";2021-10-04;2021-08-16;BRGE5;dividend;4707
0.2591;"";4707;2022-02-03;"";2022-03-16;2022-01-26;BRGE11;dividend;4707
0.21591;"";4707;2022-01-27;"";2022-03-16;2022-01-26;BRGE8;dividend;4707
0.23412;2021-08-11;4707;2021-12-07;"";2021-10-04;2021-08-16;BRGE6;dividend;4707
0.09755;2021-08-11;4707;2021-09-09;"";2021-10-04;2021-08-16;BRGE8;dividend;4707
0.11706;"";4707;2021-08-23;"";2021-10-04;2021-08-16;BRGE11;dividend;4707
5.2E-4;"";4707;2021-08-20;"";2021-10-04;2021-08-16;BRGE12;dividend;4707
4.7E-4;2021-08-11;4707;2021-08-17;"";2021-10-04;2021-08-16;BRGE3;dividend;4707
0.50088;2021-01-21;4707;2021-02-05;"";2021-03-16;2021-01-27;BRGE6;dividend;4707
0.2087;2021-01-21;4707;2021-01-28;"";2021-03-16;2021-01-27;BRGE5;dividend;4707
0.25044;"";4707;2021-01-28;"";2021-03-16;2021-01-27;BRGE11;dividend;4707
0.2087;2021-01-21;4707;2021-01-28;"";2021-03-16;2021-01-27;BRGE8;dividend;4707
0.2263;2020-08-11;4707;2020-09-21;"";2020-10-05;2020-08-14;BRGE6;dividend;4707
0.09429;2020-08-11;4707;2020-09-18;"";2020-10-05;2020-08-14;BRGE5;dividend;4707
0.09429;2020-08-11;4707;2020-08-18;"";2020-10-05;2020-08-14;BRGE8;dividend;4707
0.11315;"";4707;2020-08-17;"";2020-10-05;2020-08-14;BRGE11;dividend;4707
0.19975;2020-01-22;4707;2020-07-21;"";"";2020-01-27;BRGE5;dividend;4707
0.19975;2020-01-22;4707;2020-03-03;"";"";2020-01-27;BRGE8;dividend;4707
0.47941;2020-01-22;4707;2020-02-19;"";"";2020-01-27;BRGE6;dividend;4707
0.23971;"";4707;2020-02-06;"";"";2020-01-27;BRGE11;dividend;4707
0.1083;"";4707;2019-09-06;"";2019-10-01;2019-08-13;BRGE11;dividend;4707
0.09025;2019-08-08;4707;2019-09-04;"";2019-10-01;2019-08-13;BRGE8;dividend;4707
0.2166;2019-08-08;4707;2019-09-03;"";2019-10-01;2019-08-13;BRGE6;dividend;4707
0.09025;2019-08-08;4707;2019-08-30;"";2019-10-01;2019-08-13;BRGE5;dividend;4707
0.18893;2019-01-22;4707;2019-08-30;"";2019-03-18;2019-01-28;BRGE5;dividend;4707
0.26464;2019-01-22;4707;2019-06-04;"";2019-03-18;2019-01-28;BRGE7;dividend;4707
0.18893;2019-01-22;4707;2019-03-28;"";2019-03-18;2019-01-28;BRGE8;dividend;4707
0.45362;2019-01-22;4707;2019-02-20;"";2019-03-18;2019-01-28;BRGE6;dividend;4707
0.00145;"";4707;2019-02-12;"";2019-03-18;2019-01-28;BRGE12;dividend;4707
0.22703;"";4707;2019-02-07;"";2019-03-18;2019-01-28;BRGE11;dividend;4707
0.00132;2019-01-22;4707;2019-01-30;"";2019-03-18;2019-01-28;BRGE3;dividend;4707
0.12215;2018-08-09;4707;2018-12-17;"";2018-10-02;2018-08-14;BRGE7;dividend;4707
0.1142;2016-08-10;4707;2018-12-17;"";2016-10-03;2016-08-15;BRGE7;dividend;4707
0.23187;"";4707;2018-12-17;"";2017-03-13;2017-01-20;BRGE7;dividend;4707
0.23187;2017-01-18;4707;2018-12-17;"";"";2017-01-23;BRGE7;dividend;4707
0.11731;2017-08-14;4707;2018-12-17;"";"";2017-08-17;BRGE7;dividend;4707
0.25093;2018-01-22;4707;2018-12-17;"";2018-03-19;2018-01-26;BRGE7;dividend;4707
0.08735;2018-08-09;4707;2018-10-25;"";2018-10-02;2018-08-14;BRGE8;dividend;4707
