amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
2.938286195;2018-04-23;4723;2018-10-26;"";2018-05-30;2018-04-23;CALI4;dividend;4723
2.794804888;2017-03-22;4723;2017-03-28;"";2017-05-19;2017-03-22;CALI4;dividend;4723
9.31;"";4723;2016-09-09;"";2016-04-04;2016-03-22;CALI4;dividend;4723
7.79;2014-04-30;4723;2016-09-09;"";2014-05-09;2014-04-30;CALI4;dividend;4723
5.32;"";4723;2016-09-09;"";2015-04-09;2015-03-31;CALI4;dividend;4723
0.2283;"";4723;2016-09-09;"";"";2014-12-05;CALI4;dividend;4723
7.79;"";4723;2016-09-09;"";2014-05-09;2014-05-01;CALI4;dividend;4723
0.0724;"";4723;2016-09-09;"";"";2015-04-30;CALI4;dividend;4723
1.5574;"";4723;2013-10-10;"";"";2012-04-12;CALI4;dividend;4723
0.8052;"";4723;2013-10-10;"";"";2013-04-29;CALI4;dividend;4723
1.5636;"";4723;2011-09-16;"";"";2011-07-11;CALI3;dividend;4723
1.5636;"";4723;2011-08-05;"";"";2011-07-11;CALI4;dividend;4723
