amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
1.256718357;2016-04-06;4820;2016-04-07;"";2016-04-15;2016-04-06;BRKM3;dividend;4820
0.606249723;2015-04-09;4820;2015-05-07;"";2015-04-23;2015-04-09;BRKM6;dividend;4820
0.606249723;2015-04-09;4820;2015-04-10;"";2015-04-23;2015-04-09;BRKM3;dividend;4820
0.606249723;2015-04-09;4820;2015-04-10;"";2015-04-23;2015-04-09;BRKM5;dividend;4820
0.606188802;2014-04-09;4820;2015-03-13;"";2014-04-23;2014-04-09;BRKM6;dividend;4820
0.606188802;2014-04-09;4820;2014-04-10;"";2014-04-23;2014-04-09;BRKM3;dividend;4820
0.606188802;2014-04-09;4820;2014-04-10;"";2014-04-23;2014-04-09;BRKM5;dividend;4820
0.605085049;2012-04-27;4820;2012-05-17;"";2012-11-19;2012-04-27;BRKM6;dividend;4820
0.605085049;2012-04-27;4820;2012-04-30;"";2012-11-19;2012-04-27;BRKM5;dividend;4820
0.605085049;2012-04-27;4820;2012-04-30;"";2012-11-19;2012-04-27;BRKM3;dividend;4820
0.601988304;2011-04-29;4820;2011-05-12;"";2011-05-10;2011-04-29;BRKM6;dividend;4820
0.83324714;2011-04-29;4820;2011-05-02;"";2011-05-10;2011-04-29;BRKM3;dividend;4820
0.83324714;2011-04-29;4820;2011-05-02;"";2011-05-10;2011-04-29;BRKM5;dividend;4820
0.644625;2008-03-26;4820;2008-03-27;"";2008-04-07;2008-03-26;BRKM3;dividend;4820
0.644625;2008-03-26;4820;2008-03-27;"";2008-04-07;2008-03-26;BRKM5;dividend;4820
0.644625;2008-03-26;4820;2008-03-27;"";2008-04-07;2008-03-26;BRKM6;dividend;4820
0.159017;2007-03-28;4820;2007-03-29;"";2007-03-28;2007-03-28;BRKM5;dividend;4820
