amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.140066;"";5762;2022-11-14;"";2023-03-31;2022-11-11;ETER3;interest;5762
0.297903;"";5762;2022-08-15;"";2022-09-20;2022-08-12;ETER3;interest;5762
0.39373063;"";5762;2022-03-31;"";2022-04-08;2022-03-30;ETER3;dividend;5762
0.24152566;"";5762;2021-12-22;"";2021-12-28;2021-12-21;ETER3;interest;5762
0.044;2015-12-16;5762;2015-12-17;"";2016-04-13;2015-12-16;ETER3;interest;5762
0.044;2015-11-04;5762;2015-11-05;"";2015-11-17;2015-11-04;ETER3;interest;5762
0.009;2015-08-05;5762;2015-08-06;"";2015-08-18;2015-08-05;ETER3;dividend;5762
0.041;2015-08-05;5762;2015-08-06;"";2015-08-18;2015-08-05;ETER3;interest;5762
0.063;2015-05-13;5762;2015-05-26;"";2015-06-03;2015-05-25;ETER3;dividend;5762
0.037;2015-05-13;5762;2015-05-26;"";2015-06-03;2015-05-25;ETER3;interest;5762
0.067;2015-03-11;5762;2015-03-24;"";2015-03-31;2015-03-23;ETER3;dividend;5762
0.033;2014-12-19;5762;2014-12-30;"";2015-03-31;2014-12-29;ETER3;interest;5762
0.0665;2014-11-05;5762;2014-11-18;"";2014-11-27;2014-11-17;ETER3;dividend;5762
0.0335;2014-11-05;5762;2014-11-18;"";2014-11-27;2014-11-17;ETER3;interest;5762
0.133;2014-08-06;5762;2014-08-19;"";2014-08-27;2014-08-18;ETER3;dividend;5762
0.067;2014-08-06;5762;2014-08-19;"";2014-08-27;2014-08-18;ETER3;interest;5762
0.133;2014-05-07;5762;2014-05-20;"";2014-05-28;2014-05-19;ETER3;dividend;5762
0.067;2014-05-07;5762;2014-05-20;"";2014-05-28;2014-05-19;ETER3;interest;5762
0.139;2014-03-12;5762;2014-03-25;"";2014-04-02;2014-03-24;ETER3;dividend;5762
0.061;"";5762;2013-12-26;"";2014-04-02;2013-12-25;ETER3;interest;5762
0.135;2013-10-23;5762;2013-11-05;"";2013-11-13;2013-11-04;ETER3;dividend;5762
0.065;2013-10-23;5762;2013-11-05;"";2013-11-13;2013-11-04;ETER3;interest;5762
0.136;2013-08-07;5762;2013-08-20;"";2013-08-28;2013-08-19;ETER3;dividend;5762
0.064;2013-08-07;5762;2013-08-20;"";2013-08-28;2013-08-19;ETER3;interest;5762
0.136;2013-04-29;5762;2013-04-30;"";2013-05-10;2013-04-29;ETER3;dividend;5762
0.064;2013-04-17;5762;2013-04-30;"";2013-05-10;2013-04-29;ETER3;interest;5762
0.136;2013-03-06;5762;2013-03-19;"";2013-03-26;2013-03-18;ETER3;dividend;5762
0.064;2012-12-12;5762;2012-12-27;"";"";2012-12-26;ETER3;interest;5762
0.136;2012-10-24;5762;2012-11-06;"";2012-11-14;2012-11-05;ETER3;dividend;5762
0.064;2012-10-24;5762;2012-11-06;"";2012-11-14;2012-11-05;ETER3;interest;5762
0.125;2012-08-08;5762;2012-08-21;"";2012-08-29;2012-08-20;ETER3;dividend;5762
0.075;2012-08-08;5762;2012-08-21;"";2012-08-29;2012-08-20;ETER3;interest;5762
0.134;2012-04-25;5762;2012-05-08;"";2012-05-17;2012-05-07;ETER3;dividend;5762
0.066;2012-04-25;5762;2012-05-08;"";2012-05-17;2012-05-07;ETER3;interest;5762
