amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.03747;"";6211;2014-12-08;"";2015-01-26;2014-12-05;FRAS3;interest;6211
0.06825;"";6211;2014-06-24;"";2014-07-25;2014-06-23;FRAS3;interest;6211
0.00390054;"";6211;2014-04-15;"";2014-04-30;2014-04-14;FRAS3;dividend;6211
0.0597;"";6211;2014-01-08;"";2014-01-27;2013-12-16;FRAS3;interest;6211
0.07574;"";6211;2013-11-13;"";2013-07-25;2013-06-21;FRAS3;interest;6211
0.0146598;"";6211;2013-04-09;"";2013-04-23;2013-04-04;FRAS3;dividend;6211
0.03869;"";6211;2013-01-02;"";2013-01-30;2012-12-19;FRAS3;interest;6211
0.03869;"";6211;2012-11-22;"";2012-07-17;2012-06-20;FRAS3;interest;6211
0.0256807;"";6211;2012-04-10;"";2012-04-11;2012-03-28;FRAS3;dividend;6211
0.07914;"";6211;2011-12-07;"";2012-01-24;2011-12-05;FRAS3;interest;6211
0.07727;"";6211;2011-12-07;"";2011-07-11;2011-06-15;FRAS3;interest;6211
0.0256668;"";6211;2011-12-07;"";2011-04-29;2011-04-15;FRAS3;dividend;6211
0.06976;"";6211;2011-12-07;"";2011-01-27;2010-12-09;FRAS3;interest;6211
0.06775;"";6211;2011-12-07;"";2010-07-23;2010-06-14;FRAS3;interest;6211
0.06098;"";6211;2011-12-07;"";2010-04-23;2010-04-07;FRAS3;dividend;6211
0.1;"";6211;2010-03-23;"";2010-01-28;2009-12-04;FRAS3;interest;6211
0.05;"";6211;2010-03-23;"";2009-07-10;2009-06-18;FRAS3;interest;6211
0.08623;"";6211;2010-03-23;"";2009-01-27;2008-11-25;FRAS3;interest;6211
0.08365;"";6211;2008-08-07;"";2008-07-03;2008-06-17;FRAS3;interest;6211
0.042306;"";6211;2008-08-07;"";2008-04-30;2008-04-16;FRAS3;dividend;6211
0.07351;"";6211;2008-03-28;"";2008-01-29;2007-12-03;FRAS3;interest;6211
