amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.011935373;2018-04-26;6505;2018-04-27;"";2018-06-21;2018-04-26;VVAR3;dividend;6505
0.027035136;2017-12-12;6505;2017-12-18;"";2017-12-28;2017-12-15;VVAR3;interest;6505
0.002065702;2016-09-12;6505;2016-09-14;"";2016-11-10;2016-09-12;VVAR3;dividend;6505
5.2573E-4;2016-04-26;6505;2016-04-27;"";2016-06-23;2016-04-26;VVAR3;dividend;6505
0.17253;2015-04-23;6505;2015-04-30;"";2015-06-17;2015-04-23;VVAR3;dividend;6505
0.56513;2013-10-16;6505;2013-10-21;"";2013-11-08;2013-10-18;VVAR3;dividend;6505
0.644328;2013-09-26;6505;2013-09-27;"";"";2013-09-26;VVAR3;dividend;6505
0.014536;2013-04-12;6505;2013-04-24;"";2013-06-07;2013-04-12;VVAR3;dividend;6505
0.0316;"";6505;2012-04-11;"";2009-06-04;2009-04-30;VVAR3;dividend;6505
0.347322;2008-04-29;6505;2012-04-11;"";2008-05-20;2008-04-29;VVAR3;interest;6505
