amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.211;"";7510;2022-09-27;"";2022-10-19;2022-09-26;ROMI3;interest;7510
0.2;"";7510;2022-06-14;"";2022-08-24;2022-06-13;ROMI3;interest;7510
0.17;"";7510;2022-03-22;"";2022-05-18;2022-03-21;ROMI3;interest;7510
0.1;"";7510;2022-02-08;"";2022-03-22;2022-02-07;ROMI3;dividend;7510
0.1469;"";7510;2021-12-22;"";2022-01-26;2021-12-21;ROMI3;interest;7510
0.23;"";7510;2021-09-21;"";2021-10-28;2021-09-20;ROMI3;dividend;7510
0.13;"";7510;2021-09-21;"";"";2021-09-20;ROMI3;interest;7510
0.12;2021-06-08;7510;2021-06-15;"";2021-07-20;2021-06-14;ROMI3;interest;7510
0.15;2021-03-16;7510;2021-03-23;"";2021-04-28;2021-03-22;ROMI3;interest;7510
1.0;2020-12-08;7510;2020-12-15;"";2021-01-26;2020-12-14;ROMI3;interest;7510
0.8;2020-09-24;7510;2020-09-30;"";2020-12-11;2020-09-29;ROMI3;interest;7510
0.1;2020-06-16;7510;2020-06-23;"";2020-12-11;2020-06-22;ROMI3;interest;7510
0.5;2020-03-17;7510;2020-03-24;"";2021-08-18;2020-03-23;ROMI3;interest;7510
0.25;2019-12-10;7510;2019-12-26;"";2020-01-10;2019-12-23;ROMI3;interest;7510
0.4;2019-09-10;7510;2019-09-17;"";2019-11-29;2019-09-16;ROMI3;interest;7510
0.47;2019-03-26;7510;2019-04-01;"";2020-03-31;2019-03-29;ROMI3;interest;7510
0.25;2018-09-11;7510;2018-09-18;"";2018-11-30;2018-09-17;ROMI3;interest;7510
0.43;2018-04-17;7510;2018-04-24;"";2019-03-29;2018-04-23;ROMI3;interest;7510
