amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.0235295;"";7617;"";"";2023-04-03;2023-02-28;ITSA3;interest;7617
0.0235295;"";7617;"";"";2023-04-03;2023-02-28;ITSA4;interest;7617
0.0235295;"";7617;"";"";2023-01-02;2022-11-30;ITSA3;interest;7617
0.0235295;"";7617;"";"";2023-01-02;2022-11-30;ITSA4;interest;7617
0.05154;"";7617;2022-11-21;"";2023-12-29;2022-11-18;ITSA3;interest;7617
0.05154;"";7617;2022-11-21;"";2023-12-29;2022-11-18;ITSA4;interest;7617
0.0235295;"";7617;2022-09-01;"";2022-10-03;2022-08-31;ITSA4;interest;7617
0.0235295;"";7617;2022-09-01;"";2022-10-03;2022-08-31;ITSA3;interest;7617
0.0103;"";7617;2022-08-19;"";2022-08-30;2022-08-18;ITSA4;interest;7617
0.0103;"";7617;2022-08-19;"";2022-08-30;2022-08-18;ITSA3;interest;7617
0.0494;"";7617;2022-08-19;"";2023-12-29;2022-08-18;ITSA3;interest;7617
0.0494;"";7617;2022-08-19;"";2023-12-29;2022-08-18;ITSA4;interest;7617
0.0235295;"";7617;2022-06-01;"";2022-07-01;2022-05-31;ITSA3;interest;7617
0.0235295;"";7617;2022-06-01;"";2022-07-01;2022-05-31;ITSA4;interest;7617
0.11337;"";7617;2022-03-25;"";2022-08-30;2022-03-24;ITSA3;interest;7617
0.11337;"";7617;2022-03-25;"";2022-08-30;2022-03-24;ITSA4;interest;7617
0.13334;"";7617;2022-01-17;"";2022-03-11;2022-01-14;ITSA4;interest;7617
0.13334;"";7617;2022-01-17;"";2022-03-11;2022-01-14;ITSA3;interest;7617
0.0235295;"";7617;2021-12-14;"";2022-04-01;2021-12-13;ITSA3;interest;7617
0.0235295;"";7617;2021-12-14;"";2022-04-01;2021-12-13;ITSA4;interest;7617
0.0235295;"";7617;2021-12-01;"";2022-01-03;2021-11-30;ITSA3;interest;7617
0.0235295;"";7617;2021-12-01;"";2022-01-03;2021-11-30;ITSA4;interest;7617
0.15472;"";7617;2021-11-24;"";2022-03-11;2021-11-23;ITSA3;interest;7617
0.15472;"";7617;2021-11-24;"";2022-03-11;2021-11-23;ITSA4;interest;7617
0.02;2021-05-25;7617;2021-09-01;"";2021-10-01;2021-08-31;ITSA3;dividend;7617
0.02;2021-05-25;7617;2021-09-01;"";2021-10-01;2021-08-31;ITSA4;dividend;7617
0.03734;2021-08-09;7617;2021-08-16;"";2021-08-26;2021-08-13;ITSA3;interest;7617
0.03734;2021-08-09;7617;2021-08-16;"";2021-08-26;2021-08-13;ITSA4;interest;7617
0.02;2021-05-25;7617;2021-06-01;"";2021-07-01;2021-05-31;ITSA4;dividend;7617
0.02;2021-05-25;7617;2021-06-01;"";2021-07-01;2021-05-31;ITSA3;dividend;7617
0.0184;2021-05-14;7617;2021-05-25;"";2021-08-26;2021-05-24;ITSA3;interest;7617
0.0184;2021-05-14;7617;2021-05-25;"";2021-08-26;2021-05-24;ITSA4;interest;7617
0.02131;2021-04-19;7617;2021-04-28;"";2021-08-26;2021-04-27;ITSA3;interest;7617
0.02131;2021-04-19;7617;2021-04-28;"";2021-08-26;2021-04-27;ITSA4;interest;7617
0.01908;2021-03-18;7617;2021-03-26;"";2021-08-26;2021-03-25;ITSA4;interest;7617
0.01908;2021-03-18;7617;2021-03-26;"";2021-08-26;2021-03-25;ITSA3;interest;7617
0.015456;2021-03-04;7617;2021-03-10;"";2021-08-26;2021-03-09;ITSA4;interest;7617
0.015456;2021-03-04;7617;2021-03-10;"";2021-08-26;2021-03-09;ITSA3;interest;7617
0.02;2020-05-25;7617;2021-03-01;"";2021-04-01;2021-02-26;ITSA4;dividend;7617
0.02;2020-05-25;7617;2021-03-01;"";2021-04-01;2021-02-26;ITSA3;dividend;7617
0.0208;2021-01-18;7617;2021-01-26;"";2021-03-12;2021-01-22;ITSA3;interest;7617
0.0208;2021-01-18;7617;2021-01-26;"";2021-03-12;2021-01-22;ITSA4;interest;7617
0.10165;2020-12-07;7617;2020-12-11;"";2021-03-12;2020-12-10;ITSA3;interest;7617
0.10165;2020-12-07;7617;2020-12-11;"";2021-03-12;2020-12-10;ITSA4;interest;7617
0.02;2020-05-25;7617;2020-12-01;"";2021-01-04;2020-11-30;ITSA3;dividend;7617
0.02;2020-05-25;7617;2020-12-01;"";2021-01-04;2020-11-30;ITSA4;dividend;7617
0.02;2020-05-25;7617;2020-09-01;"";2020-10-01;2020-08-31;ITSA4;dividend;7617
0.02;2020-05-25;7617;2020-09-01;"";2020-10-01;2020-08-31;ITSA3;dividend;7617
0.02;2020-08-10;7617;2020-08-18;"";2020-08-26;2020-08-17;ITSA4;dividend;7617
0.02;2020-08-10;7617;2020-08-18;"";2020-08-26;2020-08-17;ITSA3;dividend;7617
0.02;2020-05-25;7617;2020-06-01;"";2020-07-01;2020-05-29;ITSA3;dividend;7617
0.02;2020-05-25;7617;2020-06-01;"";2020-07-01;2020-05-29;ITSA4;dividend;7617
0.02;2019-05-28;7617;2020-03-02;"";2020-04-01;2020-02-28;ITSA3;dividend;7617
0.02;2019-05-28;7617;2020-03-02;"";2020-04-01;2020-02-28;ITSA4;dividend;7617
0.2174;2020-02-17;7617;2020-02-21;"";2020-03-06;2020-02-20;ITSA4;interest;7617
0.226;2020-02-17;7617;2020-02-21;"";2020-03-06;2020-02-20;ITSA3;dividend;7617
0.2174;2020-02-17;7617;2020-02-21;"";2020-03-06;2020-02-20;ITSA3;interest;7617
0.226;2020-02-17;7617;2020-02-21;"";2020-03-06;2020-02-20;ITSA4;dividend;7617
0.00595;2019-12-09;7617;2019-12-13;"";2020-03-06;2019-12-12;ITSA4;interest;7617
0.00595;2019-12-09;7617;2019-12-13;"";2020-03-06;2019-12-12;ITSA3;interest;7617
0.02;2019-05-28;7617;2019-12-02;"";2020-01-02;2019-11-29;ITSA4;dividend;7617
0.02;2019-05-28;7617;2019-12-02;"";2020-01-02;2019-11-29;ITSA3;dividend;7617
0.02;2019-05-28;7617;2019-09-02;"";2019-10-01;2019-08-30;ITSA3;dividend;7617
0.02;2019-05-28;7617;2019-09-02;"";2019-10-01;2019-08-30;ITSA4;dividend;7617
0.3405;2019-08-12;7617;2019-08-16;"";2019-08-23;2019-08-15;ITSA4;dividend;7617
0.3405;2019-08-12;7617;2019-08-16;"";2019-08-23;2019-08-15;ITSA3;dividend;7617
0.02;2019-05-28;7617;2019-06-03;"";2019-07-01;2019-05-31;ITSA4;dividend;7617
0.02;2019-05-28;7617;2019-06-03;"";2019-07-01;2019-05-31;ITSA3;dividend;7617
0.02;2018-05-25;7617;2019-03-01;"";2019-04-01;2019-02-28;ITSA3;dividend;7617
0.02;2018-05-25;7617;2019-03-01;"";2019-04-01;2019-02-28;ITSA4;dividend;7617
0.4532;2019-02-18;7617;2019-02-22;"";2019-03-07;2019-02-21;ITSA4;dividend;7617
0.4532;2019-02-18;7617;2019-02-22;"";2019-03-07;2019-02-21;ITSA3;dividend;7617
0.3111;2019-02-18;7617;2019-02-22;"";2019-03-07;2019-02-21;ITSA3;interest;7617
0.3111;2019-02-18;7617;2019-02-22;"";2019-03-07;2019-02-21;ITSA4;interest;7617
0.0081;2018-12-12;7617;2018-12-18;"";2019-03-07;2018-12-17;ITSA3;interest;7617
0.0081;2018-12-12;7617;2018-12-18;"";2019-03-07;2018-12-17;ITSA4;interest;7617
0.02;2018-05-25;7617;2018-12-03;"";2019-01-02;2018-11-30;ITSA4;dividend;7617
0.02;2018-05-25;7617;2018-12-03;"";2019-01-02;2018-11-30;ITSA3;dividend;7617
0.015;2018-05-25;7617;2018-09-03;"";2018-10-01;2018-08-31;ITSA4;dividend;7617
0.015;2018-05-25;7617;2018-09-03;"";2018-10-01;2018-08-31;ITSA3;dividend;7617
0.0096;2018-08-13;7617;2018-08-20;"";2018-08-30;2018-08-17;ITSA3;interest;7617
0.1992;2018-08-13;7617;2018-08-20;"";2018-08-30;2018-08-17;ITSA4;dividend;7617
0.1992;2018-08-13;7617;2018-08-20;"";2018-08-30;2018-08-17;ITSA3;dividend;7617
0.0096;2018-08-13;7617;2018-08-20;"";2018-08-30;2018-08-17;ITSA4;interest;7617
0.015;2018-05-25;7617;2018-06-01;"";2018-07-02;2018-05-30;ITSA3;dividend;7617
0.015;2018-05-25;7617;2018-06-01;"";2018-07-02;2018-05-30;ITSA4;dividend;7617
0.015;2018-02-22;7617;2018-03-01;"";2018-04-02;2018-02-28;ITSA3;dividend;7617
0.015;2018-02-22;7617;2018-03-01;"";2018-04-02;2018-02-28;ITSA4;dividend;7617
0.1103;"";7617;2018-02-23;"";2018-04-05;2018-02-22;ITSA3;dividend;7617
0.185;"";7617;2018-02-23;"";2018-04-05;2018-02-22;ITSA3;dividend;7617
0.374;2018-02-19;7617;2018-02-23;"";2018-03-07;2018-02-22;ITSA4;interest;7617
0.185;"";7617;2018-02-23;"";2018-04-05;2018-02-22;ITSA4;dividend;7617
0.1103;"";7617;2018-02-23;"";2018-04-05;2018-02-22;ITSA4;dividend;7617
0.374;2018-02-19;7617;2018-02-23;"";2018-03-07;2018-02-22;ITSA3;interest;7617
