amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.16050786;"";7870;2022-08-30;"";2022-09-08;2022-08-29;KEPL3;dividend;7870
0.2091;"";7870;2022-08-30;"";2022-09-08;2022-08-29;KEPL3;interest;7870
0.57574565;"";7870;2022-03-24;"";2022-04-18;2022-03-23;KEPL3;dividend;7870
1.95139581;"";7870;2022-03-24;"";2022-04-18;2022-03-23;KEPL3;dividend;7870
9.18111533;"";7870;2021-10-13;"";2021-10-20;2021-10-11;KEPL3;"";7870
0.708;2021-06-23;7870;2021-06-29;"";2021-07-08;2021-06-28;KEPL3;interest;7870
0.34831805;"";7870;2021-03-31;"";2021-04-16;2021-03-30;KEPL3;dividend;7870
0.61710248;"";7870;2021-03-31;"";2021-04-16;2021-03-30;KEPL3;dividend;7870
0.304045;2020-10-14;7870;2020-10-22;"";2020-11-20;2020-10-21;KEPL3;interest;7870
0.2428;2020-04-16;7870;2020-04-17;"";2020-08-31;2020-04-16;KEPL3;dividend;7870
0.1520223;2019-12-05;7870;2019-12-13;"";2019-12-27;2019-12-12;KEPL3;interest;7870
