amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.43775;2019-04-24;8605;"";"";2019-06-24;2019-04-24;MTIG3;dividend;8605
0.43775;2019-04-24;8605;2019-05-09;"";2019-06-24;2019-04-24;MTIG4;dividend;8605
8.0E-4;2011-12-29;8605;2012-01-04;"";2012-02-28;2012-01-02;MTIG3;interest;8605
8.0E-4;2011-12-29;8605;2012-01-03;"";2011-02-28;2012-01-02;MTIG4;interest;8605
5.3E-4;2008-04-23;8605;2008-06-10;"";2008-05-26;2008-04-23;MTIG3;dividend;8605
5.3E-4;2008-04-23;8605;2008-04-24;"";2008-05-26;2008-04-23;MTIG4;dividend;8605
8.0E-4;2007-04-18;8605;2007-05-07;"";2007-05-21;2007-04-18;MTIG3;dividend;8605
8.0E-4;2007-04-18;8605;2007-04-19;"";2007-05-21;2007-04-18;MTIG4;dividend;8605
0.002589;2005-12-30;8605;2006-04-17;"";2006-03-01;2006-01-23;MTIG3;interest;8605
0.002589;2005-12-30;8605;2006-03-07;"";2006-03-01;2006-01-23;MTIG4;interest;8605
0.00176;2004-10-29;8605;2005-06-03;"";2004-12-29;2004-11-03;MTIG4;interest;8605
