amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.27;"";8656;2022-11-22;"";2022-12-15;2022-11-21;GOAU3;dividend;8656
0.27;"";8656;2022-11-22;"";2022-12-15;2022-11-21;GOAU4;dividend;8656
0.23;"";8656;2022-11-22;"";2022-12-15;2022-11-21;GOAU4;interest;8656
0.23;"";8656;2022-11-22;"";2022-12-15;2022-11-21;GOAU3;interest;8656
0.36;"";8656;2022-08-16;"";2022-08-26;2022-08-15;GOAU4;dividend;8656
0.36;"";8656;2022-08-16;"";2022-08-26;2022-08-15;GOAU3;dividend;8656
0.09;"";8656;2022-05-17;"";2022-05-26;2022-05-16;GOAU3;dividend;8656
0.09;"";8656;2022-05-17;"";2022-05-26;2022-05-16;GOAU4;dividend;8656
0.2;"";8656;2022-05-17;"";2022-05-26;2022-05-16;GOAU4;interest;8656
0.2;"";8656;2022-05-17;"";2022-05-26;2022-05-16;GOAU3;interest;8656
0.1;"";8656;2022-03-08;"";2022-03-17;2022-03-07;GOAU4;dividend;8656
0.1;"";8656;2022-03-08;"";2022-03-17;2022-03-07;GOAU3;dividend;8656
1.44;"";8656;2021-11-08;"";2021-11-17;2021-11-05;GOAU4;dividend;8656
0.11;"";8656;2021-11-08;"";2021-11-17;2021-11-05;GOAU4;interest;8656
0.11;"";8656;2021-11-08;"";2021-11-17;2021-11-05;GOAU3;interest;8656
1.44;"";8656;2021-11-08;"";2021-11-17;2021-11-05;GOAU3;dividend;8656
0.12;"";8656;2021-09-28;"";2021-11-17;2021-09-27;GOAU4;interest;8656
0.08;"";8656;2021-09-28;"";2021-11-17;2021-09-27;GOAU3;dividend;8656
0.12;"";8656;2021-09-28;"";2021-11-17;2021-09-27;GOAU3;interest;8656
0.08;"";8656;2021-09-28;"";2021-11-17;2021-09-27;GOAU4;dividend;8656
0.28;2021-08-03;8656;2021-08-17;"";2021-08-27;2021-08-16;GOAU3;dividend;8656
0.28;2021-08-03;8656;2021-08-17;"";2021-08-27;2021-08-16;GOAU4;dividend;8656
0.21;2021-05-04;8656;2021-05-17;"";2021-05-27;2021-05-14;GOAU4;dividend;8656
0.21;2021-05-04;8656;2021-05-17;"";2021-05-27;2021-05-14;GOAU3;dividend;8656
0.08;2021-02-23;8656;2021-03-12;"";2021-03-26;2021-03-11;GOAU3;interest;8656
0.08;2021-02-23;8656;2021-03-12;"";2021-03-26;2021-03-11;GOAU4;interest;8656
0.09;2020-12-08;8656;2020-12-22;"";2021-03-26;2020-12-21;GOAU4;interest;8656
0.09;2020-12-08;8656;2020-12-22;"";2021-03-26;2020-12-21;GOAU3;interest;8656
0.07;2020-10-27;8656;2020-11-09;"";2020-11-19;2020-11-06;GOAU3;dividend;8656
0.07;2020-10-27;8656;2020-11-09;"";2020-11-19;2020-11-06;GOAU4;dividend;8656
0.02;2020-02-18;8656;2020-03-02;"";2020-03-12;2020-02-28;GOAU4;dividend;8656
0.02;2020-02-18;8656;2020-03-02;"";2020-03-12;2020-02-28;GOAU3;dividend;8656
0.02;2019-10-29;8656;2019-11-12;"";2019-11-25;2019-11-11;GOAU4;dividend;8656
0.02;2019-10-29;8656;2019-11-12;"";2019-11-25;2019-11-11;GOAU3;dividend;8656
0.04;2019-08-06;8656;2019-08-19;"";2019-09-29;2019-08-16;GOAU4;dividend;8656
0.04;2019-08-06;8656;2019-08-19;"";2019-09-29;2019-08-16;GOAU3;dividend;8656
0.04;2019-05-07;8656;2019-05-20;"";2019-05-30;2019-05-17;GOAU3;dividend;8656
0.04;2019-05-07;8656;2019-05-20;"";2019-05-30;2019-05-17;GOAU4;dividend;8656
0.05;2019-02-20;8656;2019-03-07;"";2019-03-18;2019-03-06;GOAU4;dividend;8656
0.05;2019-02-20;8656;2019-03-07;"";2019-03-18;2019-03-06;GOAU3;dividend;8656
0.09;2018-11-06;8656;2018-11-22;"";2018-12-03;2018-11-21;GOAU4;dividend;8656
0.09;2018-11-06;8656;2018-11-22;"";2018-12-03;2018-11-21;GOAU3;dividend;8656
0.07;2018-08-07;8656;2018-08-22;"";2018-08-31;2018-08-21;GOAU3;dividend;8656
0.07;2018-08-07;8656;2018-08-22;"";2018-08-31;2018-08-21;GOAU4;dividend;8656
0.04;2018-05-08;8656;2018-05-22;"";2018-06-01;2018-05-21;GOAU4;dividend;8656
0.04;2018-05-08;8656;2018-05-22;"";2018-06-01;2018-05-21;GOAU3;dividend;8656
0.02;2017-11-07;8656;2017-11-22;"";2017-12-01;2017-11-21;GOAU3;dividend;8656
0.02;2017-11-07;8656;2017-11-22;"";2017-12-01;2017-11-21;GOAU4;dividend;8656
0.02;2015-08-12;8656;2015-08-25;"";2015-09-04;2015-08-24;GOAU4;dividend;8656
0.02;2015-08-12;8656;2015-08-25;"";2015-09-04;2015-08-24;GOAU3;dividend;8656
0.02;2015-05-06;8656;2015-05-22;"";2015-06-02;2015-05-21;GOAU3;dividend;8656
0.02;2015-05-06;8656;2015-05-22;"";2015-06-02;2015-05-21;GOAU4;dividend;8656
