amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
2.367111;2017-12-08;8893;2017-12-14;"";2017-12-27;2017-12-13;MOAR3;interest;8893
2.040612931;2017-10-19;8893;2017-11-03;"";2017-11-01;2017-10-24;MOAR3;dividend;8893
2.040612931;2017-08-14;8893;2017-08-24;"";2017-09-01;2017-08-17;MOAR3;interest;8893
2.040612931;2017-06-26;8893;2017-07-07;"";2017-07-10;2017-06-29;MOAR3;interest;8893
2.856858104;2016-12-15;8893;2016-12-21;"";2016-12-29;2016-12-20;MOAR3;interest;8893
0.97949421;"";8893;2016-12-21;"";2016-12-05;2016-11-25;MOAR3;dividend;8893
1.224367759;"";8893;2016-09-09;"";2016-09-01;2016-08-19;MOAR3;dividend;8893
1.224367759;"";8893;2016-06-22;"";2016-07-01;2016-06-16;MOAR3;dividend;8893
0.979494207;2016-04-26;8893;2016-06-09;"";2016-05-06;2016-04-26;MOAR3;interest;8893
2.448735518;"";8893;2016-01-06;"";2016-01-12;2015-12-29;MOAR3;interest;8893
0.816245172;2015-12-02;8893;2016-01-06;"";2015-12-11;2015-12-02;MOAR3;dividend;8893
2.448735519;2015-09-25;8893;2015-10-28;"";2015-10-02;2015-09-25;MOAR3;dividend;8893
0.816245173;2015-09-03;8893;2015-09-23;"";2015-09-14;2015-09-03;MOAR3;dividend;8893
0.816245173;2015-07-27;8893;2015-07-30;"";2015-08-05;2015-07-28;MOAR3;dividend;8893
2.040612932;"";8893;2015-06-05;"";2015-06-12;2015-06-04;MOAR3;dividend;8893
0.816245173;2015-04-27;8893;2015-05-07;"";2015-05-07;2015-04-27;MOAR3;dividend;8893
1.061118724;2015-03-03;8893;2015-03-26;"";2015-03-13;2015-03-04;MOAR3;interest;8893
2.040612932;2015-01-13;8893;2015-02-20;"";2015-01-23;2015-01-13;MOAR3;dividend;8893
0.816245173;2014-11-24;8893;2014-11-27;"";2014-12-04;2014-11-24;MOAR3;dividend;8893
1.231151167;2014-08-20;8893;2014-09-22;"";2014-09-01;2014-08-20;MOAR3;dividend;8893
3.836352311;2014-01-29;8893;2014-01-30;"";2014-09-01;2014-01-29;MOAR3;interest;8893
1.224367759;2013-12-17;8893;2013-12-26;"";2014-01-08;2013-12-18;MOAR3;dividend;8893
0.764149812;"";8893;2013-11-29;"";2013-12-02;2013-10-29;MOAR3;dividend;8893
0.061381;"";8893;2013-03-07;"";2013-12-02;2013-02-28;MOAR3;interest;8893
0.96175428;"";8893;2013-03-07;"";2013-06-05;2013-02-28;MOAR3;interest;8893
19.47195941;2013-01-18;8893;2013-02-14;"";2013-02-28;2013-01-18;MOAR3;dividend;8893
2.929871011;2012-08-06;8893;2012-08-08;"";2012-10-05;2012-08-06;MOAR3;dividend;8893
1.042128;"";8893;2012-05-04;"";2012-06-29;2012-03-29;MOAR3;interest;8893
2.301232;2012-03-15;8893;2012-05-04;"";2012-03-30;2012-03-15;MOAR3;interest;8893
0.88509;2012-01-03;8893;2012-01-18;"";2012-01-18;2012-01-03;MOAR3;dividend;8893
0.442545;2011-12-01;8893;2011-12-06;"";2011-12-13;2011-12-01;MOAR3;dividend;8893
0.531054;2011-09-29;8893;2011-10-04;"";2011-10-11;2011-09-29;MOAR3;interest;8893
2.272175;2011-09-29;8893;2011-10-04;"";2011-10-11;2011-09-29;MOAR3;dividend;8893
0.796581;2011-06-16;8893;2011-07-01;"";2011-07-01;2011-06-16;MOAR3;dividend;8893
1.106362;2011-03-23;8893;2011-03-30;"";2011-04-06;2011-03-23;MOAR3;dividend;8893
0.7965802;2011-01-03;8893;2011-01-24;"";2011-01-14;2011-01-03;MOAR3;dividend;8893
0.442545;2010-11-24;8893;2010-12-02;"";2010-12-06;2010-11-24;MOAR3;dividend;8893
0.840835;2010-09-22;8893;2010-09-27;"";2010-10-06;2010-09-22;MOAR3;dividend;8893
0.796581;2010-06-17;8893;2010-06-29;"";2010-06-29;2010-06-17;MOAR3;dividend;8893
0.789322;2010-03-31;8893;2010-04-20;"";2010-04-14;2010-03-31;MOAR3;dividend;8893
1.09628;2010-01-08;8893;2010-02-17;"";2010-01-22;2010-01-08;MOAR3;dividend;8893
1.490941;2009-08-14;8893;2009-08-18;"";2009-09-01;2009-08-14;MOAR3;dividend;8893
1.315536;2009-04-29;8893;2009-04-30;"";2009-05-08;2009-04-29;MOAR3;dividend;8893
1.490941;2009-01-07;8893;2009-01-08;"";2009-01-28;2009-01-07;MOAR3;dividend;8893
1.754048;2008-09-01;8893;2008-09-10;"";2008-09-15;2008-09-01;MOAR3;dividend;8893
1.315536;2008-06-04;8893;2008-06-09;"";2008-06-20;2008-06-04;MOAR3;dividend;8893
1.754048;2008-01-17;8893;2008-01-21;"";2008-02-01;2008-01-17;MOAR3;dividend;8893
