amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.018974809;"";906;"";"";2023-01-02;2022-12-01;BBDC4;interest;906
0.017249826;"";906;"";"";2023-01-02;2022-12-01;BBDC3;interest;906
0.018974809;"";906;2022-11-03;"";2022-12-01;2022-11-01;BBDC4;interest;906
0.017249826;"";906;2022-11-03;"";2022-12-01;2022-11-01;BBDC3;interest;906
0.017249826;"";906;2022-10-04;"";2022-11-01;2022-10-03;BBDC3;interest;906
0.018974809;"";906;2022-10-04;"";2022-11-01;2022-10-03;BBDC4;interest;906
0.018974809;"";906;2022-09-02;"";2022-10-03;2022-09-01;BBDC4;interest;906
0.017249826;"";906;2022-09-02;"";2022-10-03;2022-09-01;BBDC3;interest;906
0.017249826;"";906;2022-08-02;"";2022-09-01;2022-08-01;BBDC3;interest;906
0.018974809;"";906;2022-08-02;"";2022-09-01;2022-08-01;BBDC4;interest;906
0.017249826;"";906;2022-07-04;"";2022-08-01;2022-07-01;BBDC3;interest;906
0.018974809;"";906;2022-07-04;"";2022-08-01;2022-07-01;BBDC4;interest;906
0.196595372;"";906;2022-06-21;"";2022-06-30;2022-06-20;BBDC4;interest;906
0.178723065;"";906;2022-06-21;"";2022-06-30;2022-06-20;BBDC3;interest;906
0.018974809;"";906;2022-06-02;"";2022-07-01;2022-06-01;BBDC4;interest;906
0.017249826;"";906;2022-06-02;"";2022-07-01;2022-06-01;BBDC3;interest;906
0.017249826;"";906;2022-05-03;"";2022-06-01;2022-05-02;BBDC3;interest;906
0.018974809;"";906;2022-05-03;"";2022-06-01;2022-05-02;BBDC4;interest;906
0.017249826;"";906;2022-04-04;"";2022-05-02;2022-04-01;BBDC3;interest;906
0.018974809;"";906;2022-04-04;"";2022-05-02;2022-04-01;BBDC4;interest;906
0.018974809;"";906;2022-03-03;"";2022-04-01;2022-03-02;BBDC4;interest;906
0.017249826;"";906;2022-03-03;"";2022-04-01;2022-03-02;BBDC3;interest;906
0.018974809;"";906;2022-02-02;"";2022-03-02;2022-02-01;BBDC4;interest;906
0.017249826;"";906;2022-02-02;"";2022-03-02;2022-02-01;BBDC3;interest;906
0.017249826;"";906;2022-01-04;"";2022-02-01;2022-01-03;BBDC3;interest;906
0.018974809;"";906;2022-01-04;"";2022-02-01;2022-01-03;BBDC4;interest;906
0.216254909;"";906;2021-12-21;"";2021-12-30;2021-12-20;BBDC4;dividend;906
0.196595372;"";906;2021-12-21;"";2021-12-30;2021-12-20;BBDC3;dividend;906
0.019659537;"";906;2021-12-21;"";2021-12-30;2021-12-20;BBDC3;interest;906
0.021625491;"";906;2021-12-21;"";2021-12-30;2021-12-20;BBDC4;interest;906
0.018974809;"";906;2021-12-02;"";2022-01-03;2021-12-01;BBDC4;interest;906
0.017249826;"";906;2021-12-02;"";2022-01-03;2021-12-01;BBDC3;interest;906
0.017249826;"";906;2021-11-03;"";2021-12-01;2021-11-01;BBDC3;interest;906
0.018974809;"";906;2021-11-03;"";2021-12-01;2021-11-01;BBDC4;interest;906
0.017249826;"";906;2021-10-04;"";2021-11-01;2021-10-01;BBDC3;interest;906
0.018974809;"";906;2021-10-04;"";2021-11-01;2021-10-01;BBDC4;interest;906
0.018974809;"";906;2021-09-02;"";2021-10-01;2021-09-01;BBDC4;interest;906
0.017249826;"";906;2021-09-02;"";2021-10-01;2021-09-01;BBDC3;interest;906
0.018974809;2020-12-23;906;2021-08-03;"";2021-09-01;2021-08-02;BBDC4;interest;906
0.017249826;2020-12-23;906;2021-08-03;"";2021-09-01;2021-08-02;BBDC3;interest;906
0.539008031;2021-06-22;906;2021-07-05;"";2021-07-12;2021-07-02;BBDC4;interest;906
0.490007301;2021-06-22;906;2021-07-05;"";2021-07-12;2021-07-02;BBDC3;interest;906
0.017249826;2020-12-23;906;2021-07-02;"";2021-08-02;2021-07-01;BBDC3;interest;906
0.018974809;2020-12-23;906;2021-07-02;"";2021-08-02;2021-07-01;BBDC4;interest;906
0.018974809;2020-12-23;906;2021-06-02;"";2021-07-01;2021-06-01;BBDC4;interest;906
0.017249826;2020-12-23;906;2021-06-02;"";2021-07-01;2021-06-01;BBDC3;interest;906
0.017249826;2020-12-23;906;2021-05-04;"";2021-06-01;2021-05-03;BBDC3;interest;906
0.018974809;2020-12-23;906;2021-05-04;"";2021-06-01;2021-05-03;BBDC4;interest;906
0.017249826;2020-12-23;906;2021-04-05;"";2021-05-03;2021-04-01;BBDC3;interest;906
0.018974809;2020-12-23;906;2021-04-05;"";2021-05-03;2021-04-01;BBDC4;interest;906
0.018974809;2020-12-23;906;2021-03-02;"";2021-04-01;2021-03-01;BBDC4;interest;906
0.017249826;2020-12-23;906;2021-03-02;"";2021-04-01;2021-03-01;BBDC3;interest;906
