amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.05381962;"";9342;2022-08-23;"";2022-08-31;2022-08-22;PNVL3;interest;9342
0.044884818;"";9342;2021-12-28;"";2022-05-31;2021-12-27;PNVL3;interest;9342
0.044884818;"";9342;2021-12-28;"";2022-04-29;2021-12-27;PNVL3;interest;9342
0.044884818;"";9342;2021-12-28;"";2022-03-31;2021-12-27;PNVL3;interest;9342
0.039899591;2021-08-06;9342;2021-08-23;"";2021-08-31;2021-08-20;PNVL3;interest;9342
0.049872751;"";9342;2021-01-04;"";2021-04-30;2020-12-30;PNVL4;interest;9342
0.024574978;"";9342;2021-01-04;"";2021-03-31;2020-12-30;PNVL4;interest;9342
0.02234089;"";9342;2021-01-04;"";2021-03-31;2020-12-30;PNVL3;interest;9342
0.045338864;"";9342;2021-01-04;"";2021-04-30;2020-12-30;PNVL3;interest;9342
0.045338864;"";9342;2021-01-04;"";2021-05-31;2020-12-30;PNVL3;interest;9342
0.049872751;"";9342;2021-01-04;"";2021-05-31;2020-12-30;PNVL4;interest;9342
0.025258215;2020-09-30;9342;2020-11-03;"";2021-03-31;2020-10-30;PNVL4;interest;9342
0.022962013;2020-09-30;9342;2020-11-03;"";2021-03-31;2020-10-30;PNVL3;interest;9342
1.14920848;"";9342;2019-12-27;"";2020-04-30;2019-12-26;PNVL4;interest;9342
1.14920848;"";9342;2019-12-27;"";2020-05-29;2019-12-26;PNVL4;interest;9342
1.044734982;"";9342;2019-12-27;"";2020-04-30;2019-12-26;PNVL3;interest;9342
1.044734982;"";9342;2019-12-27;"";2020-05-29;2019-12-26;PNVL3;interest;9342
1.205885079;2019-09-27;9342;2019-10-04;"";2020-03-31;2019-10-02;PNVL4;interest;9342
1.096259163;2019-09-27;9342;2019-10-03;"";2020-03-31;2019-10-02;PNVL3;interest;9342
0.680923108;"";9342;2019-07-03;"";2019-08-30;2019-06-24;PNVL4;interest;9342
0.680923108;"";9342;2019-07-03;"";2019-09-30;2019-06-24;PNVL4;interest;9342
0.680923108;"";9342;2019-07-03;"";2019-10-31;2019-06-24;PNVL4;interest;9342
0.619021007;"";9342;2019-06-26;"";2019-09-30;2019-06-24;PNVL3;interest;9342
0.619021007;"";9342;2019-06-26;"";2019-08-30;2019-06-24;PNVL3;interest;9342
0.619021007;"";9342;2019-06-26;"";2019-10-31;2019-06-24;PNVL3;interest;9342
0.898932513;"";9342;2018-12-26;"";2019-03-29;2018-12-20;PNVL3;interest;9342
0.898932513;"";9342;2018-12-26;"";2019-05-31;2018-12-20;PNVL3;interest;9342
0.898932513;"";9342;2018-12-26;"";2019-04-30;2018-12-20;PNVL3;interest;9342
0.988825765;"";9342;2018-12-21;"";2019-03-29;2018-12-20;PNVL4;interest;9342
0.988825765;"";9342;2018-12-21;"";2019-05-31;2018-12-20;PNVL4;interest;9342
0.988825765;"";9342;2018-12-21;"";2019-04-30;2018-12-20;PNVL4;interest;9342
0.6155;"";9342;2018-08-28;"";2018-10-31;2018-08-23;PNVL4;interest;9342
0.5595;"";9342;2018-08-24;"";2018-10-31;2018-08-23;PNVL3;interest;9342
2.437823919;2017-12-22;9342;2018-01-03;"";2018-03-29;2017-12-28;PNVL4;interest;9342
0.8126;"";9342;2018-01-03;"";2018-05-30;2017-12-28;PNVL4;interest;9342
0.7387;"";9342;2018-01-02;"";2018-05-30;2017-12-28;PNVL3;interest;9342
2.216203563;2017-12-22;9342;2018-01-02;"";2018-03-29;2017-12-28;PNVL3;interest;9342
0.581420779;"";9342;2017-08-21;"";2017-09-29;2017-08-16;PNVL4;interest;9342
0.581420779;"";9342;2017-08-21;"";2017-08-31;2017-08-16;PNVL4;interest;9342
0.581420779;"";9342;2017-08-21;"";2017-10-31;2017-08-16;PNVL4;interest;9342
0.528564345;"";9342;2017-08-18;"";2017-08-31;2017-08-16;PNVL3;interest;9342
0.528564345;"";9342;2017-08-18;"";2017-10-31;2017-08-16;PNVL3;interest;9342
0.528564345;"";9342;2017-08-18;"";2017-09-29;2017-08-16;PNVL3;interest;9342
