amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
7.7E-4;"";9954;2022-08-26;"";2022-10-03;2022-08-15;RPAD6;dividend;9954
7.0E-4;"";9954;2022-08-25;"";2022-10-03;2022-08-15;RPAD3;dividend;9954
0.07465;"";9954;2022-08-19;"";2022-10-03;2022-08-15;RPAD5;dividend;9954
0.49007;"";9954;2022-01-31;"";2022-03-16;2022-01-26;RPAD5;dividend;9954
0.07329;2021-08-11;9954;2021-08-19;"";2021-10-04;2021-08-16;RPAD5;dividend;9954
0.47433;2021-01-21;9954;2021-01-28;"";2021-03-16;2021-01-27;RPAD5;dividend;9954
0.07094;2020-08-11;9954;2020-08-20;"";2020-10-05;2020-08-14;RPAD5;dividend;9954
7.7E-4;2020-01-22;9954;2020-01-29;"";2021-03-16;2020-01-27;RPAD6;dividend;9954
0.45512;2020-01-22;9954;2020-01-28;"";"";2020-01-27;RPAD5;dividend;9954
7.0E-4;2020-01-22;9954;2020-01-28;"";2021-03-16;2020-01-27;RPAD3;dividend;9954
0.06807;2019-08-08;9954;2019-08-21;"";2019-10-01;2019-08-13;RPAD5;dividend;9954
0.34023;2019-01-22;9954;2019-01-30;"";2019-03-18;2019-01-28;RPAD5;dividend;9954
0.15972;2018-08-09;9954;2018-08-28;"";2018-10-02;2018-08-14;RPAD5;dividend;9954
0.32595;2018-01-22;9954;2018-02-05;"";2018-03-19;2018-01-26;RPAD5;dividend;9954
0.15047;2017-08-14;9954;2017-08-25;"";"";2017-08-17;RPAD5;dividend;9954
3.7E-4;2017-08-14;9954;2017-08-25;"";"";2017-08-17;RPAD3;dividend;9954
4.0E-4;2017-08-14;9954;2017-08-21;"";2017-10-06;2017-08-17;RPAD6;dividend;9954
0.30082;2017-01-18;9954;2017-01-26;"";"";2017-01-23;RPAD5;dividend;9954
0.14817;2016-08-10;9954;2016-08-23;"";"";2016-08-15;RPAD5;dividend;9954
0.28217;2016-01-20;9954;2016-01-22;"";"";2016-01-20;RPAD5;dividend;9954
0.13898;2015-08-12;9954;2015-08-25;"";"";2015-08-13;RPAD5;dividend;9954
0.01333;2015-03-19;9954;2015-04-23;"";"";2015-03-19;RPAD6;dividend;9954
0.01211;2015-03-19;9954;2015-04-13;"";2015-04-15;2015-03-19;RPAD3;dividend;9954
0.00131;2015-01-21;9954;2015-02-25;"";2015-03-16;2015-01-21;RPAD6;dividend;9954
0.00119;2015-01-21;9954;2015-01-28;"";2015-03-16;2015-01-21;RPAD3;dividend;9954
0.28239;2015-01-21;9954;2015-01-22;"";2015-03-16;2015-01-21;RPAD5;dividend;9954
0.12102;2014-08-12;9954;2014-08-14;"";2014-10-06;2014-08-12;RPAD5;dividend;9954
0.05589;2014-01-21;9954;2014-01-31;"";2014-03-17;2014-01-21;RPAD5;interest;9954
0.1599;"";9954;2014-01-31;"";"";2014-01-21;RPAD5;dividend;9954
0.03183;2013-08-13;9954;2013-08-28;"";2013-10-07;2013-08-13;RPAD5;interest;9954
0.14781;2013-08-13;9954;2013-08-28;"";2013-10-07;2013-08-13;RPAD5;dividend;9954
0.00114;2012-08-13;9954;2012-08-23;"";2012-09-27;2012-08-13;RPAD6;interest;9954
