assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;58.8;-3.9162;-107.5532;-685.6163;1.502;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;58.8;-3.9162;-107.5532;-685.6163;1.8024;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;49.0;-3.2635;-89.6277;-571.3469;1.502;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;49.0;-3.2635;-89.6277;-571.3469;1.8024;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;57.05;-3.7996;-104.3522;-665.2111;1.7488;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;57.05;-3.7996;-104.3522;-665.2111;1.4591;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.7488;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.4591;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;57.4;-3.823;-104.9924;-669.2921;1.7595;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;57.4;-3.823;-104.9924;-669.2921;1.4377;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;46.9;-3.1236;-85.7865;-546.8606;1.7595;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;46.9;-3.1236;-85.7865;-546.8606;1.4377;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.25;-3.1469;-86.4267;-550.9417;1.4484;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.25;-3.1469;-86.4267;-550.9417;1.7488;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;57.05;-3.7996;-104.3522;-665.2111;1.4484;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;57.05;-3.7996;-104.3522;-665.2111;1.7488;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;59.5;-3.9628;-108.8336;-693.7784;1.8239;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;59.5;-3.9628;-108.8336;-693.7784;1.4591;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.8239;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.4591;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;46.9;-3.1236;-85.7865;-546.8606;1.8239;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;46.9;-3.1236;-85.7865;-546.8606;1.4377;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;59.5;-3.9628;-108.8336;-693.7784;1.8239;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;59.5;-3.9628;-108.8336;-693.7784;1.4377;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;57.05;-3.7996;-104.3522;-665.2111;1.7488;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;57.05;-3.7996;-104.3522;-665.2111;1.4377;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;46.9;-3.1236;-85.7865;-546.8606;1.7488;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;46.9;-3.1236;-85.7865;-546.8606;1.4377;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;49.35;-3.2868;-90.2679;-575.428;1.8239;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;49.35;-3.2868;-90.2679;-575.428;1.5128;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;59.5;-3.9628;-108.8336;-693.7784;1.8239;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;59.5;-3.9628;-108.8336;-693.7784;1.5128;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;49.35;-3.2868;-90.2679;-575.428;1.5128;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;49.35;-3.2868;-90.2679;-575.428;1.8239;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;59.5;-3.9628;-108.8336;-693.7784;1.5128;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;59.5;-3.9628;-108.8336;-693.7784;1.8239;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.95;-3.1936;-87.7071;-559.1038;1.4698;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.95;-3.1936;-87.7071;-559.1038;1.9848;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;64.75;-4.3125;-118.4365;-754.9942;1.4698;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;64.75;-4.3125;-118.4365;-754.9942;1.9848;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;46.55;-3.1003;-85.1463;-542.7796;1.8024;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;46.55;-3.1003;-85.1463;-542.7796;1.4269;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;58.8;-3.9162;-107.5532;-685.6163;1.8024;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;58.8;-3.9162;-107.5532;-685.6163;1.4269;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;57.75;-3.8463;-105.6326;-673.3732;1.7703;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;57.75;-3.8463;-105.6326;-673.3732;1.4591;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.7703;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.4591;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;48.3;-3.2169;-88.3473;-563.1848;1.8024;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;48.3;-3.2169;-88.3473;-563.1848;1.4806;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;58.8;-3.9162;-107.5532;-685.6163;1.8024;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;58.8;-3.9162;-107.5532;-685.6163;1.4806;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;48.65;-3.2402;-88.9875;-567.2659;1.7166;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;48.65;-3.2402;-88.9875;-567.2659;1.4913;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;56.0;-3.7297;-102.4316;-652.9679;1.7166;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;56.0;-3.7297;-102.4316;-652.9679;1.4913;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;48.65;-3.2402;-88.9875;-567.2659;1.4913;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;48.65;-3.2402;-88.9875;-567.2659;1.8239;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;59.5;-3.9628;-108.8336;-693.7784;1.4913;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;59.5;-3.9628;-108.8336;-693.7784;1.8239;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;48.65;-3.2402;-88.9875;-567.2659;1.4913;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;48.65;-3.2402;-88.9875;-567.2659;1.8454;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;60.2;-4.0094;-110.114;-701.9405;1.4913;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;60.2;-4.0094;-110.114;-701.9405;1.8454;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.4591;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.7166;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;56.0;-3.7297;-102.4316;-652.9679;1.4591;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;56.0;-3.7297;-102.4316;-652.9679;1.7166;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;56.0;-3.7297;-102.4316;-652.9679;1.4484;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;56.0;-3.7297;-102.4316;-652.9679;1.7166;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.25;-3.1469;-86.4267;-550.9417;1.4484;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.25;-3.1469;-86.4267;-550.9417;1.7166;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.4591;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.6737;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;54.6;-3.6365;-99.8708;-636.6437;1.4591;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;54.6;-3.6365;-99.8708;-636.6437;1.6737;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;52.5;-3.4966;-96.0296;-612.1574;1.4591;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;52.5;-3.4966;-96.0296;-612.1574;1.6093;26701724;SLED3;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.4591;26701724;SLED4;10472
1.5848;10472;-15.0146;-14.8687;-0.5467;0.0;47.6;-3.1703;-87.0669;-555.0227;1.6093;26701724;SLED4;10472
