assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
12.0991;11070;-0.4293;-0.5577;11.5884;0.0;3.14;-7.3141;0.271;-7.1192;0.2646;36414669;WLMM4;11070
12.0991;11070;-0.4293;-0.5577;11.5884;0.0;2.87;-6.6852;0.2477;-6.5071;0.2418;36414669;WLMM4;11070
12.0991;11070;-0.4293;-0.5577;11.5884;0.0;2.86;-6.6619;0.2468;-6.4844;0.241;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.01;-10.5524;0.2602;-12.2673;0.2409;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.05;-10.6927;0.2636;-12.4303;0.2441;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;2.88;-10.0967;0.2489;-11.7375;0.2305;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;6.02;-21.1049;0.5203;-24.5346;0.2337;36414669;WLMM3;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;6.02;-21.1049;0.5203;-24.5346;0.4819;36414669;WLMM3;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;2.92;-10.2369;0.2524;-11.9005;0.2337;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;2.92;-10.2369;0.2524;-11.9005;0.4819;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;2.92;-10.2369;0.2524;-11.9005;0.2337;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.0;-10.5174;0.2593;-12.2265;0.2401;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;2.94;-10.307;0.2541;-11.982;0.2353;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;2.94;-10.307;0.2541;-11.982;0.2353;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.13;-10.9731;0.2705;-12.7563;0.2505;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;6.02;-21.1049;0.5203;-24.5346;0.2625;36414669;WLMM3;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;6.02;-21.1049;0.5203;-24.5346;0.4819;36414669;WLMM3;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.28;-11.499;0.2835;-13.3677;0.2625;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.28;-11.499;0.2835;-13.3677;0.4819;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.25;-11.3938;0.2809;-13.2454;0.2601;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.11;-10.903;0.2688;-12.6748;0.2489;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.13;-10.9731;0.2705;-12.7563;0.2505;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.13;-10.9731;0.2705;-12.7563;0.2505;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.12;-10.9381;0.2697;-12.7156;0.2497;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.1;-10.868;0.268;-12.6341;0.2481;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.1;-10.868;0.268;-12.6341;0.2481;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.05;-10.6927;0.2636;-12.4303;0.2441;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.23;-11.3237;0.2792;-13.1639;0.2585;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.41;-11.9548;0.2947;-13.8975;0.273;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.41;-11.9548;0.2947;-13.8975;0.273;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.77;-13.2168;0.3259;-15.3647;0.4971;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.77;-13.2168;0.3259;-15.3647;0.3018;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;6.21;-21.771;0.5368;-25.3089;0.4971;36414669;WLMM3;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;6.21;-21.771;0.5368;-25.3089;0.3018;36414669;WLMM3;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.99;-13.9881;0.3449;-16.2613;0.5275;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.99;-13.9881;0.3449;-16.2613;0.3194;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;6.59;-23.1032;0.5696;-26.8576;0.5275;36414669;WLMM3;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;6.59;-23.1032;0.5696;-26.8576;0.3194;36414669;WLMM3;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;6.87;-24.0848;0.5938;-27.9987;0.313;36414669;WLMM3;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;6.87;-24.0848;0.5938;-27.9987;0.5499;36414669;WLMM3;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.91;-13.7076;0.338;-15.9352;0.313;36414669;WLMM4;11070
12.0707;11070;-0.2852;-0.409;11.5692;0.0;3.91;-13.7076;0.338;-15.9352;0.5499;36414669;WLMM4;11070
