assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
259.4753;1120;1.6422;"";19.5845;42.5568;7.99;4.8654;0.408;-0.342;0.1877;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;8.01;4.8775;0.409;-0.3429;0.1882;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;8.72;5.3099;0.4452;-0.3733;0.2049;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.02;5.4925;0.4606;-0.3861;0.212;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;8.9;5.4195;0.4544;-0.381;0.2091;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.04;5.5047;0.4616;-0.3869;0.2124;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.07;5.523;0.4631;-0.3882;0.2131;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.04;5.5047;0.4616;-0.3869;0.2124;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.04;5.5047;0.4616;-0.3869;0.2124;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.04;5.5047;0.4616;-0.3869;0.2124;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.25;5.6326;0.4723;-0.3959;0.2174;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.18;5.59;0.4687;-0.3929;0.2157;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.22;5.6143;0.4708;-0.3947;0.2167;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.21;5.6082;0.4703;-0.3942;0.2164;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;16.7;10.1691;0.8527;-0.7148;0.3924;15287798;BGIP3;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.52;5.797;0.4861;-0.4075;0.2237;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.45;5.7544;0.4825;-0.4045;0.2221;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.38;5.7118;0.4789;-0.4015;0.2204;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.28;5.6509;0.4738;-0.3972;0.2181;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.45;5.7544;0.4825;-0.4045;0.2221;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.45;5.7544;0.4825;-0.4045;0.2221;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;10.22;6.2233;0.5218;-0.4375;0.2401;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.93;6.0467;0.507;-0.425;0.2333;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;10.77;6.5582;0.5499;-0.461;0.2531;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;10.01;6.0954;0.5111;-0.4285;0.2352;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;10.01;6.0954;0.5111;-0.4285;0.2352;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.39;5.7179;0.4795;-0.4019;0.2206;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.73;5.9249;0.4968;-0.4165;0.2286;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.8;5.9675;0.5004;-0.4195;0.2303;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.8;5.9675;0.5004;-0.4195;0.2303;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.73;5.9249;0.4968;-0.4165;0.2286;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.8;5.9675;0.5004;-0.4195;0.2303;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.84;5.9919;0.5024;-0.4212;0.2312;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.84;5.9919;0.5024;-0.4212;0.2312;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.84;5.9919;0.5024;-0.4212;0.2312;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.63;5.864;0.4917;-0.4122;0.2263;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.41;5.73;0.4805;-0.4028;0.2211;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.31;5.6691;0.4754;-0.3985;0.2188;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.34;5.6874;0.4769;-0.3998;0.2195;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.24;5.6265;0.4718;-0.3955;0.2171;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.34;5.6874;0.4769;-0.3998;0.2195;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.27;5.6448;0.4733;-0.3968;0.2178;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.27;5.6448;0.4733;-0.3968;0.2178;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.77;5.9492;0.4989;-0.4182;0.2296;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.98;6.0771;0.5096;-0.4272;0.2345;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.97;6.071;0.5091;-0.4268;0.2343;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.98;6.0771;0.5096;-0.4272;0.2345;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.97;6.071;0.5091;-0.4268;0.2343;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.96;6.0649;0.5086;-0.4263;0.234;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.96;6.0649;0.5086;-0.4263;0.234;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.99;6.0832;0.5101;-0.4276;0.2347;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;9.91;6.0345;0.506;-0.4242;0.2329;15287798;BGIP4;1120
259.4753;1120;1.6422;"";19.5845;42.5568;16.45;10.0169;0.8399;-0.7041;0.3865;15287798;BGIP3;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.84;6.5136;0.4738;6.911;0.2282;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.86;6.5269;0.4747;6.9251;0.2286;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.71;6.4276;0.4675;6.8197;0.2252;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;16.45;10.8891;0.792;11.5535;0.3814;15287798;BGIP3;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.77;6.4673;0.4704;6.8618;0.2265;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;16.4;10.856;0.7896;11.5183;0.3803;15287798;BGIP3;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.77;6.4673;0.4704;6.8618;0.2265;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;16.4;10.856;0.7896;11.5183;0.3803;15287798;BGIP3;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.91;6.56;0.4771;6.9602;0.2298;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.99;6.6129;0.481;7.0164;0.2316;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.95;6.5864;0.4791;6.9883;0.2307;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;10.13;6.7056;0.4877;7.1147;0.2349;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;16.32;10.8031;0.7857;11.4622;0.3784;15287798;BGIP3;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.95;6.5864;0.4791;6.9883;0.2307;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.95;6.5864;0.4791;6.9883;0.2307;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;16.23;10.7435;0.7814;11.399;0.3763;15287798;BGIP3;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.95;6.5864;0.4791;6.9883;0.2307;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;16.06;10.631;0.7732;11.2796;0.3724;15287798;BGIP3;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.96;6.593;0.4795;6.9953;0.231;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;10.09;6.6791;0.4858;7.0866;0.234;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.99;6.6129;0.481;7.0164;0.2316;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;10.02;6.6328;0.4824;7.0374;0.2323;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;10.03;6.6394;0.4829;7.0445;0.2326;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;10.03;6.6394;0.4829;7.0445;0.2326;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;10.06;6.6592;0.4843;7.0655;0.2333;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;10.13;6.7056;0.4877;7.1147;0.2349;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;9.99;6.6129;0.481;7.0164;0.2316;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;10.09;6.6791;0.4858;7.0866;0.234;15287798;BGIP4;1120
267.6541;1120;1.5107;"";20.7702;43.1256;10.12;6.699;0.4872;7.1077;0.2347;15287798;BGIP4;1120
