assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
"";11231;"";"";"";"";75.57;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";75.57;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";75.57;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";72.83;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";72.84;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";72.83;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.19;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";72.83;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.2;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";72.83;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.01;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.02;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.02;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.02;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.2;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.2;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.34;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.43;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.43;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.2;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";76.48;"";"";"";"";"";TKNO4;11231
"";11231;"";"";"";"";80.12;"";"";"";"";"";TKNO4;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;70.54;10.9359;0.8922;5.5186;1.8248;2634903;TKNO4;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;77.46;12.0087;0.9797;6.06;2.0038;2634903;TKNO3;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;77.46;12.0087;0.9797;6.06;2.0038;2634903;TKNO3;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;70.54;10.9359;0.8922;5.5186;1.8248;2634903;TKNO4;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;70.54;10.9359;0.8922;5.5186;1.8248;2634903;TKNO4;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;77.47;12.0102;0.9799;6.0607;2.0041;2634903;TKNO3;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;77.47;12.0102;0.9799;6.0607;2.0041;2634903;TKNO3;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;70.54;10.9359;0.8922;5.5186;1.8248;2634903;TKNO4;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;70.54;10.9359;0.8922;5.5186;1.8248;2634903;TKNO4;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;70.54;10.9359;0.8922;5.5186;1.8248;2634903;TKNO4;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;68.28;10.5855;0.8636;5.3418;1.7663;2634903;TKNO4;11231
88.5642;11231;6.4503;4.0138;79.0614;38.6561;66.92;10.3747;0.8464;5.2354;1.7312;2634903;TKNO4;11231
