assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.58;-103.6662;78.9756;-416.2904;2.2107;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.87;-115.3186;87.8527;-463.0827;2.4592;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.69;-108.0861;82.3428;-434.0392;2.305;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.68;-107.6843;82.0367;-432.4257;2.2964;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.66;-106.8807;81.4245;-429.1986;2.2793;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.63;-105.6753;80.5062;-424.358;2.2535;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.55;-102.4608;78.0573;-411.4498;2.185;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.41;-96.8355;73.7718;-388.8604;2.065;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.26;-90.8084;69.1802;-364.6575;1.9365;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.89;-116.1223;88.465;-466.3098;2.4763;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.69;-108.0861;82.3428;-434.0392;2.305;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.66;-106.8807;81.4245;-429.1986;2.2793;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.53;-101.6572;77.4451;-408.2227;2.1679;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.51;-100.8536;76.8329;-404.9957;2.1507;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.43;-97.6391;74.384;-392.0874;2.0822;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.46;-98.8445;75.3024;-396.928;2.1079;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.53;-101.6572;77.4451;-408.2227;2.1679;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.57;-103.2644;78.6695;-414.6768;2.2021;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.5;-100.4518;76.5268;-403.3821;2.1422;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.44;-98.0409;74.6901;-393.701;2.0907;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.36;-94.8265;72.2413;-380.7927;2.0222;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.27;-91.2102;69.4863;-366.271;1.9451;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.26;-90.8084;69.1802;-364.6575;1.9365;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.12;-85.1831;64.8947;-342.0681;1.8165;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.22;-89.2012;67.9558;-358.2033;1.9022;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.21;-88.7994;67.6497;-356.5898;1.8937;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.17;-87.1921;66.4252;-350.1357;1.8594;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.12;-85.1831;64.8947;-342.0681;1.8165;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.08;-83.5759;63.6703;-335.6139;1.7823;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.15;-86.3885;65.813;-346.9086;1.8423;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.08;-83.5759;63.6703;-335.6139;1.7823;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.12;-85.1831;64.8947;-342.0681;1.8165;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.14;-85.9867;65.5069;-345.2951;1.8337;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.1;-84.3795;64.2825;-338.841;1.7994;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.14;-85.9867;65.5069;-345.2951;1.8337;740932314;VULC3;11762
0.161;11762;-0.0249;-0.0254;0.0327;0.0;2.16;-86.7903;66.1191;-348.5222;1.8508;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.12;-233.0875;41.7161;-221.7984;1.9254;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.03;-223.1923;39.9451;-212.3825;1.8437;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.1;-230.8885;41.3225;-219.706;1.9073;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;1.98;-217.6949;38.9612;-207.1514;1.7983;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.06;-226.4907;40.5354;-215.5211;1.871;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.1;-230.8885;41.3225;-219.706;1.9073;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.02;-222.0928;39.7483;-211.3362;1.8346;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.05;-225.3912;40.3386;-214.4749;1.8619;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;1.97;-216.5954;38.7645;-206.1051;1.7892;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;1.95;-214.3965;38.3709;-204.0127;1.771;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.02;-222.0928;39.7483;-211.3362;1.8346;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;1.98;-217.6949;38.9612;-207.1514;1.7983;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;1.98;-217.6949;38.9612;-207.1514;1.7983;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;1.99;-218.7944;39.158;-208.1976;1.8074;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;1.99;-218.7944;39.158;-208.1976;1.8074;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.01;-220.9933;39.5515;-210.29;1.8255;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.36;-259.4747;46.4386;-246.9077;2.1434;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.26;-248.48;44.4709;-236.4455;2.0526;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.31;-253.9774;45.4548;-241.6766;2.098;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.26;-248.48;44.4709;-236.4455;2.0526;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.18;-239.6843;42.8967;-228.0757;1.9799;740932314;VULC3;11762
0.1778;11762;-0.0091;-0.0096;0.0508;0.0;2.04;-224.2917;40.1419;-213.4287;1.8528;740932314;VULC3;11762
