assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;2.14;-0.6505;-0.3215;2.6697;0.3252;20580035;MWET4;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;2.14;-0.6505;-0.3215;2.6697;0.3252;20580035;MWET4;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;2.17;-0.6596;-0.326;2.7071;0.3298;20580035;MWET4;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;2.41;-0.7326;-0.3621;3.0065;0.3663;20580035;MWET4;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;2.2;-0.6687;-0.3305;2.7445;0.3343;20580035;MWET4;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;2.17;-0.6596;-0.326;2.7071;0.3298;20580035;MWET4;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;1.8;-0.5471;-0.2704;2.2455;0.2735;20580035;MWET4;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;1.81;-0.5502;-0.2719;2.258;0.2751;20580035;MWET4;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;2.34;-0.7113;-0.3516;2.9192;0.3556;20580035;MWET4;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;2.35;-0.7143;-0.3531;2.9316;0.3571;20580035;MWET4;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;10.0;-3.0397;-1.5024;12.475;1.5197;20580035;MWET3;11991
9.2899;11991;-3.2898;-2.5002;-6.6559;6.5802;19.52;-5.9335;-2.9327;24.3512;2.9665;20580035;MWET3;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;2.3;-0.7635;-0.3295;9.0644;0.3767;20580035;MWET4;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;2.25;-0.7469;-0.3223;8.8673;0.3685;20580035;MWET4;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;2.08;-0.6905;-0.2979;8.1973;0.3407;20580035;MWET4;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;2.19;-0.727;-0.3137;8.6308;0.3587;20580035;MWET4;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;2.2;-0.7303;-0.3151;8.6703;0.3603;20580035;MWET4;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;2.0;-0.6639;-0.2865;7.8821;0.3276;20580035;MWET4;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;2.19;-0.727;-0.3137;8.6308;0.3587;20580035;MWET4;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;2.19;-0.727;-0.3137;8.6308;0.3587;20580035;MWET4;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;1.52;-0.5046;-0.2177;5.9904;0.2489;20580035;MWET4;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;1.54;-0.5112;-0.2206;6.0692;0.2522;20580035;MWET4;11991
9.1376;11991;-3.0123;-2.3021;-6.9812;6.1059;1.52;-0.5046;-0.2177;5.9904;0.2489;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;1.96;-1.9187;-0.2811;3.8423;0.3315;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.05;-2.0068;-0.294;4.0188;0.3467;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.05;-2.0068;-0.294;4.0188;0.3467;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.05;-2.0068;-0.294;4.0188;0.3467;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.05;-2.0068;-0.294;4.0188;0.3467;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.22;-2.1732;-0.3184;4.352;0.3755;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.04;-1.997;-0.2926;3.9992;0.3451;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.28;-2.232;-0.327;4.4697;0.3857;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;3.0;-2.9368;-0.4303;5.8811;0.5074;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;3.5;-3.4263;-0.502;6.8613;0.592;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;3.45;-3.3773;-0.4948;6.7633;0.5836;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;3.1;-3.0347;-0.4446;6.0772;0.5243;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.5;-2.4473;-0.3586;4.9009;0.4229;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.22;-2.1732;-0.3184;4.352;0.3755;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.22;-2.1732;-0.3184;4.352;0.3755;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.21;-2.1634;-0.317;4.3324;0.3738;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.3;-2.2515;-0.3299;4.5089;0.389;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.5;-2.4473;-0.3586;4.9009;0.4229;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.23;-2.183;-0.3198;4.3716;0.3772;20580035;MWET4;11991
9.4894;11991;-1.0215;0.0634;-6.9724;5.9121;2.21;-2.1634;-0.317;4.3324;0.3738;20580035;MWET4;11991
