assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
177.4227;1210;2.5748;"";17.1936;24.2735;26.81;10.4124;1.5593;8.2874;1.1045;408974475;BRSR5;1210
177.4227;1210;2.5748;"";17.1936;24.2735;26.81;10.4124;1.5593;8.2874;1.1045;408974475;BRSR5;1210
177.4227;1210;2.5748;"";17.1936;24.2735;26.81;10.4124;1.5593;8.2874;1.1045;408974475;BRSR5;1210
177.4227;1210;2.5748;"";17.1936;24.2735;18.79;7.2976;1.0928;5.8083;0.7741;408974475;BRSR3;1210
177.4227;1210;2.5748;"";17.1936;24.2735;18.79;7.2976;1.0928;5.8083;0.7741;408974475;BRSR3;1210
177.4227;1210;2.5748;"";17.1936;24.2735;18.79;7.2976;1.0928;5.8083;0.7741;408974475;BRSR3;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.45;4.4469;0.6659;3.5394;0.4717;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.45;4.4469;0.6659;3.5394;0.4717;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.45;4.4469;0.6659;3.5394;0.4717;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;26.81;10.4124;1.5593;8.2874;1.1045;408974475;BRSR5;1210
177.4227;1210;2.5748;"";17.1936;24.2735;26.81;10.4124;1.5593;8.2874;1.1045;408974475;BRSR5;1210
177.4227;1210;2.5748;"";17.1936;24.2735;26.81;10.4124;1.5593;8.2874;1.1045;408974475;BRSR5;1210
177.4227;1210;2.5748;"";17.1936;24.2735;18.57;7.2122;1.0801;5.7403;0.765;408974475;BRSR3;1210
177.4227;1210;2.5748;"";17.1936;24.2735;18.57;7.2122;1.0801;5.7403;0.765;408974475;BRSR3;1210
177.4227;1210;2.5748;"";17.1936;24.2735;18.57;7.2122;1.0801;5.7403;0.765;408974475;BRSR3;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.34;4.4042;0.6595;3.5054;0.4672;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.38;4.4197;0.6619;3.5177;0.4688;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.66;4.5285;0.6782;3.6043;0.4804;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.4;4.4275;0.663;3.5239;0.4696;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.41;4.4314;0.6636;3.527;0.4701;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.2;4.3498;0.6514;3.4621;0.4614;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.2;4.3498;0.6514;3.4621;0.4614;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;18.21;7.0723;1.0591;5.629;0.7502;408974475;BRSR3;1210
177.4227;1210;2.5748;"";17.1936;24.2735;18.21;7.0723;1.0591;5.629;0.7502;408974475;BRSR3;1210
177.4227;1210;2.5748;"";17.1936;24.2735;18.21;7.0723;1.0591;5.629;0.7502;408974475;BRSR3;1210
177.4227;1210;2.5748;"";17.1936;24.2735;18.21;7.0723;1.0591;5.629;0.7502;408974475;BRSR3;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.31;4.3925;0.6578;3.4961;0.4659;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.31;4.3925;0.6578;3.4961;0.4659;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.31;4.3925;0.6578;3.4961;0.4659;408974475;BRSR6;1210
177.4227;1210;2.5748;"";17.1936;24.2735;11.31;4.3925;0.6578;3.4961;0.4659;408974475;BRSR6;1210
