assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
27.0817;13781;4.0838;4.0451;19.9757;1.2086;31.99;7.8334;1.6014;55.496;26.4695;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;32.54;7.9681;1.629;56.4501;26.9246;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;32.08;7.8555;1.6059;55.6521;26.544;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;31.9;7.8114;1.5969;55.3398;26.3951;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;31.67;7.7551;1.5854;54.9408;26.2047;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;31.15;7.6277;1.5594;54.0387;25.7745;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;31.14;7.6253;1.5589;54.0214;25.7662;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;30.69;7.5151;1.5364;53.2407;25.3939;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;30.66;7.5077;1.5349;53.1887;25.369;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;30.7;7.5175;1.5369;53.2581;25.4021;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;30.69;7.5151;1.5364;53.2407;25.3939;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;29.16;7.1404;1.4598;50.5865;24.1279;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;28.59;7.0009;1.4312;49.5977;23.6563;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;29.14;7.1355;1.4588;50.5518;24.1113;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;30.61;7.4955;1.5324;53.102;25.3277;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;30.24;7.4049;1.5138;52.4601;25.0215;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;29.79;7.2947;1.4913;51.6794;24.6492;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;29.69;7.2702;1.4863;51.5059;24.5664;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;29.25;7.1625;1.4643;50.7426;24.2024;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;29.33;7.1821;1.4683;50.8814;24.2686;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;29.58;7.2433;1.4808;51.3151;24.4754;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;29.79;7.2947;1.4913;51.6794;24.6492;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;28.97;7.0939;1.4503;50.2569;23.9707;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;29.1;7.1257;1.4568;50.4824;24.0782;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;28.69;7.0253;1.4362;49.7712;23.739;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;28.17;6.898;1.4102;48.8691;23.3087;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;28.23;6.9127;1.4132;48.9732;23.3584;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;27.66;6.7731;1.3847;47.9843;22.8867;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;27.66;6.7731;1.3847;47.9843;22.8867;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;27.85;6.8196;1.3942;48.3139;23.044;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;28.72;7.0327;1.4377;49.8232;23.7638;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;28.17;6.898;1.4102;48.8691;23.3087;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;28.17;6.898;1.4102;48.8691;23.3087;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;28.26;6.92;1.4147;49.0252;23.3832;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;27.65;6.7707;1.3842;47.967;22.8785;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;27.47;6.7266;1.3752;47.6547;22.7295;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;27.52;6.7388;1.3777;47.7415;22.7709;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;26.96;6.6017;1.3496;46.77;22.3075;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;27.52;6.7388;1.3777;47.7415;22.7709;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;26.59;6.5111;1.3311;46.1281;22.0014;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;26.22;6.4205;1.3126;45.4862;21.6952;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;25.59;6.2662;1.2811;44.3933;21.174;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;24.79;6.0703;1.241;43.0055;20.512;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;24.9;6.0973;1.2465;43.1963;20.603;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;25.88;6.3373;1.2956;44.8964;21.4139;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;25.73;6.3005;1.2881;44.6362;21.2898;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;27.33;6.6923;1.3682;47.4118;22.6137;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;27.34;6.6948;1.3687;47.4292;22.622;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;27.8;6.8074;1.3917;48.2272;23.0026;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;28.53;6.9862;1.4282;49.4936;23.6066;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;29.05;7.1135;1.4543;50.3957;24.0369;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;30.58;7.4881;1.5309;53.0499;25.3028;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;30.59;7.4906;1.5314;53.0673;25.3111;57737319;SCAR3;13781
27.0817;13781;4.0838;4.0451;19.9757;1.2086;30.29;7.4171;1.5163;52.5468;25.0629;57737319;SCAR3;13781
26.9419;13781;2.0932;2.0443;19.7714;0.3624;30.53;14.5857;1.5442;59.112;84.2399;57737319;SCAR3;13781
26.9419;13781;2.0932;2.0443;19.7714;0.3624;30.3;14.4758;1.5325;58.6667;83.6053;57737319;SCAR3;13781
26.9419;13781;2.0932;2.0443;19.7714;0.3624;30.58;14.6095;1.5467;59.2088;84.3779;57737319;SCAR3;13781
26.9419;13781;2.0932;2.0443;19.7714;0.3624;30.57;14.6048;1.5462;59.1895;84.3503;57737319;SCAR3;13781
26.9419;13781;2.0932;2.0443;19.7714;0.3624;30.11;14.385;1.5229;58.2988;83.081;57737319;SCAR3;13781
26.9419;13781;2.0932;2.0443;19.7714;0.3624;30.35;14.4997;1.535;58.7635;83.7433;57737319;SCAR3;13781
26.9419;13781;2.0932;2.0443;19.7714;0.3624;30.48;14.5618;1.5416;59.0152;84.102;57737319;SCAR3;13781
26.9419;13781;2.0932;2.0443;19.7714;0.3624;30.14;14.3993;1.5244;58.3569;83.1638;57737319;SCAR3;13781
26.9419;13781;2.0932;2.0443;19.7714;0.3624;29.67;14.1748;1.5007;57.4469;81.867;57737319;SCAR3;13781
26.9419;13781;2.0932;2.0443;19.7714;0.3624;30.07;14.3659;1.5209;58.2214;82.9707;57737319;SCAR3;13781
