assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;3.92;-34.1279;0.9245;2.9205;0.9267;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;3.92;-34.1279;0.9245;2.9205;0.9267;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.62;-22.81;0.6179;1.952;0.6193;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.62;-22.81;0.6179;1.952;0.6193;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;3.93;-34.215;0.9269;2.9279;0.929;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;3.93;-34.215;0.9269;2.9279;0.929;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.61;-22.7229;0.6156;1.9445;0.617;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.61;-22.7229;0.6156;1.9445;0.617;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;3.98;-34.6503;0.9387;2.9652;0.9408;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;3.98;-34.6503;0.9387;2.9652;0.9408;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;3.98;-34.6503;0.9387;2.9652;0.9408;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;3.98;-34.6503;0.9387;2.9652;0.9408;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.6;-22.6358;0.6132;1.9371;0.6146;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.6;-22.6358;0.6132;1.9371;0.6146;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;4.04;-35.1726;0.9528;3.0099;0.955;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;4.04;-35.1726;0.9528;3.0099;0.955;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.65;-23.0712;0.625;1.9743;0.6264;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.65;-23.0712;0.625;1.9743;0.6264;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;4.04;-35.1726;0.9528;3.0099;0.955;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;4.04;-35.1726;0.9528;3.0099;0.955;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.54;-22.1135;0.599;1.8924;0.6004;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.54;-22.1135;0.599;1.8924;0.6004;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.65;-23.0712;0.625;1.9743;0.6264;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.65;-23.0712;0.625;1.9743;0.6264;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;4.1;-35.695;0.967;3.0546;0.9692;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;4.1;-35.695;0.967;3.0546;0.9692;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.63;-22.897;0.6203;1.9594;0.6217;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.63;-22.897;0.6203;1.9594;0.6217;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;4.0;-34.8244;0.9434;2.9801;0.9456;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;4.0;-34.8244;0.9434;2.9801;0.9456;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;3.84;-33.4314;0.9056;2.8609;0.9077;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;3.84;-33.4314;0.9056;2.8609;0.9077;345753851;RAPT4;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.51;-21.8523;0.592;1.87;0.5933;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.51;-21.8523;0.592;1.87;0.5933;345753851;RAPT3;14109
9.5538;14109;-0.1149;-0.1141;4.2401;4.2303;2.51;-21.8523;0.592;1.87;0.5933;345753851;RAPT3;14109
