assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.08;0.4154;0.0372;0.4567;0.0426;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.3;0.2597;0.0233;0.2854;0.0266;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.3;0.2597;0.0233;0.2854;0.0426;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.1;0.4194;0.0376;0.4611;0.0268;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.1;0.4194;0.0376;0.4611;0.043;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.31;0.2616;0.0235;0.2876;0.0268;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.31;0.2616;0.0235;0.2876;0.043;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.13;0.4254;0.0381;0.4677;0.027;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.13;0.4254;0.0381;0.4677;0.0436;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.32;0.2636;0.0236;0.2898;0.027;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.32;0.2636;0.0236;0.2898;0.0436;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.15;0.4294;0.0385;0.4721;0.0274;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.15;0.4294;0.0385;0.4721;0.044;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.34;0.2676;0.024;0.2942;0.0274;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.34;0.2676;0.024;0.2942;0.044;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.35;0.2696;0.0242;0.2964;0.0451;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.35;0.2696;0.0242;0.2964;0.0277;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.2;0.4394;0.0394;0.4831;0.0451;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.2;0.4394;0.0394;0.4831;0.0277;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.26;0.4514;0.0405;0.4962;0.0463;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.26;0.4514;0.0405;0.4962;0.0283;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.38;0.2756;0.0247;0.303;0.0463;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.38;0.2756;0.0247;0.303;0.0283;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.41;0.2816;0.0252;0.3096;0.0461;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.41;0.2816;0.0252;0.3096;0.0289;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.25;0.4494;0.0403;0.494;0.0461;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.25;0.4494;0.0403;0.494;0.0289;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.41;0.2816;0.0252;0.3096;0.0289;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.41;0.2816;0.0252;0.3096;0.0463;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.26;0.4514;0.0405;0.4962;0.0289;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.26;0.4514;0.0405;0.4962;0.0463;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.43;0.2856;0.0256;0.314;0.0459;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.43;0.2856;0.0256;0.314;0.0293;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.24;0.4474;0.0401;0.4918;0.0459;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.24;0.4474;0.0401;0.4918;0.0293;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.42;0.2836;0.0254;0.3118;0.0291;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.42;0.2836;0.0254;0.3118;0.0455;273655377;CPLE3;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.22;0.4434;0.0397;0.4875;0.0291;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.22;0.4434;0.0397;0.4875;0.0455;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.2;0.4394;0.0394;0.4831;0.0287;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;2.2;0.4394;0.0394;0.4831;0.0451;273655377;CPLE6;14311
63.7964;14311;5.0067;5.3267;55.8535;0.0;1.4;0.2796;0.0251;0.3074;0.0287;273655377;CPLE3;14311
