assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
89.4838;14362;0.2608;4.7371;20.6191;69.8288;11.7;44.8664;0.5674;2.1684;0.1676;74612384;CEPE5;14362
89.4838;14362;0.2608;4.7371;20.6191;69.8288;11.7;44.8664;0.5674;2.1684;0.1676;74612384;CEPE5;14362
89.4838;14362;0.2608;4.7371;20.6191;69.8288;11.97;45.9017;0.5805;2.2185;0.1714;74612384;CEPE5;14362
89.4838;14362;0.2608;4.7371;20.6191;69.8288;11.97;45.9017;0.5805;2.2185;0.1714;74612384;CEPE5;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;11.97;15.8367;0.5809;-10.2604;0.1679;74612384;CEPE5;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;11.97;15.8367;0.5809;-10.2604;0.1679;74612384;CEPE5;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;11.97;15.8367;0.5809;-10.2604;0.1679;74612384;CEPE5;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;11.25;14.8841;0.546;-9.6433;0.1578;74612384;CEPE5;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;11.9;15.7441;0.5775;-10.2004;0.1669;74612384;CEPE6;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;11.25;14.8841;0.546;-9.6433;0.1578;74612384;CEPE5;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;11.27;14.9106;0.547;-9.6604;0.1581;74612384;CEPE5;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;13.81;18.2711;0.6702;-11.8377;0.1937;74612384;CEPE6;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;13.61;18.0065;0.6605;-11.6662;0.1909;74612384;CEPE6;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;11.27;14.9106;0.547;-9.6604;0.1581;74612384;CEPE5;14362
89.4758;14362;0.7558;4.6465;20.6046;71.2805;11.12;14.7121;0.5397;-9.5318;0.156;74612384;CEPE5;14362
93.5578;14362;0.8796;4.6989;20.6955;72.7255;11.22;12.7556;0.5421;-2.5048;0.1543;74612384;CEPE5;14362
92.7192;14362;1.777;5.5835;21.0027;73.2736;10.66;5.9987;0.5076;-1.8397;0.1455;74612384;CEPE5;14362
92.7192;14362;1.777;5.5835;21.0027;73.2736;13.41;7.5463;0.6385;-2.3144;0.183;74612384;CEPE6;14362
92.7192;14362;1.777;5.5835;21.0027;73.2736;11.59;6.5221;0.5518;-2.0002;0.1582;74612384;CEPE5;14362
92.7192;14362;1.777;5.5835;21.0027;73.2736;12.36;6.9554;0.5885;-2.1331;0.1687;74612384;CEPE5;14362
92.7192;14362;1.777;5.5835;21.0027;73.2736;13.9;7.822;0.6618;-2.3989;0.1897;74612384;CEPE5;14362
92.7192;14362;1.777;5.5835;21.0027;73.2736;13.93;7.8389;0.6632;-2.4041;0.1901;74612384;CEPE5;14362
92.7192;14362;1.777;5.5835;21.0027;73.2736;13.93;7.8389;0.6632;-2.4041;0.1901;74612384;CEPE5;14362
106.8188;14362;2.0649;5.8715;20.9815;74.8561;13.16;6.3732;0.6272;-2.6185;0.1758;74612384;CEPE6;14362
106.8188;14362;2.0649;5.8715;20.9815;74.8561;13.9;6.7316;0.6625;-2.7658;0.1857;74612384;CEPE5;14362
106.8188;14362;2.0649;5.8715;20.9815;74.8561;13.16;6.3732;0.6272;-2.6185;0.1758;74612384;CEPE6;14362
106.8188;14362;2.0649;5.8715;20.9815;74.8561;13.83;6.6977;0.6592;-2.7518;0.1848;74612384;CEPE5;14362
106.8188;14362;2.0649;5.8715;20.9815;74.8561;13.91;6.7365;0.663;-2.7678;0.1858;74612384;CEPE5;14362
106.8188;14362;2.0649;5.8715;20.9815;74.8561;13.91;6.7365;0.663;-2.7678;0.1858;74612384;CEPE5;14362
106.8188;14362;2.0649;5.8715;20.9815;74.8561;13.91;6.7365;0.663;-2.7678;0.1858;74612384;CEPE5;14362
106.8188;14362;2.0649;5.8715;20.9815;74.8561;13.9;6.7316;0.6625;-2.7658;0.1857;74612384;CEPE5;14362
104.0501;14362;0.0015;0.006;21.3566;75.2696;13.45;8967.8346;0.6298;-13243.2871;0.1787;74612384;CEPE6;14362
104.0501;14362;0.0015;0.006;21.3566;75.2696;13.9;9267.8737;0.6509;-13686.371;0.1847;74612384;CEPE5;14362
104.0501;14362;0.0015;0.006;21.3566;75.2696;15.27;10181.326;0.715;-15035.3155;0.2029;74612384;CEPE6;14362
104.0501;14362;0.0015;0.006;21.3566;75.2696;15.84;10561.3755;0.7417;-15596.5552;0.2104;74612384;CEPE6;14362
104.0501;14362;0.0015;0.006;21.3566;75.2696;15.84;10561.3755;0.7417;-15596.5552;0.2104;74612384;CEPE6;14362
