assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.35;12.5504;2.4712;4.996;1.1895;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.35;13.0267;2.565;5.1856;1.2347;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;26.36;12.5551;2.4721;4.9979;1.19;218835542;ENMT3;14605
39.7802;14605;2.0995;3.2952;10.6628;22.1514;27.36;13.0314;2.5659;5.1875;1.2351;218835542;ENMT4;14605
