assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
721.1052;1520;7.8188;16.5044;365.8483;448.6727;87.12;11.1423;0.2381;-5.235;0.1942;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;87.18;11.15;0.2383;-5.2386;0.1943;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;85.98;10.9965;0.235;-5.1665;0.1916;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;85.98;10.9965;0.235;-5.1665;0.1916;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;87.18;11.15;0.2383;-5.2386;0.1943;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;87.77;11.2255;0.2399;-5.2741;0.1956;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;85.38;10.9198;0.2334;-5.1305;0.1903;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;83.59;10.6909;0.2285;-5.0229;0.1863;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;83.59;10.6909;0.2285;-5.0229;0.1863;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;83.59;10.6909;0.2285;-5.0229;0.1863;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;83.59;10.6909;0.2285;-5.0229;0.1863;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;83.59;10.6909;0.2285;-5.0229;0.1863;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;86.58;11.0733;0.2367;-5.2026;0.193;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;81.96;10.4824;0.224;-4.925;0.1827;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;87.77;11.2255;0.2399;-5.2741;0.1956;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;88.97;11.3789;0.2432;-5.3462;0.1983;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;88.97;11.3789;0.2432;-5.3462;0.1983;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;183.99;23.5316;0.5029;-11.0559;0.4101;1231002;BDLL3;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;89.56;11.4544;0.2448;-5.3817;0.1996;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;91.36;11.6846;0.2497;-5.4898;0.2036;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;94.04;12.0274;0.257;-5.6509;0.2096;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;94.1;12.035;0.2572;-5.6545;0.2097;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;94.34;12.0657;0.2579;-5.6689;0.2103;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;94.34;12.0657;0.2579;-5.6689;0.2103;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;92.55;11.8368;0.253;-5.5613;0.2063;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;93.74;11.989;0.2562;-5.6328;0.2089;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;93.74;11.989;0.2562;-5.6328;0.2089;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;93.74;11.989;0.2562;-5.6328;0.2089;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;91.36;11.6846;0.2497;-5.4898;0.2036;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;90.76;11.6079;0.2481;-5.4538;0.2023;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;89.56;11.4544;0.2448;-5.3817;0.1996;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;87.77;11.2255;0.2399;-5.2741;0.1956;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;88.97;11.3789;0.2432;-5.3462;0.1983;1231002;BDLL4;1520
721.1052;1520;7.8188;16.5044;365.8483;448.6727;88.97;11.3789;0.2432;-5.3462;0.1983;1231002;BDLL4;1520
