assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
"";15784;"";"";"";"";36.58;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.58;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.58;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.58;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.57;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.58;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.66;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.21;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.58;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.6;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.66;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.58;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.98;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.58;"";"";"";"";"";LIPR3;15784
"";15784;"";"";"";"";36.58;"";"";"";"";"";LIPR3;15784
17.8312;15784;1.6552;1.4554;9.1659;0.0;36.25;21.9006;3.9549;-352.0263;"";10390846;LIPR3;15784
17.8312;15784;1.6552;1.4554;9.1659;0.0;35.85;21.6589;3.9113;-348.1419;"";10390846;LIPR3;15784
17.8312;15784;1.6552;1.4554;9.1659;0.0;37.46;22.6316;4.0869;-363.7767;"";10390846;LIPR3;15784
17.8312;15784;1.6552;1.4554;9.1659;0.0;37.46;22.6316;4.0869;-363.7767;"";10390846;LIPR3;15784
17.8312;15784;1.6552;1.4554;9.1659;0.0;36.66;22.1483;3.9996;-356.0079;"";10390846;LIPR3;15784
17.8312;15784;1.6552;1.4554;9.1659;0.0;36.66;22.1483;3.9996;-356.0079;"";10390846;LIPR3;15784
17.8312;15784;1.6552;1.4554;9.1659;0.0;36.66;22.1483;3.9996;-356.0079;"";10390846;LIPR3;15784
20.3246;15784;2.2377;1.9327;17.25;0.0;37.95;16.9591;2.2;-3399.419;"";10390846;LIPR3;15784
20.3246;15784;2.2377;1.9327;17.25;0.0;37.95;16.9591;2.2;-3399.419;"";10390846;LIPR3;15784
20.3246;15784;2.2377;1.9327;17.25;0.0;37.86;16.9189;2.1948;-3391.3572;"";10390846;LIPR3;15784
20.3246;15784;2.2377;1.9327;17.25;0.0;37.86;16.9189;2.1948;-3391.3572;"";10390846;LIPR3;15784
20.3246;15784;2.2377;1.9327;17.25;0.0;38.03;16.9948;2.2046;-3406.5851;"";10390846;LIPR3;15784
20.3246;15784;2.2377;1.9327;17.25;0.0;37.7;16.8474;2.1855;-3377.0249;"";10390846;LIPR3;15784
20.3246;15784;2.2377;1.9327;17.25;0.0;38.03;16.9948;2.2046;-3406.5851;"";10390846;LIPR3;15784
20.3246;15784;2.2377;1.9327;17.25;0.0;37.87;16.9233;2.1954;-3392.2529;"";10390846;LIPR3;15784
20.3246;15784;2.2377;1.9327;17.25;0.0;38.03;16.9948;2.2046;-3406.5851;"";10390846;LIPR3;15784
