assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
"";16616;"";"";"";"";7948.33;"";"";"";"";"";CEGR3;16616
"";16616;"";"";"";"";7948.33;"";"";"";"";"";CEGR3;16616
"";16616;"";"";"";"";7950.32;"";"";"";"";"";CEGR3;16616
"";16616;"";"";"";"";7950.32;"";"";"";"";"";CEGR3;16616
0.0359;16616;0.003;0.0057;0.0119;0.0335;8941.88;2989683.5396;750998.8427;2231341.046;267202.1546;51931653793;CEGR3;16616
0.0359;16616;0.003;0.0057;0.0119;0.0335;8743.17;2923245.6075;734309.8489;2181755.3012;261264.2824;51931653793;CEGR3;16616
0.037;16616;0.0045;0.0079;0.0152;0.0461;7948.33;1770769.5421;523025.8666;1531363.7914;172380.9269;51931653793;CEGR3;16616
0.0379;16616;0.005;0.0085;0.0153;0.0478;7948.33;1601616.2459;519908.3829;1412441.8519;166437.1931;51927651242;CEGR3;16616
0.0374;16616;0.0047;0.0082;0.0168;0.0471;7948.33;1684439.0817;474063.4272;1326454.0257;168904.4439;51927651242;CEGR3;16616
0.0371;16616;0.0048;0.0083;0.0167;0.0444;8941.88;1845020.7063;534993.8889;1507925.015;201527.8408;51927651242;CEGR3;16616
0.0371;16616;0.0048;0.0083;0.0167;0.0444;8941.88;1845020.7063;534993.8889;1507925.015;201527.8408;51927651242;CEGR3;16616
0.038;16616;0.0051;0.0085;0.0178;0.0448;11922.5;2326694.4166;668298.6977;1843047.5215;266266.1664;51456000856;CEGR3;16616
0.038;16616;0.0051;0.0085;0.0178;0.0448;11922.5;2326694.4166;668298.6977;1843047.5215;266266.1664;51456000856;CEGR3;16616
0.0398;16616;0.0054;0.0088;0.0158;0.0465;11922.5;2220435.6662;755443.2974;1678001.8003;256398.4967;51456000856;CEGR3;16616
0.0398;16616;0.0054;0.0088;0.0158;0.0465;11922.5;2220435.6662;755443.2974;1678001.8003;256398.4967;51456000856;CEGR3;16616
0.0398;16616;0.0054;0.0088;0.0158;0.0465;11922.5;2220435.6662;755443.2974;1678001.8003;256398.4967;51456000856;CEGR3;16616
0.0398;16616;0.0054;0.0088;0.0158;0.0465;12916.04;2405471.6613;818396.8;1817835.0491;277765.0022;51456000856;CEGR3;16616
0.039;16616;0.0055;0.0089;0.0174;0.0477;12323.89;2237379.0063;707719.7129;1756834.2159;258332.5027;51456000856;CEGR3;16616
0.039;16616;0.0055;0.0089;0.0174;0.0477;13315.45;2417394.8558;764661.6816;1898186.2188;279117.5127;51456000856;CEGR3;16616
0.039;16616;0.0055;0.0089;0.0174;0.0477;12151.01;2205992.9681;697791.7938;1732189.2783;254708.6045;51456000856;CEGR3;16616
