assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.56;3.7047;1.6236;129.4606;0.4006;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.37;3.6116;1.5828;126.207;0.3905;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.37;3.6116;1.5828;126.207;0.4673;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.82;4.3222;1.8943;151.0374;0.3905;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.82;4.3222;1.8943;151.0374;0.4673;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.09;3.4744;1.5227;121.4121;0.3757;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.09;3.4744;1.5227;121.4121;0.4572;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.63;4.2291;1.8534;147.7837;0.3757;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.63;4.2291;1.8534;147.7837;0.4572;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;6.81;3.3372;1.4626;116.6173;0.3608;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;6.81;3.3372;1.4626;116.6173;0.4557;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.6;4.2144;1.847;147.27;0.3608;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.6;4.2144;1.847;147.27;0.4557;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.07;3.4646;1.5184;121.0696;0.3746;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.07;3.4646;1.5184;121.0696;0.4509;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.51;4.1703;1.8277;145.7288;0.3746;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.51;4.1703;1.8277;145.7288;0.4509;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.56;4.1948;1.8384;146.585;0.3767;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.56;4.1948;1.8384;146.585;0.4535;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.11;3.4842;1.527;121.7546;0.3767;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.11;3.4842;1.527;121.7546;0.4535;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.37;4.1016;1.7976;143.3314;0.4435;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.37;4.1016;1.7976;143.3314;0.3788;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.15;3.5038;1.5356;122.4396;0.4435;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.15;3.5038;1.5356;122.4396;0.3788;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.28;4.0575;1.7783;141.7902;0.3799;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.28;4.0575;1.7783;141.7902;0.4387;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.17;3.5136;1.5399;122.7821;0.3799;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.17;3.5136;1.5399;122.7821;0.4387;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.09;3.9644;1.7375;138.5365;0.3656;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.09;3.9644;1.7375;138.5365;0.4286;94013051;DEXP3;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;6.9;3.3813;1.4819;118.1585;0.3656;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;6.9;3.3813;1.4819;118.1585;0.4286;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.27;3.5626;1.5614;124.4945;0.3852;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;7.27;3.5626;1.5614;124.4945;0.4562;94013051;DEXP4;16632
5.7843;16632;2.0406;2.1114;4.6562;0.0;8.61;4.2193;1.8492;147.4412;0.3852;94013051;DEXP3;16632
